selection_rank,clip,frame_index,stratum,role,claimed_group_index,claimed_correct,available_from_stable_groups,available_stable_group_index,unavailable_reason,render_path
12,wnba__wnba_05,18068,7,lane_left,1,false,false,,not_in_view,renders/wnba__wnba_05__f18068.jpg
12,wnba__wnba_05,18068,7,lane_right,88,false,false,,not_in_view,renders/wnba__wnba_05__f18068.jpg
13,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,15688,6,baseline,53,false,false,,not_in_view,renders/ncaa_basketball__ncaa_basketball_tiUvyvWOCxo__f15688.jpg
13,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,15688,6,free_throw,56,false,false,,not_in_view,renders/ncaa_basketball__ncaa_basketball_tiUvyvWOCxo__f15688.jpg
13,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,15688,6,lane_left,61,false,false,,not_in_view,renders/ncaa_basketball__ncaa_basketball_tiUvyvWOCxo__f15688.jpg
13,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,15688,6,lane_right,21,false,false,,not_in_view,renders/ncaa_basketball__ncaa_basketball_tiUvyvWOCxo__f15688.jpg
14,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,8191,3,baseline,2,false,false,,not_in_view,renders/ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__f8191.jpg
14,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,8191,3,free_throw,27,false,false,,not_in_view,renders/ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__f8191.jpg
14,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,8191,3,lane_left,4,false,false,,not_in_view,renders/ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__f8191.jpg
14,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,8191,3,lane_right,0,false,false,,not_in_view,renders/ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__f8191.jpg
15,ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,20575,9,baseline,29,false,false,,visible_but_no_stable_candidate,renders/ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss__f20575.jpg
15,ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,20575,9,free_throw,96,false,false,,visible_but_no_stable_candidate,renders/ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss__f20575.jpg
15,ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,20575,9,lane_left,11,false,false,,visible_but_no_stable_candidate,renders/ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss__f20575.jpg
15,ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,20575,9,lane_right,88,false,false,,visible_but_no_stable_candidate,renders/ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss__f20575.jpg
16,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19082,7,baseline,64,false,false,,not_in_view,renders/ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__f19082.jpg
16,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19082,7,free_throw,52,false,false,,not_in_view,renders/ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__f19082.jpg
16,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19082,7,lane_left,70,false,false,,not_in_view,renders/ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__f19082.jpg
16,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19082,7,lane_right,0,false,false,,not_in_view,renders/ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__f19082.jpg
17,wnba__wnba_07,19183,7,baseline,4,false,false,,not_in_view,renders/wnba__wnba_07__f19183.jpg
17,wnba__wnba_07,19183,7,free_throw,3,false,false,,not_in_view,renders/wnba__wnba_07__f19183.jpg
17,wnba__wnba_07,19183,7,lane_left,14,false,false,,not_in_view,renders/wnba__wnba_07__f19183.jpg
17,wnba__wnba_07,19183,7,lane_right,45,false,false,,not_in_view,renders/wnba__wnba_07__f19183.jpg
18,ncaa_basketball__ncaa_basketball_VIlUnUeCMmE,18027,7,baseline,58,false,false,,not_in_view,renders/ncaa_basketball__ncaa_basketball_VIlUnUeCMmE__f18027.jpg
18,ncaa_basketball__ncaa_basketball_VIlUnUeCMmE,18027,7,free_throw,3,false,false,,not_in_view,renders/ncaa_basketball__ncaa_basketball_VIlUnUeCMmE__f18027.jpg
18,ncaa_basketball__ncaa_basketball_VIlUnUeCMmE,18027,7,lane_left,23,false,false,,not_in_view,renders/ncaa_basketball__ncaa_basketball_VIlUnUeCMmE__f18027.jpg
18,ncaa_basketball__ncaa_basketball_VIlUnUeCMmE,18027,7,lane_right,26,false,false,,not_in_view,renders/ncaa_basketball__ncaa_basketball_VIlUnUeCMmE__f18027.jpg
19,wnba__wnba_06,9635,4,baseline,5,false,false,,not_in_view,renders/wnba__wnba_06__f9635.jpg
19,wnba__wnba_06,9635,4,free_throw,48,false,false,,not_in_view,renders/wnba__wnba_06__f9635.jpg
19,wnba__wnba_06,9635,4,lane_left,23,false,false,,not_in_view,renders/wnba__wnba_06__f9635.jpg
19,wnba__wnba_06,9635,4,lane_right,3,false,false,,not_in_view,renders/wnba__wnba_06__f9635.jpg
20,wnba__wnba_08,19727,8,baseline,103,false,false,,not_in_view,renders/wnba__wnba_08__f19727.jpg
20,wnba__wnba_08,19727,8,free_throw,3,false,false,,not_in_view,renders/wnba__wnba_08__f19727.jpg
20,wnba__wnba_08,19727,8,lane_left,0,false,false,,not_in_view,renders/wnba__wnba_08__f19727.jpg
20,wnba__wnba_08,19727,8,lane_right,63,false,false,,not_in_view,renders/wnba__wnba_08__f19727.jpg
21,wnba__wnba_08,23978,9,baseline,0,false,false,,not_in_view,renders/wnba__wnba_08__f23978.jpg
21,wnba__wnba_08,23978,9,free_throw,90,false,false,,not_in_view,renders/wnba__wnba_08__f23978.jpg
21,wnba__wnba_08,23978,9,lane_left,98,false,false,,not_in_view,renders/wnba__wnba_08__f23978.jpg
21,wnba__wnba_08,23978,9,lane_right,24,false,false,,not_in_view,renders/wnba__wnba_08__f23978.jpg
