run,sport,analysis_status,schema_missing_fields,invalid_numeric_required_rows,cls_values,observation_values,rows,step_count,speed_median,speed_p90,speed_p99,speed_p999,speed_max,track_count,track_length_median_frames,track_length_p90_frames,track_shorter_than_5_fraction,track_length_median_seconds,track_length_p90_seconds,frame_order_nonmonotonic_rows,duplicate_track_frame_rows
mlb_2026-08-30_2b814fad,mlb,comparable,,0,['player'],['observed'],46490,0,,,,,,2989,11.0,35.20000000000027,0.2850451656072265,0.18351666666666666,0.5872533333333378,0,0
mlb_2026-08-30_3a02d9b3,mlb,comparable,,0,['player'],['observed'],35882,0,,,,,,2306,11.0,35.0,0.2862098872506505,0.18351666666666666,0.5839166666666666,0,0
mlb_2026-08-30_7e8080e5,mlb,comparable,,0,['player'],['observed'],48816,0,,,,,,3935,8.0,28.0,0.37153748411689963,0.13346666666666668,0.46713333333333334,0,0
mlb_2026-08-30_f8812b72,mlb,comparable,,0,['player'],['observed'],60952,0,,,,,,4158,9.0,36.0,0.33694083694083693,0.15015,0.6006,0,0
mlb_A5AkcaXA2fk,mlb,comparable,,0,['player'],['observed'],79013,0,,,,,,985,8.0,152.0000000000001,0.4020304568527919,0.26666666666666666,5.066666666666671,0,0
mlb_gDv5xF2AA2E,mlb,comparable,,0,['player'],['observed'],183929,0,,,,,,8251,15.0,54.0,0.22494243122045812,0.25025000000000003,0.9009,0,0
mlb_nLoG6gvC-Nk,mlb,comparable,,0,['player'],['observed'],118535,0,,,,,,3811,10.0,56.0,0.32038834951456313,0.3333333333333333,1.8666666666666667,0,0
ncaa_basketball_IB-_u4gW3ds,ncaa_basketball,schema_incompatible,"['cls', 'track_id', 'x', 'y']",,,['observed'],271,,,,,,,,,,,,,,
npb_01,npb,comparable,,0,['player'],['observed'],140965,0,,,,,,5995,15.0,57.0,0.2303586321934946,0.5,1.9,0,0
npb_02,npb,comparable,,0,['player'],['observed'],154016,0,,,,,,7318,11.0,52.0,0.2809510795299262,0.36666666666666664,1.7333333333333334,0,0
npb_03,npb,comparable,,0,['player'],['observed'],139970,0,,,,,,6673,12.0,50.0,0.2931215345421849,0.4,1.6666666666666667,0,0
npb_04,npb,comparable,,0,['player'],['observed'],119498,0,,,,,,5364,13.0,57.0,0.2598806860551827,0.43333333333333335,1.9,0,0
soccer_Z6NTDyxcODs,soccer,comparable,,0,['player'],['observed'],240661,0,,,,,,2384,77.0,205.0,0.026845637583892617,2.566666666666667,6.833333333333333,0,0
soccer_c1mzmBGHQr4,soccer,comparable,,0,['player'],['observed'],182403,0,,,,,,2470,45.0,176.0,0.10931174089068826,1.5,5.866666666666666,0,0
soccer_dnR5C6WLJI4,soccer,comparable,,0,['player'],['observed'],237203,0,,,,,,2451,67.0,218.0,0.037943696450428395,2.2333333333333334,7.266666666666667,0,0
soccer_kSgNjoaqCpI,soccer,comparable,,0,['player'],['observed'],230794,0,,,,,,2407,53.0,242.0,0.08309098462816784,1.7666666666666666,8.066666666666666,0,0
tennis_01,tennis,data_incomplete,,2153,"['ball', 'player']",['observed'],19437,,,,,,,,,,,,,518,0
tennis_02,tennis,data_incomplete,,104,"['ball', 'player']",['observed'],1637,,,,,,,,,,,,,29,0
tennis_ref01,tennis,data_incomplete,,136,"['ball', 'player']",['observed'],1861,,,,,,,,,,,,,295,0
tennis_smoke,tennis,schema_incompatible,"['source_duration', 'source_fps', 'source_height']",,"['ball', 'player']",['observed'],1861,,,,,,,,,,,,,,
wnba_01,wnba,schema_incompatible,"['cls', 'track_id', 'x', 'y']",,,['observed'],3377,,,,,,,,,,,,,,
wnba_02,wnba,schema_incompatible,"['cls', 'track_id', 'x', 'y']",,,['observed'],4171,,,,,,,,,,,,,,
wnba_03,wnba,schema_incompatible,"['cls', 'track_id', 'x', 'y']",,,['observed'],4534,,,,,,,,,,,,,,
