audit_id,rank,x_px,y_px
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,47,440,977
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,48,1147,973
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,49,1185,963
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,50,416,977
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,51,1266,985
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,52,654,963
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,53,415,954
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,54,428,955
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,55,1181,1005
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,56,1625,963
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,57,452,955
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,58,1342,985
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,59,351,955
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,60,1711,963
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,61,1371,977
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,62,1609,991
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,63,1598,991
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,64,384,955
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,65,1431,999
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,66,1562,991
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,67,1338,975
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,68,322,971
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,69,1670,975
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,70,1690,963
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,71,1254,985
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,72,384,977
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,73,1587,991
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,74,1154,1005
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,75,369,1015
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,76,1645,967
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,77,390,1010
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,78,532,992
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,79,454,992
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,80,1437,988
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,81,658,1005
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,82,611,992
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,83,544,992
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,84,261,979
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,85,1563,963
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,86,466,992
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,87,355,1017
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,88,160,976
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,89,387,992
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,90,624,1022
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,91,453,977
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,92,1715,975
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,93,667,970
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,94,1588,963
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,95,1398,976
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,96,429,978
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,97,1432,977
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,98,376,992
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,99,250,979
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,100,309,992
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,1,1713,995
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,2,1622,995
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,3,1569,1005
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,4,1693,1005
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,5,1709,1005
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,6,1349,999
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,7,1633,1005
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,8,1656,1005
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,9,1618,1005
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,10,1269,1001
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,11,1584,1005
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,12,1239,1001
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,13,1372,1001
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,14,1349,983
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,15,1694,991
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,16,1599,1005
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,17,1671,1005
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,18,1569,991
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,19,1633,991
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,20,1594,977
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,21,1675,995
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,22,1658,977
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,23,1645,1005
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,24,1681,977
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,25,321,961
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,26,1188,963
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,27,1658,963
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,28,1605,977
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,29,1431,1001
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,30,1453,977
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,31,1331,1001
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,32,415,978
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,33,1648,977
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,34,1154,963
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,35,1645,995
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,36,1147,973
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,37,685,963
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,38,1696,977
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,39,1712,977
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,40,1583,977
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,41,650,973
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,42,1169,983
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,43,1554,977
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,44,1444,1001
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,45,363,955
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,46,1665,991
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,47,1625,977
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,48,657,963
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,49,1170,963
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,50,1359,1001
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,51,1235,980
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,52,440,977
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,53,1256,997
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,54,1431,979
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,55,1690,963
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,56,1266,985
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,57,1385,993
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,58,1625,963
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,59,1670,975
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,60,1453,987
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,61,351,954
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,62,1599,991
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,63,1254,985
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,64,1711,963
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,65,386,1009
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,66,415,954
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,67,702,948
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,68,653,1005
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,69,1150,1005
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,70,1563,963
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,71,1359,977
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,72,1587,991
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,73,439,955
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,74,384,977
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,75,1200,948
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,76,544,992
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,77,384,955
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,78,610,992
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,79,1635,973
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,80,322,971
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,81,1611,991
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,82,990,417
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,83,355,1017
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,84,627,949
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,85,452,954
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,86,261,979
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,87,454,992
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,88,369,1015
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,89,998,433
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,90,533,992
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,91,428,954
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,92,160,975
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,93,453,978
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,94,309,992
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,95,1577,963
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,96,1558,1003
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,97,316,1010
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,98,1602,963
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,99,250,979
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s13__f015785,100,466,992
ncaa_basketball__ncaa_basketball_mRkuGgeECak__s08__f016871,1,1648,1005
ncaa_basketball__ncaa_basketball_mRkuGgeECak__s08__f016871,2,1369,1001
