audit_id,rank,x_px,y_px,nearest_target_distance_px,on_any_target
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,88,78,342,65.802736,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,89,206,167,88.729927,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,90,563,27,349.757059,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,91,402,302,130.541181,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,92,592,144,327.908524,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,93,27,182,42.449971,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,94,578,26,362.794708,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,95,597,215,323.125363,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,96,17,231,22.472205,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,97,378,149,128.222463,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,98,325,169,75.006666,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,99,380,77,181.231896,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__s14__f028171,100,422,234,148.337453,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,1,1713,995,267.151642,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,2,1622,995,188.215302,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,3,1577,1005,161.523992,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,4,1701,1005,260.771931,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,5,1618,1005,191.167466,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,6,1633,1005,203.002463,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,7,1269,1001,232.572569,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,8,1685,1005,246.710356,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,9,1239,1001,258.940148,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,10,1656,1005,221.894119,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,11,1689,995,245.52393,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,12,1359,999,159.831161,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,13,1599,1005,176.867182,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,14,1671,1005,234.610315,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,15,1378,1001,148.838839,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,16,1633,991,194.98205,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,17,1324,1001,187.096232,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,18,1577,991,151.320851,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,19,1701,991,254.578082,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,20,1178,973,305.262182,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,21,676,963,132.185476,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,22,1675,995,233.122286,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,23,1594,977,155.0,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,24,1154,963,322.869943,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,25,1681,977,230.586209,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,26,1605,977,163.932913,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,27,1360,983,147.989865,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,28,1336,997,175.285481,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,29,1251,1001,248.29418,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,30,363,955,441.708048,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,31,1665,991,222.427516,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,32,1658,963,203.924005,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,33,1562,1005,152.003289,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,34,1644,995,206.390407,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,35,1588,1001,166.171598,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,36,1579,977,143.282937,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,37,1235,980,253.852319,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,38,1317,977,179.04748,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,39,1648,977,200.830775,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,40,1705,977,252.733061,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,41,1616,977,173.104015,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,42,1554,977,125.319591,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,43,321,961,483.993802,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,44,1658,977,209.745083,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,45,1631,977,185.930094,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,46,439,955,365.855163,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,47,440,977,367.021798,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,48,1147,973,334.33217,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,49,1185,963,295.746513,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,50,416,977,390.836283,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,51,1266,985,227.633477,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,52,654,963,153.587109,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,53,415,954,389.739657,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,54,428,955,376.8302,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,55,1181,1005,313.308155,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,56,1625,963,173.971262,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,57,452,955,352.886667,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,58,1342,985,163.049072,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,59,351,955,453.689321,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,60,1711,963,253.617823,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,61,1371,977,135.830777,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,62,1609,991,175.413796,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,63,1598,991,166.832251,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,64,384,955,420.74339,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,65,1431,999,121.433109,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,66,1562,991,141.11343,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,67,1338,975,160.327789,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,68,322,971,483.740633,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,69,1670,975,219.729379,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,70,1690,963,233.754144,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,71,1254,985,238.447059,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,72,384,977,422.62158,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,73,1587,991,158.549677,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,74,1154,1005,338.374053,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,75,369,1015,443.226804,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,76,1645,967,193.685312,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,77,390,1010,421.65863,False
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__s03__f003973,78,532,992,278.976702,False
