ordinal,file_name,sport,stratum,stratum_start_fraction,stratum_end_fraction,frame_count,source_frame,fps,width,height,decode_status,render_path
14,kbo__kbo_lIxmDQyQDtc.mp4,kbo,1,0.1,0.35,28890,8636,30.00000000,640,360,decoded,renders/kbo/kbo__kbo_lIxmDQyQDtc__s1_f008636.jpg
14,kbo__kbo_lIxmDQyQDtc.mp4,kbo,2,0.35,0.65,28890,17090,30.00000000,640,360,decoded,renders/kbo/kbo__kbo_lIxmDQyQDtc__s2_f017090.jpg
14,kbo__kbo_lIxmDQyQDtc.mp4,kbo,3,0.65,0.9,28890,23692,30.00000000,640,360,decoded,renders/kbo/kbo__kbo_lIxmDQyQDtc__s3_f023692.jpg
15,kbo__kbo_lrK_Hv6BEE0.mp4,kbo,1,0.1,0.35,57781,8467,60.00000000,1280,720,decoded,renders/kbo/kbo__kbo_lrK_Hv6BEE0__s1_f008467.jpg
15,kbo__kbo_lrK_Hv6BEE0.mp4,kbo,2,0.35,0.65,57781,27603,60.00000000,1280,720,decoded,renders/kbo/kbo__kbo_lrK_Hv6BEE0__s2_f027603.jpg
15,kbo__kbo_lrK_Hv6BEE0.mp4,kbo,3,0.65,0.9,57781,48175,60.00000000,1280,720,decoded,renders/kbo/kbo__kbo_lrK_Hv6BEE0__s3_f048175.jpg
16,kbo__kbo_qLQbGFQ0-EQ.mp4,kbo,1,0.1,0.35,28804,6729,30.00000000,640,360,decoded,renders/kbo/kbo__kbo_qLQbGFQ0-EQ__s1_f006729.jpg
16,kbo__kbo_qLQbGFQ0-EQ.mp4,kbo,2,0.35,0.65,28804,14659,30.00000000,640,360,decoded,renders/kbo/kbo__kbo_qLQbGFQ0-EQ__s2_f014659.jpg
16,kbo__kbo_qLQbGFQ0-EQ.mp4,kbo,3,0.65,0.9,28804,24892,30.00000000,640,360,decoded,renders/kbo/kbo__kbo_qLQbGFQ0-EQ__s3_f024892.jpg
17,kbo__kbo_tHih8xD7MSY.mp4,kbo,1,0.1,0.35,28773,3456,29.97002997,640,360,decoded,renders/kbo/kbo__kbo_tHih8xD7MSY__s1_f003456.jpg
17,kbo__kbo_tHih8xD7MSY.mp4,kbo,2,0.35,0.65,28773,13035,29.97002997,640,360,decoded,renders/kbo/kbo__kbo_tHih8xD7MSY__s2_f013035.jpg
17,kbo__kbo_tHih8xD7MSY.mp4,kbo,3,0.65,0.9,28773,24196,29.97002997,640,360,decoded,renders/kbo/kbo__kbo_tHih8xD7MSY__s3_f024196.jpg
18,kbo__kbo_tzC71aneg9c.mp4,kbo,1,0.1,0.35,28843,5623,30.00000000,640,360,decoded,renders/kbo/kbo__kbo_tzC71aneg9c__s1_f005623.jpg
18,kbo__kbo_tzC71aneg9c.mp4,kbo,2,0.35,0.65,28843,18464,30.00000000,640,360,decoded,renders/kbo/kbo__kbo_tzC71aneg9c__s2_f018464.jpg
18,kbo__kbo_tzC71aneg9c.mp4,kbo,3,0.65,0.9,28843,25596,30.00000000,640,360,decoded,renders/kbo/kbo__kbo_tzC71aneg9c__s3_f025596.jpg
19,mlb__mlb_231Mmqijar8.mp4,mlb,1,0.1,0.35,28801,7174,30.00000000,640,360,decoded,renders/mlb/mlb__mlb_231Mmqijar8__s1_f007174.jpg
19,mlb__mlb_231Mmqijar8.mp4,mlb,2,0.35,0.65,28801,10985,30.00000000,640,360,decoded,renders/mlb/mlb__mlb_231Mmqijar8__s2_f010985.jpg
19,mlb__mlb_231Mmqijar8.mp4,mlb,3,0.65,0.9,28801,19328,30.00000000,640,360,decoded,renders/mlb/mlb__mlb_231Mmqijar8__s3_f019328.jpg
20,mlb__mlb_2iosUkpL0Bc.mp4,mlb,1,0.1,0.35,18059,6141,29.97002997,1280,720,decoded,renders/mlb/mlb__mlb_2iosUkpL0Bc__s1_f006141.jpg
20,mlb__mlb_2iosUkpL0Bc.mp4,mlb,2,0.35,0.65,18059,10285,29.97002997,1280,720,decoded,renders/mlb/mlb__mlb_2iosUkpL0Bc__s2_f010285.jpg
20,mlb__mlb_2iosUkpL0Bc.mp4,mlb,3,0.65,0.9,18059,16205,29.97002997,1280,720,decoded,renders/mlb/mlb__mlb_2iosUkpL0Bc__s3_f016205.jpg
21,mlb__mlb_3Oc4S_1np98.mp4,mlb,1,0.1,0.35,36099,11574,59.94006049,1280,720,decoded,renders/mlb/mlb__mlb_3Oc4S_1np98__s1_f011574.jpg
21,mlb__mlb_3Oc4S_1np98.mp4,mlb,2,0.35,0.65,36099,21476,59.94006049,1280,720,decoded,renders/mlb/mlb__mlb_3Oc4S_1np98__s2_f021476.jpg
21,mlb__mlb_3Oc4S_1np98.mp4,mlb,3,0.65,0.9,36099,25895,59.94006049,1280,720,decoded,renders/mlb/mlb__mlb_3Oc4S_1np98__s3_f025895.jpg
22,mlb__mlb_5IA4jaKNOYg.mp4,mlb,1,0.1,0.35,28870,5505,30.00000000,640,360,decoded,renders/mlb/mlb__mlb_5IA4jaKNOYg__s1_f005505.jpg
22,mlb__mlb_5IA4jaKNOYg.mp4,mlb,2,0.35,0.65,28870,18709,30.00000000,640,360,decoded,renders/mlb/mlb__mlb_5IA4jaKNOYg__s2_f018709.jpg
22,mlb__mlb_5IA4jaKNOYg.mp4,mlb,3,0.65,0.9,28870,23699,30.00000000,640,360,decoded,renders/mlb/mlb__mlb_5IA4jaKNOYg__s3_f023699.jpg
