ordinal,file_name,sport,frame_count,fps,width,height,bytes
59,tennis__tennis_09.mp4,tennis,7507,25.00000000,1920,1080,89027002
60,tennis__tennis_10.mp4,tennis,7252,23.97602486,1920,1080,97325005
61,tennis__tennis_3x3eEWCZmWQ.mp4,tennis,24024,25.00000000,640,360,73051009
62,tennis__tennis_459iho5_AFs.mp4,tennis,7568,25.00000000,1920,1080,75101757
63,tennis__tennis_nyYk2nPZAwY.mp4,tennis,24024,25.00000000,640,360,68996181
64,tennis__tennis_nyYk2nPZAwY_720p.mp4,tennis,48048,50.00000000,1280,720,274423923
65,wnba__wnba_01.mp4,wnba,28861,30.00000000,1280,720,152149429
66,wnba__wnba_01_1080p.mp4,wnba,18060,30.00000000,1920,1080,308078882
67,wnba__wnba_02.mp4,wnba,28808,30.00000000,1280,720,138654331
68,wnba__wnba_04.mp4,wnba,28819,30.00000000,1280,720,135744701
69,wnba__wnba_05.mp4,wnba,28815,30.00000000,1280,720,136656761
