box_id,card_id,section_id,frame,player_id,event_key,join_status,raw_table,raw_bbox_x1,raw_bbox_y1,raw_bbox_x2,raw_bbox_y2,masked_bbox_x1,masked_bbox_y1,masked_bbox_x2,masked_bbox_y2,coordinates_equal
1080p30_05_r01,1080p30_05,UzaYBYy3GZg_s90,908,5,UzaYBYy3GZg_s90/908/5/1152.0/307.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/UzaYBYy3GZg_s90/tracking_data.csv,1152.0,307.0,1272.0,538.0,1152.0,307.0,1272.0,538.0,1
1080p30_05_r02,1080p30_05,UzaYBYy3GZg_s90,908,8,UzaYBYy3GZg_s90/908/8/1383.0/276.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/UzaYBYy3GZg_s90/tracking_data.csv,1383.0,276.0,1491.0,519.0,1383.0,276.0,1491.0,519.0,1
1080p30_05_r03,1080p30_05,UzaYBYy3GZg_s90,908,9,UzaYBYy3GZg_s90/908/9/750.0/142.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/UzaYBYy3GZg_s90/tracking_data.csv,750.0,142.0,837.0,331.0,750.0,142.0,837.0,331.0,1
1080p30_06_r00,1080p30_06,Vm0FqeGo-8g_s1317,960,1,Vm0FqeGo-8g_s1317/960/1/906.0/551.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/Vm0FqeGo-8g_s1317/tracking_data.csv,906.0,551.0,1081.0,838.0,906.0,551.0,1081.0,838.0,1
1080p30_06_r01,1080p30_06,Vm0FqeGo-8g_s1317,960,4,Vm0FqeGo-8g_s1317/960/4/1366.0/439.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/Vm0FqeGo-8g_s1317/tracking_data.csv,1366.0,439.0,1476.0,711.0,1366.0,439.0,1476.0,711.0,1
1080p30_06_r02,1080p30_06,Vm0FqeGo-8g_s1317,960,5,Vm0FqeGo-8g_s1317/960/5/528.0/609.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/Vm0FqeGo-8g_s1317/tracking_data.csv,528.0,609.0,654.0,874.0,528.0,609.0,654.0,874.0,1
1080p30_06_r03,1080p30_06,Vm0FqeGo-8g_s1317,960,7,Vm0FqeGo-8g_s1317/960/7/1494.0/186.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/Vm0FqeGo-8g_s1317/tracking_data.csv,1494.0,186.0,1605.0,384.0,1494.0,186.0,1605.0,384.0,1
1080p30_06_r04,1080p30_06,Vm0FqeGo-8g_s1317,960,9,Vm0FqeGo-8g_s1317/960/9/939.0/210.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/Vm0FqeGo-8g_s1317/tracking_data.csv,939.0,210.0,1077.0,413.0,939.0,210.0,1077.0,413.0,1
1080p30_06_r05,1080p30_06,Vm0FqeGo-8g_s1317,960,3,Vm0FqeGo-8g_s1317/960/3/500.0832/342.5832,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/Vm0FqeGo-8g_s1317/tracking_data.csv,500.0832,342.5832,621.5085,584.31335,500.0832,342.5832,621.5085,584.31335,1
1080p30_07_r00,1080p30_07,Vm0FqeGo-8g_s90,1067,1,Vm0FqeGo-8g_s90/1067/1/714.0/335.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/Vm0FqeGo-8g_s90/tracking_data.csv,714.0,335.0,859.0,566.0,714.0,335.0,859.0,566.0,1
1080p30_07_r01,1080p30_07,Vm0FqeGo-8g_s90,1067,9,Vm0FqeGo-8g_s90/1067/9/1407.0/255.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/Vm0FqeGo-8g_s90/tracking_data.csv,1407.0,255.0,1561.0,464.0,1407.0,255.0,1561.0,464.0,1
1080p30_07_r02,1080p30_07,Vm0FqeGo-8g_s90,1067,10,Vm0FqeGo-8g_s90/1067/10/1309.0/664.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/Vm0FqeGo-8g_s90/tracking_data.csv,1309.0,664.0,1423.0,903.0,1309.0,664.0,1423.0,903.0,1
1080p30_07_r03,1080p30_07,Vm0FqeGo-8g_s90,1067,8,Vm0FqeGo-8g_s90/1067/8/1187.5714/168.22739,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/Vm0FqeGo-8g_s90/tracking_data.csv,1187.5714,168.22739,1274.5714,347.14407,1187.5714,168.22739,1274.5714,347.14407,1
1080p30_07_r04,1080p30_07,Vm0FqeGo-8g_s90,1067,6,Vm0FqeGo-8g_s90/1067/6/1674.5056/325.33295,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/Vm0FqeGo-8g_s90/tracking_data.csv,1674.5056,325.33295,1775.7146,539.32263,1674.5056,325.33295,1775.7146,539.32263,1
1080p30_07_r05,1080p30_07,Vm0FqeGo-8g_s90,1067,7,Vm0FqeGo-8g_s90/1067/7/193.0/552.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/Vm0FqeGo-8g_s90/tracking_data.csv,193.0,552.0,313.0,806.0,193.0,552.0,313.0,806.0,1
1080p30_08_r00,1080p30_08,X5w3V6rh26s_s90,1145,1,X5w3V6rh26s_s90/1145/1/468.0/598.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/X5w3V6rh26s_s90/tracking_data.csv,468.0,598.0,599.0,907.0,468.0,598.0,599.0,907.0,1
1080p30_10_r00,1080p30_10,Y1cgaIWW8gk_s2784,1337,1,Y1cgaIWW8gk_s2784/1337/1/1198.0/341.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/Y1cgaIWW8gk_s2784/tracking_data.csv,1198.0,341.0,1873.0,1027.0,1198.0,341.0,1873.0,1027.0,1
1080p30_10_r01,1080p30_10,Y1cgaIWW8gk_s2784,1337,2,Y1cgaIWW8gk_s2784/1337/2/729.0/249.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/Y1cgaIWW8gk_s2784/tracking_data.csv,729.0,249.0,885.0,609.0,729.0,249.0,885.0,609.0,1
1080p30_11_r00,1080p30_11,Y1cgaIWW8gk_s2784,1595,1,Y1cgaIWW8gk_s2784/1595/1/1042.0/330.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/Y1cgaIWW8gk_s2784/tracking_data.csv,1042.0,330.0,1285.0,750.0,1042.0,330.0,1285.0,750.0,1
1080p30_11_r01,1080p30_11,Y1cgaIWW8gk_s2784,1595,3,Y1cgaIWW8gk_s2784/1595/3/888.0/379.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/Y1cgaIWW8gk_s2784/tracking_data.csv,888.0,379.0,972.0,586.0,888.0,379.0,972.0,586.0,1
1080p30_11_r02,1080p30_11,Y1cgaIWW8gk_s2784,1595,4,Y1cgaIWW8gk_s2784/1595/4/678.0/299.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/Y1cgaIWW8gk_s2784/tracking_data.csv,678.0,299.0,923.0,765.0,678.0,299.0,923.0,765.0,1
1080p30_11_r03,1080p30_11,Y1cgaIWW8gk_s2784,1595,6,Y1cgaIWW8gk_s2784/1595/6/314.7/552.48096,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/Y1cgaIWW8gk_s2784/tracking_data.csv,314.7,552.48096,737.7,780.1476,314.7,552.48096,737.7,780.1476,1
1080p30_11_r04,1080p30_11,Y1cgaIWW8gk_s2784,1595,10,Y1cgaIWW8gk_s2784/1595/10/1359.4058/563.9529,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/Y1cgaIWW8gk_s2784/tracking_data.csv,1359.4058,563.9529,1471.9751,818.72974,1359.4058,563.9529,1471.9751,818.72974,1
1080p30_12_r00,1080p30_12,tFnl0NVn6FA_s2774,1586,3,tFnl0NVn6FA_s2774/1586/3/1284.0/489.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/tFnl0NVn6FA_s2774/tracking_data.csv,1284.0,489.0,1410.0,742.0,1284.0,489.0,1410.0,742.0,1
1080p30_12_r01,1080p30_12,tFnl0NVn6FA_s2774,1586,4,tFnl0NVn6FA_s2774/1586/4/882.0/352.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/tFnl0NVn6FA_s2774/tracking_data.csv,882.0,352.0,984.0,523.0,882.0,352.0,984.0,523.0,1
1080p30_12_r02,1080p30_12,tFnl0NVn6FA_s2774,1586,5,tFnl0NVn6FA_s2774/1586/5/862.0/449.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/tFnl0NVn6FA_s2774/tracking_data.csv,862.0,449.0,1018.0,716.0,862.0,449.0,1018.0,716.0,1
1080p30_12_r03,1080p30_12,tFnl0NVn6FA_s2774,1586,6,tFnl0NVn6FA_s2774/1586/6/1677.0/574.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/tFnl0NVn6FA_s2774/tracking_data.csv,1677.0,574.0,1863.0,879.0,1677.0,574.0,1863.0,879.0,1
1080p30_12_r04,1080p30_12,tFnl0NVn6FA_s2774,1586,7,tFnl0NVn6FA_s2774/1586/7/1417.3569/299.39536,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/tFnl0NVn6FA_s2774/tracking_data.csv,1417.3569,299.39536,1538.9221,520.3954,1417.3569,299.39536,1538.9221,520.3954,1
1080p30_12_r05,1080p30_12,tFnl0NVn6FA_s2774,1586,8,tFnl0NVn6FA_s2774/1586/8/1316.0/379.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/tFnl0NVn6FA_s2774/tracking_data.csv,1316.0,379.0,1421.0,523.0,1316.0,379.0,1421.0,523.0,1
1080p30_13_r00,1080p30_13,tFnl0NVn6FA_s2774,1844,5,tFnl0NVn6FA_s2774/1844/5/1608.0/537.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/tFnl0NVn6FA_s2774/tracking_data.csv,1608.0,537.0,1740.0,880.0,1608.0,537.0,1740.0,880.0,1
1080p30_13_r01,1080p30_13,tFnl0NVn6FA_s2774,1844,7,tFnl0NVn6FA_s2774/1844/7/1740.0/211.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/tFnl0NVn6FA_s2774/tracking_data.csv,1740.0,211.0,1854.0,427.0,1740.0,211.0,1854.0,427.0,1
1080p30_13_r02,1080p30_13,tFnl0NVn6FA_s2774,1844,10,tFnl0NVn6FA_s2774/1844/10/619.0/367.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/tFnl0NVn6FA_s2774/tracking_data.csv,619.0,367.0,748.0,703.0,619.0,367.0,748.0,703.0,1
1080p30_13_r03,1080p30_13,tFnl0NVn6FA_s2774,1844,9,tFnl0NVn6FA_s2774/1844/9/1471.1915/198.04605,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/tFnl0NVn6FA_s2774/tracking_data.csv,1471.1915,198.04605,1579.4987,474.2604,1471.1915,198.04605,1579.4987,474.2604,1
1080p30_14_r00,1080p30_14,tFnl0NVn6FA_s90,1936,2,tFnl0NVn6FA_s90/1936/2/-15.0/158.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/tFnl0NVn6FA_s90/tracking_data.csv,-15.0,158.0,487.0,1021.0,-15.0,158.0,487.0,1021.0,1
1080p30_14_r01,1080p30_14,tFnl0NVn6FA_s90,1936,4,tFnl0NVn6FA_s90/1936/4/548.0/162.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/tFnl0NVn6FA_s90/tracking_data.csv,548.0,162.0,978.0,1027.0,548.0,162.0,978.0,1027.0,1
1080p30_14_r02,1080p30_14,tFnl0NVn6FA_s90,1936,8,tFnl0NVn6FA_s90/1936/8/1108.0/582.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/tFnl0NVn6FA_s90/tracking_data.csv,1108.0,582.0,1210.0,751.0,1108.0,582.0,1210.0,751.0,1
1080p30_14_r03,1080p30_14,tFnl0NVn6FA_s90,1936,10,tFnl0NVn6FA_s90/1936/10/502.0/543.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/tFnl0NVn6FA_s90/tracking_data.csv,502.0,543.0,591.0,726.0,502.0,543.0,591.0,726.0,1
1080p30_15_r00,1080p30_15,tZeqmc_-_sA_s2574,2004,10,tZeqmc_-_sA_s2574/2004/10/852.0/159.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/tZeqmc_-_sA_s2574/tracking_data.csv,852.0,159.0,948.0,323.0,852.0,159.0,948.0,323.0,1
1080p30_15_r01,1080p30_15,tZeqmc_-_sA_s2574,2004,5,tZeqmc_-_sA_s2574/2004/5/890.3843/433.27515,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/tZeqmc_-_sA_s2574/tracking_data.csv,890.3843,433.27515,1050.5521,733.4955,890.3843,433.27515,1050.5521,733.4955,1
1080p30_15_r02,1080p30_15,tZeqmc_-_sA_s2574,2004,3,tZeqmc_-_sA_s2574/2004/3/915.0/420.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/tZeqmc_-_sA_s2574/tracking_data.csv,915.0,420.0,1017.0,721.0,915.0,420.0,1017.0,721.0,1
1080p30_15_r03,1080p30_15,tZeqmc_-_sA_s2574,2004,6,tZeqmc_-_sA_s2574/2004/6/900.86255/420.29724,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/tZeqmc_-_sA_s2574/tracking_data.csv,900.86255,420.29724,1045.1267,706.24194,900.86255,420.29724,1045.1267,706.24194,1
1080p30_15_r04,1080p30_15,tZeqmc_-_sA_s2574,2004,9,tZeqmc_-_sA_s2574/2004/9/1290.0/101.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/tZeqmc_-_sA_s2574/tracking_data.csv,1290.0,101.0,1407.0,329.0,1290.0,101.0,1407.0,329.0,1
1080p30_16_r00,1080p30_16,yZ5u2sOpiNU_s3933,2031,1,yZ5u2sOpiNU_s3933/2031/1/234.0/-15.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/yZ5u2sOpiNU_s3933/tracking_data.csv,234.0,-15.0,764.0,353.0,234.0,-15.0,764.0,353.0,1
1080p30_17_r00,1080p30_17,yZ5u2sOpiNU_s5214,2104,1,yZ5u2sOpiNU_s5214/2104/1/411.0/272.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/yZ5u2sOpiNU_s5214/tracking_data.csv,411.0,272.0,516.0,549.0,411.0,272.0,516.0,549.0,1
1080p30_17_r01,1080p30_17,yZ5u2sOpiNU_s5214,2104,2,yZ5u2sOpiNU_s5214/2104/2/202.0/426.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/yZ5u2sOpiNU_s5214/tracking_data.csv,202.0,426.0,369.0,738.0,202.0,426.0,369.0,738.0,1
1080p30_17_r02,1080p30_17,yZ5u2sOpiNU_s5214,2104,5,yZ5u2sOpiNU_s5214/2104/5/1041.0/460.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/yZ5u2sOpiNU_s5214/tracking_data.csv,1041.0,460.0,1176.0,813.0,1041.0,460.0,1176.0,813.0,1
1080p30_17_r03,1080p30_17,yZ5u2sOpiNU_s5214,2104,8,yZ5u2sOpiNU_s5214/2104/8/128.0/146.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/yZ5u2sOpiNU_s5214/tracking_data.csv,128.0,146.0,230.0,371.0,128.0,146.0,230.0,371.0,1
1080p30_18_r00,1080p30_18,yZ5u2sOpiNU_s90,2299,2,yZ5u2sOpiNU_s90/2299/2/192.0/122.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/yZ5u2sOpiNU_s90/tracking_data.csv,192.0,122.0,294.0,393.0,192.0,122.0,294.0,393.0,1
1080p30_18_r01,1080p30_18,yZ5u2sOpiNU_s90,2299,3,yZ5u2sOpiNU_s90/2299/3/747.0/916.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/yZ5u2sOpiNU_s90/tracking_data.csv,747.0,916.0,852.0,1035.0,747.0,916.0,852.0,1035.0,1
1080p30_18_r02,1080p30_18,yZ5u2sOpiNU_s90,2299,4,yZ5u2sOpiNU_s90/2299/4/239.0/176.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/yZ5u2sOpiNU_s90/tracking_data.csv,239.0,176.0,423.0,469.0,239.0,176.0,423.0,469.0,1
1080p30_18_r03,1080p30_18,yZ5u2sOpiNU_s90,2299,5,yZ5u2sOpiNU_s90/2299/5/855.0/108.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/yZ5u2sOpiNU_s90/tracking_data.csv,855.0,108.0,1027.0,394.0,855.0,108.0,1027.0,394.0,1
1080p30_18_r04,1080p30_18,yZ5u2sOpiNU_s90,2299,6,yZ5u2sOpiNU_s90/2299/6/384.0/120.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/yZ5u2sOpiNU_s90/tracking_data.csv,384.0,120.0,507.0,366.0,384.0,120.0,507.0,366.0,1
1080p30_18_r05,1080p30_18,yZ5u2sOpiNU_s90,2299,8,yZ5u2sOpiNU_s90/2299/8/1224.0/354.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/yZ5u2sOpiNU_s90/tracking_data.csv,1224.0,354.0,1389.0,650.0,1224.0,354.0,1389.0,650.0,1
1080p30_18_r06,1080p30_18,yZ5u2sOpiNU_s90,2299,9,yZ5u2sOpiNU_s90/2299/9/1809.0/451.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/yZ5u2sOpiNU_s90/tracking_data.csv,1809.0,451.0,1935.0,685.0,1809.0,451.0,1935.0,685.0,1
1080p30_19_r00,1080p30_19,4JS090XPhmM_s2388,2373,2,4JS090XPhmM_s2388/2373/2/187.0/584.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/4JS090XPhmM_s2388/tracking_data.csv,187.0,584.0,343.0,712.0,187.0,584.0,343.0,712.0,1
1080p30_19_r01,1080p30_19,4JS090XPhmM_s2388,2373,7,4JS090XPhmM_s2388/2373/7/176.40585/555.86414,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/4JS090XPhmM_s2388/tracking_data.csv,176.40585,555.86414,268.22067,783.3456,176.40585,555.86414,268.22067,783.3456,1
1080p30_19_r02,1080p30_19,4JS090XPhmM_s2388,2373,10,4JS090XPhmM_s2388/2373/10/-15.0/611.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/4JS090XPhmM_s2388/tracking_data.csv,-15.0,611.0,66.0,875.0,-15.0,611.0,66.0,875.0,1
1080p30_20_r00,1080p30_20,4JS090XPhmM_s3537,2447,8,4JS090XPhmM_s3537/2447/8/876.0/393.0,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/4JS090XPhmM_s3537/tracking_data.csv,876.0,393.0,1005.0,684.0,876.0,393.0,1005.0,684.0,1
1080p30_20_r01,1080p30_20,4JS090XPhmM_s3537,2447,4,4JS090XPhmM_s3537/2447/4/871.1482/383.76294,MATCH,docs/evidence/tracking/g402_mixed_provenance_target_mask_2026-09-11/raw_tables/1080p30/4JS090XPhmM_s3537/tracking_data.csv,871.1482,383.76294,1048.1301,708.6188,871.1482,383.76294,1048.1301,708.6188,1
