tick,frame_index,native_shape,crop_shape,archived_crop_hash,recomputed_crop_hash,match
1080p30_15,2004,1080x1920x3,1020x1920x3,a605f8e30bbb5b3089150e16ed7405c4a4efef62f05150f633d5ed9d2a998175,a605f8e30bbb5b3089150e16ed7405c4a4efef62f05150f633d5ed9d2a998175,yes
1080p30_16,2031,1080x1920x3,1020x1920x3,26154f3bef6adb4dae72319728f64227d60be54209b2a508a5b43703452a55a9,26154f3bef6adb4dae72319728f64227d60be54209b2a508a5b43703452a55a9,yes
1080p30_17,2104,1080x1920x3,1020x1920x3,3f6abced3a3af2197f8a6257172789e02238f7d7ae2d555e3e66ad67f315b2fb,3f6abced3a3af2197f8a6257172789e02238f7d7ae2d555e3e66ad67f315b2fb,yes
1080p30_18,2299,1080x1920x3,1020x1920x3,1f4eb989910d4efb206931a7d6e28792fd8f345fb064d655fea4995d57b775c3,1f4eb989910d4efb206931a7d6e28792fd8f345fb064d655fea4995d57b775c3,yes
1080p30_19,2373,1080x1920x3,1020x1920x3,1f24dfbcb23044cdf24c5b9c1a9877167b3be4d5d58200dd688ed920ad632179,1f24dfbcb23044cdf24c5b9c1a9877167b3be4d5d58200dd688ed920ad632179,yes
1080p30_20,2447,1080x1920x3,1020x1920x3,204ec4e355ebcc5460350a05fa5cddfaf227d3869ee6cda62691bafe48e46a51,204ec4e355ebcc5460350a05fa5cddfaf227d3869ee6cda62691bafe48e46a51,yes
1080p30_21,2708,1080x1920x3,1020x1920x3,e0c0e7820f286976e75c32e25713bc6dd3ac198db63679f44f2413ea24360f88,e0c0e7820f286976e75c32e25713bc6dd3ac198db63679f44f2413ea24360f88,yes
1080p30_22,2781,1080x1920x3,1020x1920x3,8346783d0d3b9d6f7d1f3b7d69c03428d7d4b4292cbb1c0e37561b67e3a7385d,8346783d0d3b9d6f7d1f3b7d69c03428d7d4b4292cbb1c0e37561b67e3a7385d,yes
1080p30_23,2948,1080x1920x3,1020x1920x3,13d4e302affa17ce8cac19f2290bd374197f01745122da9b51de03506553de00,13d4e302affa17ce8cac19f2290bd374197f01745122da9b51de03506553de00,yes
1080p30_24,3023,1080x1920x3,1020x1920x3,fed61d53fe89efc490296eb0749e7c00f74b0c95c5bb7f649fa545bacbd9ffdc,fed61d53fe89efc490296eb0749e7c00f74b0c95c5bb7f649fa545bacbd9ffdc,yes
1080p30_25,3098,1080x1920x3,1020x1920x3,22e9222e1f2ecc5568943c35d04204a222e20865630526233ed16f7d3b392ecd,22e9222e1f2ecc5568943c35d04204a222e20865630526233ed16f7d3b392ecd,yes
1080p30_26,3286,1080x1920x3,1020x1920x3,c83443d5ac03be618e27053d9686eb7f0ecb3208569996b18b8b8184a604bcba,c83443d5ac03be618e27053d9686eb7f0ecb3208569996b18b8b8184a604bcba,yes
1080p30_27,3364,1080x1920x3,1020x1920x3,93093628a9b63aceb6ea3d9241fe83880405d57069864c105cdef15c99e016e9,93093628a9b63aceb6ea3d9241fe83880405d57069864c105cdef15c99e016e9,yes
1080p30_28,3439,1080x1920x3,1020x1920x3,d6b8fe55a01d97d2513778a6108d93f0e33ddd796ea04152ddd7c228f49f4719,d6b8fe55a01d97d2513778a6108d93f0e33ddd796ea04152ddd7c228f49f4719,yes
1080p30_29,3783,1080x1920x3,1020x1920x3,26638cf8a28b50d80b5668dc7ab29cfabf4e91e2e0bbedfcc16d793e34281509,26638cf8a28b50d80b5668dc7ab29cfabf4e91e2e0bbedfcc16d793e34281509,yes
720p60_00,232,720x1280x3,660x1280x3,c20e0d3c315bd6d0f848f4ab0547c6b6f97115afa1d7d245a465137c1c4434b2,c20e0d3c315bd6d0f848f4ab0547c6b6f97115afa1d7d245a465137c1c4434b2,yes
720p60_01,537,720x1280x3,660x1280x3,ce2410be1913288a03be0afd1e9eb62d83115d100e5890348bdd15d667381279,ce2410be1913288a03be0afd1e9eb62d83115d100e5890348bdd15d667381279,yes
720p60_02,751,720x1280x3,660x1280x3,eab082f4b4c443374d3a2c0f8c873e29a2bfb69f06f9584722603fac6425fb03,eab082f4b4c443374d3a2c0f8c873e29a2bfb69f06f9584722603fac6425fb03,yes
720p60_03,966,720x1280x3,660x1280x3,38fbb82dfab742f2badd7a6aeeb0104786e18be2344171eef3832995d607e3a2,38fbb82dfab742f2badd7a6aeeb0104786e18be2344171eef3832995d607e3a2,yes
720p60_04,1173,720x1280x3,660x1280x3,fac82fc0d3def3101ae609b089e71e6122e7bfdf9c88fe4684f2aac2bdd0d60e,fac82fc0d3def3101ae609b089e71e6122e7bfdf9c88fe4684f2aac2bdd0d60e,yes
720p60_05,1755,720x1280x3,660x1280x3,4d38b2858449b06660fb5193076314a3a653c61491514d1f4dc28ce3b059fd80,4d38b2858449b06660fb5193076314a3a653c61491514d1f4dc28ce3b059fd80,yes
720p60_06,1968,720x1280x3,660x1280x3,a23325bf0d9d273024eb04e18b6e81bfb0c82853798ec10972e49a01381af1b8,a23325bf0d9d273024eb04e18b6e81bfb0c82853798ec10972e49a01381af1b8,yes
720p60_07,2183,720x1280x3,660x1280x3,51ecef8010025d5045584348b01af76e5a8b5213a63da04ba664cc52200f0335,51ecef8010025d5045584348b01af76e5a8b5213a63da04ba664cc52200f0335,yes
720p60_08,2397,720x1280x3,660x1280x3,11c3a4c7e12bc9fd98c4cf33ef7e75a1dbf14c762c4a8eb3db4252449371c197,11c3a4c7e12bc9fd98c4cf33ef7e75a1dbf14c762c4a8eb3db4252449371c197,yes
720p60_09,2611,720x1280x3,660x1280x3,d5616cf36af6a211531112b5e7e4eb07eb75a32c97658affc077e4df31daa32d,d5616cf36af6a211531112b5e7e4eb07eb75a32c97658affc077e4df31daa32d,yes
720p60_10,2885,720x1280x3,660x1280x3,6d8b7781856cf20ad780d1f8e10b47ffe8ce9f9d96e432f5eb42493e838bd85a,6d8b7781856cf20ad780d1f8e10b47ffe8ce9f9d96e432f5eb42493e838bd85a,yes
720p60_11,3175,720x1280x3,660x1280x3,11fd37028ac56af1734e2363c5d8f1e5093f6ae37db1543c77d41257dabfcf02,11fd37028ac56af1734e2363c5d8f1e5093f6ae37db1543c77d41257dabfcf02,yes
720p60_12,3390,720x1280x3,660x1280x3,1ec0962e8a735e65251426340121eb93d4a4f9c7f059681a9d910f3c998f136f,1ec0962e8a735e65251426340121eb93d4a4f9c7f059681a9d910f3c998f136f,yes
720p60_13,3603,720x1280x3,660x1280x3,958c4dc8bae8569f935ecf768fc6dfdecee830c29166c3000ebc1458e500d65b,958c4dc8bae8569f935ecf768fc6dfdecee830c29166c3000ebc1458e500d65b,yes
720p60_14,3817,720x1280x3,660x1280x3,52cb853ffba306fe87615c18e7a4fde86dd952176f4a862c4c1cfd72e92679e4,52cb853ffba306fe87615c18e7a4fde86dd952176f4a862c4c1cfd72e92679e4,yes
720p60_15,4032,720x1280x3,660x1280x3,da11cd3f84ff8559a05ff855262c5ee27dc5ae61c9791ff088b1278857644a80,da11cd3f84ff8559a05ff855262c5ee27dc5ae61c9791ff088b1278857644a80,yes
720p60_16,4515,720x1280x3,660x1280x3,46280168a4b307ae025a3661a4629b09491fe8e0cbbbe464bb43eeb0db3d55c0,46280168a4b307ae025a3661a4629b09491fe8e0cbbbe464bb43eeb0db3d55c0,yes
720p60_17,4729,720x1280x3,660x1280x3,373a05c3a528686a3a72ffd786c71a71112d05200f5ecaa824bbaae00a166806,373a05c3a528686a3a72ffd786c71a71112d05200f5ecaa824bbaae00a166806,yes
720p60_18,4944,720x1280x3,660x1280x3,0ad89be170883b662a19ba98e51b006e70347b448a2bba768d36ec24f813a187,0ad89be170883b662a19ba98e51b006e70347b448a2bba768d36ec24f813a187,yes
720p60_19,5152,720x1280x3,660x1280x3,db26319d29cc83967b9873e4dc2c7f345e5587b0bb7bd023bbca21262209cb65,db26319d29cc83967b9873e4dc2c7f345e5587b0bb7bd023bbca21262209cb65,yes
720p60_20,5365,720x1280x3,660x1280x3,a0cb33eb3fe0fe9e05c6e870bb41a394cb8587cbc43d178713297f9da8d4901b,a0cb33eb3fe0fe9e05c6e870bb41a394cb8587cbc43d178713297f9da8d4901b,yes
720p60_21,5579,720x1280x3,660x1280x3,96f73df34bdf8341965da521522ecf3e51a273b9aedf931341e58685d0105d4a,96f73df34bdf8341965da521522ecf3e51a273b9aedf931341e58685d0105d4a,yes
720p60_22,5793,720x1280x3,660x1280x3,fcb1ce33a5bd411711032dcdb10719003b0bd0e3c201db639154a3ed98abc76e,fcb1ce33a5bd411711032dcdb10719003b0bd0e3c201db639154a3ed98abc76e,yes
720p60_23,6008,720x1280x3,660x1280x3,f3072f7e1b98750162a3ef3a40ed7dd1ccd558ea1eee333b78ee038e5268fc97,f3072f7e1b98750162a3ef3a40ed7dd1ccd558ea1eee333b78ee038e5268fc97,yes
720p60_24,6313,720x1280x3,660x1280x3,47919e936d9d4e642d941e718d6b6605099396c5ec386081ea2053241b1782b5,47919e936d9d4e642d941e718d6b6605099396c5ec386081ea2053241b1782b5,yes
720p60_25,6338,720x1280x3,660x1280x3,d20afed57b681bc767f3dcf2900582dfe78158bc7038f5fb0c83a4af576c15bb,d20afed57b681bc767f3dcf2900582dfe78158bc7038f5fb0c83a4af576c15bb,yes
720p60_26,6547,720x1280x3,660x1280x3,635f4e8141e48c0fd02e3316f6aa4ac7e8fc2b1ce24ee3318bc8093498fe0809,635f4e8141e48c0fd02e3316f6aa4ac7e8fc2b1ce24ee3318bc8093498fe0809,yes
720p60_27,6761,720x1280x3,660x1280x3,35758b2e3cdb58d7cab2ba138bc504cb0169e7149c192ab0552c854b7325e26b,35758b2e3cdb58d7cab2ba138bc504cb0169e7149c192ab0552c854b7325e26b,yes
720p60_28,6975,720x1280x3,660x1280x3,2a588b6ccd9f28a06d7149c2da6ea2c6a85416984a245cedc1b7a8737f26bf6c,2a588b6ccd9f28a06d7149c2da6ea2c6a85416984a245cedc1b7a8737f26bf6c,yes
720p60_29,7557,720x1280x3,660x1280x3,76aab2dbc2898d33c22de832454c57c970457c01c09dec930ba47c67f6d499c3,76aab2dbc2898d33c22de832454c57c970457c01c09dec930ba47c67f6d499c3,yes
