box_id,card_id,draw_kind,section_id,frame,position_source,native_width,native_height,stored_x1,stored_y1,stored_x2,stored_y2,mapped_x1,mapped_y1,mapped_x2,mapped_y2,stored_straddles_crop_line,blind_best_id_before,blind_best_iou_before,blind_best_id_after,blind_best_iou_after,blind_iou_improved,blind_hit_before,blind_hit_after,blind_completed_utc,overlay_opened_utc,transform
1080p30_03_r00,1080p30_03,1080p30,UCVSlzgun0o_s2298,735,SUBPIXEL,1920,1080,149.0,259.0,257.0,477.0,149.0,319.0,257.0,537.0,0,1080p30_03_m00,0.2938,1080p30_03_m00,0.4298,1,0,0,2026-09-11T19:12:40Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_03_r01,1080p30_03,1080p30,UCVSlzgun0o_s2298,735,PREDICTION,1920,1080,1197.0,729.0,1311.0,863.0,1197.0,789.0,1311.0,923.0,0,1080p30_03_m09,0.1498,1080p30_03_m09,0.341,1,0,0,2026-09-11T19:12:40Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_03_r02,1080p30_03,1080p30,UCVSlzgun0o_s2298,735,PREDICTION,1920,1080,759.43353,308.41528,876.71564,554.8299,759.43353,368.41528,876.71564,614.8299,0,1080p30_03_m03,0.3006,1080p30_03_m03,0.3875,1,0,0,2026-09-11T19:12:40Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_04_r00,1080p30_04,1080p30,UCVSlzgun0o_s90,820,CLAMP,1920,1080,580.0,196.0,671.0,390.0,580.0,256.0,671.0,450.0,0,1080p30_04_m03,0.2734,1080p30_04_m03,0.4248,1,0,0,2026-09-11T19:12:40Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_04_r01,1080p30_04,1080p30,UCVSlzgun0o_s90,820,CLAMP,1920,1080,588.0,197.0,681.0,385.0,588.0,257.0,681.0,445.0,0,1080p30_04_m03,0.2565,1080p30_04_m03,0.429,1,0,0,2026-09-11T19:12:40Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_04_r02,1080p30_04,1080p30,UCVSlzgun0o_s90,820,CLAMP,1920,1080,601.0,252.0,707.0,381.0,601.0,312.0,707.0,441.0,0,1080p30_04_m03,0.2915,1080p30_04_m03,0.4596,1,0,0,2026-09-11T19:12:40Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_05_r00,1080p30_05,1080p30,UzaYBYy3GZg_s90,908,CLAMP,1920,1080,1527.0,727.0,1665.0,909.0,1527.0,787.0,1665.0,969.0,0,1080p30_05_m10,0.2137,1080p30_05_m10,0.4053,1,0,0,2026-09-11T19:12:40Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_05_r01,1080p30_05,1080p30,UzaYBYy3GZg_s90,908,SUBPIXEL,1920,1080,1152.0,307.0,1272.0,538.0,1152.0,367.0,1272.0,598.0,0,1080p30_05_m06,0.3681,1080p30_05_m06,0.5339,1,0,1,2026-09-11T19:12:40Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_05_r02,1080p30_05,1080p30,UzaYBYy3GZg_s90,908,PREDICTION,1920,1080,1383.0,276.0,1491.0,519.0,1383.0,336.0,1491.0,579.0,0,1080p30_05_m07,0.3583,1080p30_05_m07,0.4458,1,0,0,2026-09-11T19:12:40Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_05_r03,1080p30_05,1080p30,UzaYBYy3GZg_s90,908,CLAMP,1920,1080,750.0,142.0,837.0,331.0,750.0,202.0,837.0,391.0,0,,0.0,,0.0,0,0,0,2026-09-11T19:12:40Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_06_r00,1080p30_06,1080p30,Vm0FqeGo-8g_s1317,960,CLAMP,1920,1080,906.0,551.0,1081.0,838.0,906.0,611.0,1081.0,898.0,0,1080p30_06_m08,0.1421,1080p30_06_m08,0.1572,1,0,0,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_06_r01,1080p30_06,1080p30,Vm0FqeGo-8g_s1317,960,PREDICTION,1920,1080,1366.0,439.0,1476.0,711.0,1366.0,499.0,1476.0,771.0,0,1080p30_06_m10,0.3357,1080p30_06_m10,0.4779,1,0,0,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_06_r02,1080p30_06,1080p30,Vm0FqeGo-8g_s1317,960,DETECTION,1920,1080,528.0,609.0,654.0,874.0,528.0,669.0,654.0,934.0,0,1080p30_06_m11,0.4117,1080p30_06_m11,0.4942,1,0,0,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_06_r03,1080p30_06,1080p30,Vm0FqeGo-8g_s1317,960,DETECTION,1920,1080,1494.0,186.0,1605.0,384.0,1494.0,246.0,1605.0,444.0,0,1080p30_06_m12,0.3247,1080p30_06_m12,0.4368,1,0,0,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_06_r04,1080p30_06,1080p30,Vm0FqeGo-8g_s1317,960,PREDICTION,1920,1080,939.0,210.0,1077.0,413.0,939.0,270.0,1077.0,473.0,0,1080p30_06_m03,0.2445,1080p30_06_m03,0.4301,1,0,0,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_06_r05,1080p30_06,1080p30,Vm0FqeGo-8g_s1317,960,PREDICTION,1920,1080,500.0832,342.5832,621.5085,584.31335,500.0832,402.5832,621.5085,644.31335,0,1080p30_06_m05,0.2795,1080p30_06_m05,0.4702,1,0,0,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_07_r00,1080p30_07,1080p30,Vm0FqeGo-8g_s90,1067,CLAMP,1920,1080,714.0,335.0,859.0,566.0,714.0,395.0,859.0,626.0,0,1080p30_07_m03,0.3259,1080p30_07_m03,0.5075,1,0,1,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_07_r01,1080p30_07,1080p30,Vm0FqeGo-8g_s90,1067,DETECTION,1920,1080,1407.0,255.0,1561.0,464.0,1407.0,315.0,1561.0,524.0,0,1080p30_07_m08,0.2895,1080p30_07_m08,0.3728,1,0,0,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_07_r02,1080p30_07,1080p30,Vm0FqeGo-8g_s90,1067,DETECTION,1920,1080,1309.0,664.0,1423.0,903.0,1309.0,724.0,1423.0,963.0,0,1080p30_07_m10,0.3716,1080p30_07_m10,0.3716,0,0,0,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_07_r03,1080p30_07,1080p30,Vm0FqeGo-8g_s90,1067,PREDICTION,1920,1080,1187.5714,168.22739,1274.5714,347.14407,1187.5714,228.22739,1274.5714,407.14407,0,1080p30_07_m11,0.2351,1080p30_07_m11,0.2441,1,0,0,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_07_r04,1080p30_07,1080p30,Vm0FqeGo-8g_s90,1067,CLAMP,1920,1080,1674.5056,325.33295,1775.7146,539.32263,1674.5056,385.33295,1775.7146,599.32263,0,,0.0,,0.0,0,0,0,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_07_r05,1080p30_07,1080p30,Vm0FqeGo-8g_s90,1067,SUBPIXEL,1920,1080,193.0,552.0,313.0,806.0,193.0,612.0,313.0,866.0,0,1080p30_07_m00,0.466,1080p30_07_m00,0.5867,1,0,1,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_08_r00,1080p30_08,1080p30,X5w3V6rh26s_s90,1145,CLAMP,1920,1080,468.0,598.0,599.0,907.0,468.0,658.0,599.0,967.0,0,1080p30_08_m10,0.4345,1080p30_08_m10,0.5138,1,0,1,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_10_r00,1080p30_10,1080p30,Y1cgaIWW8gk_s2784,1337,DETECTION,1920,1080,1198.0,341.0,1873.0,1027.0,1198.0,401.0,1873.0,1087.0,0,1080p30_10_m04,0.6157,1080p30_10_m04,0.7074,1,1,1,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_10_r01,1080p30_10,1080p30,Y1cgaIWW8gk_s2784,1337,PREDICTION,1920,1080,729.0,249.0,885.0,609.0,729.0,309.0,885.0,669.0,0,1080p30_10_m02,0.4751,1080p30_10_m02,0.6365,1,0,1,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_11_r00,1080p30_11,1080p30,Y1cgaIWW8gk_s2784,1595,CLAMP,1920,1080,1042.0,330.0,1285.0,750.0,1042.0,390.0,1285.0,810.0,0,1080p30_11_m03,0.196,1080p30_11_m02,0.2064,1,0,0,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_11_r01,1080p30_11,1080p30,Y1cgaIWW8gk_s2784,1595,CLAMP,1920,1080,888.0,379.0,972.0,586.0,888.0,439.0,972.0,646.0,0,,0.0,,0.0,0,0,0,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_11_r02,1080p30_11,1080p30,Y1cgaIWW8gk_s2784,1595,CLAMP,1920,1080,678.0,299.0,923.0,765.0,678.0,359.0,923.0,825.0,0,1080p30_11_m01,0.5005,1080p30_11_m01,0.6413,1,1,1,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_11_r03,1080p30_11,1080p30,Y1cgaIWW8gk_s2784,1595,CLAMP,1920,1080,314.7,552.48096,737.7,780.1476,314.7,612.48096,737.7,840.1476,0,1080p30_11_m00,0.2582,1080p30_11_m00,0.5193,1,0,1,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_11_r04,1080p30_11,1080p30,Y1cgaIWW8gk_s2784,1595,CLAMP,1920,1080,1359.4058,563.9529,1471.9751,818.72974,1359.4058,623.9529,1471.9751,878.72974,0,1080p30_11_m04,0.1588,1080p30_11_m04,0.1138,0,0,0,2026-09-11T19:14:34Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_12_r00,1080p30_12,1080p30,tFnl0NVn6FA_s2774,1586,DETECTION,1920,1080,1284.0,489.0,1410.0,742.0,1284.0,549.0,1410.0,802.0,0,1080p30_12_m08,0.48,1080p30_12_m08,0.48,0,0,0,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_12_r01,1080p30_12,1080p30,tFnl0NVn6FA_s2774,1586,CLAMP,1920,1080,882.0,352.0,984.0,523.0,882.0,412.0,984.0,583.0,0,1080p30_12_m03,0.3023,1080p30_12_m03,0.6404,1,0,1,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_12_r02,1080p30_12,1080p30,tFnl0NVn6FA_s2774,1586,PREDICTION,1920,1080,862.0,449.0,1018.0,716.0,862.0,509.0,1018.0,776.0,0,1080p30_12_m03,0.2996,1080p30_12_m04,0.4213,1,0,0,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_12_r03,1080p30_12,1080p30,tFnl0NVn6FA_s2774,1586,DETECTION,1920,1080,1677.0,574.0,1863.0,879.0,1677.0,634.0,1863.0,939.0,0,1080p30_12_m11,0.3014,1080p30_12_m11,0.3032,1,0,0,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_12_r04,1080p30_12,1080p30,tFnl0NVn6FA_s2774,1586,PREDICTION,1920,1080,1417.3569,299.39536,1538.9221,520.3954,1417.3569,359.39536,1538.9221,580.3954,0,1080p30_12_m10,0.4091,1080p30_12_m10,0.4913,1,0,0,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_12_r05,1080p30_12,1080p30,tFnl0NVn6FA_s2774,1586,PREDICTION,1920,1080,1316.0,379.0,1421.0,523.0,1316.0,439.0,1421.0,583.0,0,1080p30_12_m09,0.2742,1080p30_12_m09,0.463,1,0,0,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_13_r00,1080p30_13,1080p30,tFnl0NVn6FA_s2774,1844,CLAMP,1920,1080,1608.0,537.0,1740.0,880.0,1608.0,597.0,1740.0,940.0,0,1080p30_13_m08,0.4671,1080p30_13_m08,0.4671,0,0,0,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_13_r01,1080p30_13,1080p30,tFnl0NVn6FA_s2774,1844,PREDICTION,1920,1080,1740.0,211.0,1854.0,427.0,1740.0,271.0,1854.0,487.0,0,,0.0,,0.0,0,0,0,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_13_r02,1080p30_13,1080p30,tFnl0NVn6FA_s2774,1844,DETECTION,1920,1080,619.0,367.0,748.0,703.0,619.0,427.0,748.0,763.0,0,1080p30_13_m00,0.4001,1080p30_13_m00,0.5018,1,0,1,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_13_r03,1080p30_13,1080p30,tFnl0NVn6FA_s2774,1844,PREDICTION,1920,1080,1471.1915,198.04605,1579.4987,474.2604,1471.1915,258.04605000000004,1579.4987,534.2604,0,1080p30_13_m11,0.3209,1080p30_13_m11,0.3209,0,0,0,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_14_r00,1080p30_14,1080p30,tFnl0NVn6FA_s90,1936,CLAMP,1920,1080,-15.0,158.0,487.0,1021.0,-15.0,218.0,487.0,1081.0,0,1080p30_14_m00,0.684,1080p30_14_m00,0.6977,1,1,1,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_14_r01,1080p30_14,1080p30,tFnl0NVn6FA_s90,1936,CLAMP,1920,1080,548.0,162.0,978.0,1027.0,548.0,222.0,978.0,1087.0,0,1080p30_14_m01,0.774,1080p30_14_m01,0.7791,1,1,1,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_14_r02,1080p30_14,1080p30,tFnl0NVn6FA_s90,1936,PREDICTION,1920,1080,1108.0,582.0,1210.0,751.0,1108.0,642.0,1210.0,811.0,0,1080p30_14_m05,0.4166,1080p30_14_m05,0.6006,1,0,1,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_14_r03,1080p30_14,1080p30,tFnl0NVn6FA_s90,1936,SUBPIXEL,1920,1080,502.0,543.0,591.0,726.0,502.0,603.0,591.0,786.0,0,1080p30_14_m03,0.324,1080p30_14_m03,0.6213,1,0,1,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_15_r00,1080p30_15,1080p30,tZeqmc_-_sA_s2574,2004,CLAMP,1920,1080,852.0,159.0,948.0,323.0,852.0,219.0,948.0,383.0,0,1080p30_15_m00,0.185,1080p30_15_m00,0.3108,1,0,0,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_15_r01,1080p30_15,1080p30,tZeqmc_-_sA_s2574,2004,CLAMP,1920,1080,890.3843,433.27515,1050.5521,733.4955,890.3843,493.27515,1050.5521,793.4955,0,1080p30_15_m02,0.4252,1080p30_15_m02,0.5927,1,0,1,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_15_r02,1080p30_15,1080p30,tZeqmc_-_sA_s2574,2004,SUBPIXEL,1920,1080,915.0,420.0,1017.0,721.0,915.0,480.0,1017.0,781.0,0,1080p30_15_m02,0.465,1080p30_15_m02,0.6824,1,0,1,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_15_r03,1080p30_15,1080p30,tZeqmc_-_sA_s2574,2004,CLAMP,1920,1080,900.86255,420.29724,1045.1267,706.24194,900.86255,480.29724,1045.1267,766.24194,0,1080p30_15_m02,0.4055,1080p30_15_m02,0.5988,1,0,1,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_15_r04,1080p30_15,1080p30,tZeqmc_-_sA_s2574,2004,SUBPIXEL,1920,1080,1290.0,101.0,1407.0,329.0,1290.0,161.0,1407.0,389.0,0,,0.0,,0.0,0,0,0,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_16_r00,1080p30_16,1080p30,yZ5u2sOpiNU_s3933,2031,CLAMP,1920,1080,234.0,-15.0,764.0,353.0,234.0,45.0,764.0,413.0,1,1080p30_16_m00,0.5989,1080p30_16_m00,0.7656,1,1,1,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_17_r00,1080p30_17,1080p30,yZ5u2sOpiNU_s5214,2104,DETECTION,1920,1080,411.0,272.0,516.0,549.0,411.0,332.0,516.0,609.0,0,1080p30_17_m02,0.4403,1080p30_17_m02,0.5999,1,0,1,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_17_r01,1080p30_17,1080p30,yZ5u2sOpiNU_s5214,2104,DETECTION,1920,1080,202.0,426.0,369.0,738.0,202.0,486.0,369.0,798.0,0,1080p30_17_m01,0.3385,1080p30_17_m01,0.4146,1,0,0,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_17_r02,1080p30_17,1080p30,yZ5u2sOpiNU_s5214,2104,PREDICTION,1920,1080,1041.0,460.0,1176.0,813.0,1041.0,520.0,1176.0,873.0,0,1080p30_17_m07,0.3613,1080p30_17_m07,0.3613,0,0,0,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_17_r03,1080p30_17,1080p30,yZ5u2sOpiNU_s5214,2104,PREDICTION,1920,1080,128.0,146.0,230.0,371.0,128.0,206.0,230.0,431.0,0,,0.0,,0.0,0,0,0,2026-09-11T19:16:28Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_18_r00,1080p30_18,1080p30,yZ5u2sOpiNU_s90,2299,SUBPIXEL,1920,1080,192.0,122.0,294.0,393.0,192.0,182.0,294.0,453.0,0,1080p30_18_m01,0.427,1080p30_18_m01,0.5065,1,0,1,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_18_r01,1080p30_18,1080p30,yZ5u2sOpiNU_s90,2299,DETECTION,1920,1080,747.0,916.0,852.0,1035.0,747.0,976.0,852.0,1095.0,0,,0.0,,0.0,0,0,0,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_18_r02,1080p30_18,1080p30,yZ5u2sOpiNU_s90,2299,DETECTION,1920,1080,239.0,176.0,423.0,469.0,239.0,236.0,423.0,529.0,0,1080p30_18_m02,0.4922,1080p30_18_m02,0.5453,1,0,1,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_18_r03,1080p30_18,1080p30,yZ5u2sOpiNU_s90,2299,CLAMP,1920,1080,855.0,108.0,1027.0,394.0,855.0,168.0,1027.0,454.0,0,1080p30_18_m04,0.286,1080p30_18_m04,0.3822,1,0,0,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_18_r04,1080p30_18,1080p30,yZ5u2sOpiNU_s90,2299,CLAMP,1920,1080,384.0,120.0,507.0,366.0,384.0,180.0,507.0,426.0,0,1080p30_18_m03,0.418,1080p30_18_m03,0.6246,1,0,1,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_18_r05,1080p30_18,1080p30,yZ5u2sOpiNU_s90,2299,CLAMP,1920,1080,1224.0,354.0,1389.0,650.0,1224.0,414.0,1389.0,710.0,0,1080p30_18_m06,0.489,1080p30_18_m06,0.5416,1,0,1,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_18_r06,1080p30_18,1080p30,yZ5u2sOpiNU_s90,2299,CLAMP,1920,1080,1809.0,451.0,1935.0,685.0,1809.0,511.0,1935.0,745.0,0,,0.0,,0.0,0,0,0,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_19_r00,1080p30_19,1080p30,4JS090XPhmM_s2388,2373,CLAMP,1920,1080,187.0,584.0,343.0,712.0,187.0,644.0,343.0,772.0,0,,0.0,,0.0,0,0,0,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_19_r01,1080p30_19,1080p30,4JS090XPhmM_s2388,2373,CLAMP,1920,1080,176.40585,555.86414,268.22067,783.3456,176.40585,615.86414,268.22067,843.3456,0,,0.0,,0.0,0,0,0,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_19_r02,1080p30_19,1080p30,4JS090XPhmM_s2388,2373,SUBPIXEL,1920,1080,-15.0,611.0,66.0,875.0,-15.0,671.0,66.0,935.0,0,,0.0,,0.0,0,0,0,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
1080p30_20_r00,1080p30_20,1080p30,4JS090XPhmM_s3537,2447,PREDICTION,1920,1080,876.0,393.0,1005.0,684.0,876.0,453.0,1005.0,744.0,0,1080p30_20_m02,0.4111,1080p30_20_m02,0.5949,1,0,1,2026-09-11T19:18:15Z,2026-09-11T19:37:29Z,native_y = stored_y + 60 (unified_pipeline.py:1693)
