pair_id,card_id,frame,position_source,iou,stored_x1,stored_y1,stored_x2,stored_y2,mapped_x1,mapped_y1,mapped_x2,mapped_y2,comparator_x1,comparator_y1,comparator_x2,comparator_y2,dx_before,dy_before,dx_after,dy_after,transform
1080p30_14_r01#1080p30_14_d01,1080p30_14,1936,CLAMP,0.80342,548.0,162.0,978.0,1027.0,548.0,222.0,978.0,1087.0,573.750,221.250,962.250,1072.500,-5.0,-52.375,-5.0,7.625,uncrop_xyxy(origin_y=+60) at unified_pipeline.py:1693
1080p30_14_r00#1080p30_14_d00,1080p30_14,1936,CLAMP,0.74857,-15.0,158.0,487.0,1021.0,-15.0,218.0,487.0,1081.0,0.000,234.000,432.000,1069.500,20.0,-62.25,20.0,-2.25,uncrop_xyxy(origin_y=+60) at unified_pipeline.py:1693
1080p30_15_r01#1080p30_15_d00,1080p30_15,2004,CLAMP,0.589449,890.3843,433.27515,1050.5521,733.4955,890.3843,493.27515,1050.5521,793.4955,889.500,501.000,1029.000,779.250,11.2182,-56.7397,11.2182,3.2603,uncrop_xyxy(origin_y=+60) at unified_pipeline.py:1693
1080p30_16_r00#1080p30_16_d00,1080p30_16,2031,CLAMP,0.695669,234.0,-15.0,764.0,353.0,234.0,45.0,764.0,413.0,249.562,56.531,767.250,397.875,-9.406,-58.203,-9.406,1.797,uncrop_xyxy(origin_y=+60) at unified_pipeline.py:1693
1080p30_17_r02#1080p30_17_d03,1080p30_17,2104,PREDICTION,0.613832,1041.0,460.0,1176.0,813.0,1041.0,520.0,1176.0,873.0,1050.000,528.750,1161.000,846.750,3.0,-51.25,3.0,8.75,uncrop_xyxy(origin_y=+60) at unified_pipeline.py:1693
1080p30_17_r01#1080p30_17_d01,1080p30_17,2104,DETECTION,0.532635,202.0,426.0,369.0,738.0,202.0,486.0,369.0,798.0,223.312,501.000,351.188,775.500,-1.75,-56.25,-1.75,3.75,uncrop_xyxy(origin_y=+60) at unified_pipeline.py:1693
1080p30_17_r00#1080p30_17_d08,1080p30_17,2104,DETECTION,0.50459,411.0,272.0,516.0,549.0,411.0,332.0,516.0,609.0,431.250,342.188,522.750,595.500,-13.5,-58.344,-13.5,1.656,uncrop_xyxy(origin_y=+60) at unified_pipeline.py:1693
1080p30_18_r02#1080p30_18_d00,1080p30_18,2299,DETECTION,0.62177,239.0,176.0,423.0,469.0,239.0,236.0,423.0,529.0,250.875,237.562,433.875,510.750,-11.375,-51.656,-11.375,8.344,uncrop_xyxy(origin_y=+60) at unified_pipeline.py:1693
1080p30_18_r05#1080p30_18_d01,1080p30_18,2299,CLAMP,0.585901,1224.0,354.0,1389.0,650.0,1224.0,414.0,1389.0,710.0,1230.000,420.750,1365.000,679.500,9.0,-48.125,9.0,11.875,uncrop_xyxy(origin_y=+60) at unified_pipeline.py:1693
1080p30_18_r04#1080p30_18_d05,1080p30_18,2299,CLAMP,0.512242,384.0,120.0,507.0,366.0,384.0,180.0,507.0,426.0,392.250,198.375,498.750,409.125,0.0,-60.75,0.0,-0.75,uncrop_xyxy(origin_y=+60) at unified_pipeline.py:1693
1080p30_20_r01#1080p30_20_d02,1080p30_20,2447,PREDICTION,0.614559,871.1482,383.76294,1048.1301,708.6188,871.1482,443.76294,1048.1301,768.6188,892.500,446.250,1042.500,752.250,-7.8609,-53.0591,-7.8609,6.9409,uncrop_xyxy(origin_y=+60) at unified_pipeline.py:1693
1080p30_20_r00#1080p30_20_d05,1080p30_20,2447,PREDICTION,0.589201,876.0,393.0,1005.0,684.0,876.0,453.0,1005.0,744.0,888.750,440.250,992.250,735.000,0.0,-49.125,0.0,10.875,uncrop_xyxy(origin_y=+60) at unified_pipeline.py:1693
1080p30_21_r01#1080p30_21_d00,1080p30_21,2708,CLAMP,0.529461,1484.0,300.0,1617.0,652.0,1484.0,360.0,1617.0,712.0,1521.750,371.250,1617.000,690.750,-18.875,-55.0,-18.875,5.0,uncrop_xyxy(origin_y=+60) at unified_pipeline.py:1693
1080p30_22_r01#1080p30_22_d09,1080p30_22,2781,PREDICTION,0.798374,286.85675,71.64142,1075.9053,847.1336,286.85675,131.64142,1075.9053,907.1336,312.750,159.000,1091.250,892.500,-20.619,-66.3625,-20.619,-6.3625,uncrop_xyxy(origin_y=+60) at unified_pipeline.py:1693
1080p30_22_r00#1080p30_22_d02,1080p30_22,2781,PREDICTION,0.740028,693.422,73.45563,1145.8774,843.44574,693.422,133.45563,1145.8774,903.44574,688.875,163.688,1096.500,889.500,26.9622,-68.1433,26.9622,-8.1433,uncrop_xyxy(origin_y=+60) at unified_pipeline.py:1693
1080p30_22_r02#1080p30_22_d00,1080p30_22,2781,CLAMP,0.541149,-15.0,281.0,438.0,1006.0,-15.0,341.0,438.0,1066.0,0.750,399.000,638.250,1069.500,-108.0,-90.75,-108.0,-30.75,uncrop_xyxy(origin_y=+60) at unified_pipeline.py:1693
1080p30_24_r01#1080p30_24_d01,1080p30_24,3023,CLAMP,0.558892,1185.0,423.0,1407.0,750.0,1185.0,483.0,1407.0,810.0,1181.250,496.500,1362.750,789.000,24.0,-56.25,24.0,3.75,uncrop_xyxy(origin_y=+60) at unified_pipeline.py:1693
1080p30_24_r03#1080p30_24_d00,1080p30_24,3023,CLAMP,0.501779,1495.0,117.0,1672.0,379.0,1495.0,177.0,1672.0,439.0,1456.500,175.875,1648.500,420.375,31.0,-50.125,31.0,9.875,uncrop_xyxy(origin_y=+60) at unified_pipeline.py:1693
1080p30_25_r00#1080p30_25_d05,1080p30_25,3098,CLAMP,0.569174,334.0342,463.0301,512.70416,814.9417,334.0342,523.0301,512.70416,874.9417,315.750,552.000,510.750,886.500,10.1192,-80.2641,10.1192,-20.2641,uncrop_xyxy(origin_y=+60) at unified_pipeline.py:1693
1080p30_27_r03#1080p30_27_d02,1080p30_27,3364,PREDICTION,0.68907,563.0,220.0,795.0,682.0,563.0,280.0,795.0,742.0,575.250,298.500,782.250,720.750,0.25,-58.625,0.25,1.375,uncrop_xyxy(origin_y=+60) at unified_pipeline.py:1693
1080p30_27_r01#1080p30_27_d04,1080p30_27,3364,CLAMP,0.542019,945.0,462.0,1167.0,874.0,945.0,522.0,1167.0,934.0,868.500,564.000,1167.000,913.500,38.25,-70.75,38.25,-10.75,uncrop_xyxy(origin_y=+60) at unified_pipeline.py:1693
1080p30_29_r00#1080p30_29_d01,1080p30_29,3783,CLAMP,0.54054,382.0,289.0,643.0,732.0,382.0,349.0,643.0,792.0,395.625,362.250,574.875,771.000,27.25,-56.125,27.25,3.875,uncrop_xyxy(origin_y=+60) at unified_pipeline.py:1693
720p60_02_r01#720p60_02_d01,720p60_02,751,CLAMP,0.723466,449.4266,-5.2168884,1055.2078,632.02844,449.4266,54.7831116,1055.2078,692.02844,420.000,42.000,1005.000,717.000,39.8172,-66.0942,39.8172,-6.0942,uncrop_xyxy(origin_y=+60) at unified_pipeline.py:1693
720p60_04_r03#720p60_04_d00,720p60_04,1173,SUBPIXEL,0.725522,81.0,12.0,282.0,495.0,81.0,72.0,282.0,555.0,93.688,84.000,280.750,542.500,-5.719,-59.75,-5.719,0.25,uncrop_xyxy(origin_y=+60) at unified_pipeline.py:1693
720p60_04_r01#720p60_04_d08,720p60_04,1173,DETECTION,0.578148,1171.0,-13.0,1295.0,176.0,1171.0,47.0,1295.0,236.0,1185.000,4.250,1279.000,223.750,1.0,-32.5,1.0,27.5,uncrop_xyxy(origin_y=+60) at unified_pipeline.py:1693
720p60_04_r00#720p60_04_d02,720p60_04,1173,PREDICTION,0.526404,1099.0,320.0,1293.0,599.0,1099.0,380.0,1293.0,659.0,1116.000,400.000,1280.000,647.000,-2.0,-64.0,-2.0,-4.0,uncrop_xyxy(origin_y=+60) at unified_pipeline.py:1693
720p60_08_r00#720p60_08_d00,720p60_08,2397,CLAMP,0.818799,195.0,-11.0,688.0,666.0,195.0,49.0,688.0,726.0,210.500,38.500,673.500,711.500,-0.5,-47.5,-0.5,12.5,uncrop_xyxy(origin_y=+60) at unified_pipeline.py:1693
720p60_10_r00#720p60_10_d00,720p60_10,2885,PREDICTION,0.832404,638.0,-13.0,1290.0,665.0,638.0,47.0,1290.0,725.0,668.000,19.000,1276.000,714.000,-8.0,-40.5,-8.0,19.5,uncrop_xyxy(origin_y=+60) at unified_pipeline.py:1693
720p60_11_r04#720p60_11_d01,720p60_11,3175,CLAMP,0.581103,741.0,213.0,972.0,512.0,741.0,273.0,972.0,572.0,759.000,289.500,955.000,542.500,-0.5,-53.5,-0.5,6.5,uncrop_xyxy(origin_y=+60) at unified_pipeline.py:1693
720p60_11_r00#720p60_11_d04,720p60_11,3175,CLAMP,0.510507,578.0,190.0,717.0,471.0,578.0,250.0,717.0,531.0,596.000,266.500,706.000,516.500,-3.5,-61.0,-3.5,-1.0,uncrop_xyxy(origin_y=+60) at unified_pipeline.py:1693
720p60_11_r05#720p60_11_d05,720p60_11,3175,CLAMP,0.507268,798.0,425.0,1002.0,660.0,798.0,485.0,1002.0,720.0,812.000,499.000,988.000,705.000,0.0,-59.5,0.0,0.5,uncrop_xyxy(origin_y=+60) at unified_pipeline.py:1693
720p60_11_r03#720p60_11_d03,720p60_11,3175,CLAMP,0.504736,953.0,148.0,1079.0,447.0,953.0,208.0,1079.0,507.0,969.000,222.500,1063.000,491.000,0.0,-59.25,0.0,0.75,uncrop_xyxy(origin_y=+60) at unified_pipeline.py:1693
720p60_12_r03#720p60_12_d01,720p60_12,3390,CLAMP,0.810602,301.0,-13.0,987.0,665.0,301.0,47.0,987.0,725.0,327.000,44.000,972.000,710.000,-5.5,-51.0,-5.5,9.0,uncrop_xyxy(origin_y=+60) at unified_pipeline.py:1693
720p60_12_r02#720p60_12_d03,720p60_12,3390,CLAMP,0.764215,172.0,-14.0,586.0,370.0,172.0,46.0,586.0,430.0,151.500,3.750,613.000,417.750,-3.25,-32.75,-3.25,27.25,uncrop_xyxy(origin_y=+60) at unified_pipeline.py:1693
720p60_12_r01#720p60_12_d00,720p60_12,3390,CLAMP,0.752955,929.0,38.0,1295.0,667.0,929.0,98.0,1295.0,727.0,947.000,109.500,1279.000,714.000,-1.0,-59.25,-1.0,0.75,uncrop_xyxy(origin_y=+60) at unified_pipeline.py:1693
720p60_12_r00#720p60_12_d05,720p60_12,3390,CLAMP,0.652888,773.0,-12.0,1136.0,345.0,773.0,48.0,1136.0,405.0,681.000,3.000,1118.000,390.000,55.0,-30.0,55.0,30.0,uncrop_xyxy(origin_y=+60) at unified_pipeline.py:1693
720p60_16_r00#720p60_16_d00,720p60_16,4515,CLAMP,0.868462,841.0,-13.0,1295.0,611.0,841.0,47.0,1295.0,671.0,839.000,1.500,1279.000,663.000,9.0,-33.25,9.0,26.75,uncrop_xyxy(origin_y=+60) at unified_pipeline.py:1693
720p60_16_r01#720p60_16_d02,720p60_16,4515,CLAMP,0.55205,491.0,20.0,783.0,519.0,491.0,80.0,783.0,579.0,456.500,53.000,699.500,577.500,59.0,-45.75,59.0,14.25,uncrop_xyxy(origin_y=+60) at unified_pipeline.py:1693
720p60_29_r00#720p60_29_d00,720p60_29,7557,CLAMP,0.711505,371.0,75.0,692.0,668.0,371.0,135.0,692.0,728.0,390.250,149.000,670.000,717.000,1.375,-61.5,1.375,-1.5,uncrop_xyxy(origin_y=+60) at unified_pipeline.py:1693
720p60_29_r02#720p60_29_d01,720p60_29,7557,CLAMP,0.707424,640.0,131.0,1044.0,669.0,640.0,191.0,1044.0,729.0,658.000,223.125,1030.000,715.000,-2.0,-69.0625,-2.0,-9.0625,uncrop_xyxy(origin_y=+60) at unified_pipeline.py:1693
720p60_29_r01#720p60_29_d02,720p60_29,7557,CLAMP,0.694904,126.0,209.0,440.0,668.0,126.0,269.0,440.0,728.0,140.500,284.000,425.000,714.000,0.25,-60.5,0.25,-0.5,uncrop_xyxy(origin_y=+60) at unified_pipeline.py:1693
