game_id,prefix,sport,status,video_id,offset_s,source_duration,source_resolution,finished_at,eligible,ineligible_reason
0022500594_s2700,nba,nba,tracked,,,151.367,640x360,1788818723,0,no_video_id_or_offset
0022500594_s300,nba,nba,tracked,,,151.367,640x360,1788818642,0,no_video_id_or_offset
0022500594_s3300,nba,nba,tracked,,,134.033,640x360,1788823303,0,no_video_id_or_offset
0022500594_s3900,nba,nba,tracked,,,151.367,640x360,1788821875,0,no_video_id_or_offset
0022500594_s4500,nba,nba,thin,,,130.967,640x360,1788822649,0,no_video_id_or_offset
0022500594_s5400,nba,nba,tracked,,,152.700,640x360,1788819597,0,no_video_id_or_offset
0022500594_s6000,nba,nba,tracked,,,130.033,640x360,1788822436,0,no_video_id_or_offset
0022500594_s6600,nba,nba,tracked,,,150.800,640x360,1788821897,0,no_video_id_or_offset
0022500594_s7200,nba,nba,tracked,,,130.033,640x360,1788826221,0,no_video_id_or_offset
0022500594_s8100,nba,nba,tracked,,,154.033,640x360,1788819597,0,no_video_id_or_offset
0022500594_s8700,nba,nba,tracked,,,131.367,640x360,1788826191,0,no_video_id_or_offset
0022500594_s900,nba,nba,tracked,,,134.033,640x360,1788823087,0,no_video_id_or_offset
0022500594_s9300,nba,nba,tracked,,,152.767,640x360,1788821852,0,no_video_id_or_offset
0022500594_s9900,nba,nba,tracked,,,131.367,640x360,1788826191,0,no_video_id_or_offset
0022500621_s1500,nba,nba,tracked,,,131.264,640x360,1788831037,0,no_video_id_or_offset
0022500621_s2100,nba,nba,thin,,,131.965,640x360,1788829084,0,no_video_id_or_offset
0022500621_s2700,nba,nba,tracked,,,134.034,640x360,1788831513,0,no_video_id_or_offset
0022500621_s300,nba,nba,tracked,,,131.098,640x360,1788831513,0,no_video_id_or_offset
0022500621_s3300,nba,nba,tracked,,,130.764,640x360,1788831676,0,no_video_id_or_offset
0022500621_s3900,nba,nba,tracked,,,130.564,640x360,1788831728,0,no_video_id_or_offset
