processed_index,arm1_broadcast_1080_native_source_frame,arm2_broadcast_720_downscaled_source_frame,arm3_amateur_720_native_source_frame,arm1_broadcast_1080_native_boxes,arm2_broadcast_720_downscaled_boxes,arm3_amateur_720_native_boxes
113,19938,19938,339,9,9,18
114,19941,19941,342,8,8,17
115,19944,19944,345,8,7,19
116,19947,19947,348,6,6,17
117,19950,19950,351,5,5,18
118,19953,19953,354,6,6,18
119,19956,19956,357,11,11,20
120,19959,19959,360,7,7,19
121,19962,19962,363,9,8,20
122,19965,19965,366,9,7,21
123,19968,19968,369,8,9,22
124,19971,19971,372,9,9,19
125,19974,19974,375,8,8,22
126,19977,19977,378,7,7,22
127,19980,19980,381,9,9,24
128,19983,19983,384,9,9,20
129,19986,19986,387,9,11,18
130,19989,19989,390,8,11,19
131,19992,19992,393,11,10,20
132,19995,19995,396,9,8,22
133,19998,19998,399,12,11,22
134,20001,20001,402,16,15,21
135,20004,20004,405,13,14,18
136,20007,20007,408,12,12,19
137,20010,20010,411,13,13,22
138,20013,20013,414,13,13,20
139,20016,20016,417,11,11,19
140,20019,20019,420,9,10,20
141,20022,20022,423,12,13,22
142,20025,20025,426,11,12,20
143,20028,20028,429,11,11,16
144,20031,20031,432,9,9,20
145,20034,20034,435,11,11,17
146,20037,20037,438,7,7,16
147,20040,20040,441,5,5,19
148,20043,20043,444,11,12,16
149,20046,20046,447,8,8,15
150,20049,20049,450,6,8,14
151,20052,20052,453,9,9,13
152,20055,20055,456,12,13,17
153,20058,20058,459,9,8,17
154,20061,20061,462,12,13,17
155,20064,20064,465,15,15,17
156,20067,20067,468,14,14,15
157,20070,20070,471,9,10,15
158,20073,20073,474,12,12,15
159,20076,20076,477,10,10,19
160,20079,20079,480,10,11,17
161,20082,20082,483,10,12,15
162,20085,20085,486,13,14,17
163,20088,20088,489,12,12,15
164,20091,20091,492,10,11,16
165,20094,20094,495,13,13,18
166,20097,20097,498,8,8,18
167,20100,20100,501,8,8,17
168,20103,20103,504,10,9,18
169,20106,20106,507,9,10,16
170,20109,20109,510,10,9,14
171,20112,20112,513,12,12,16
172,20115,20115,516,10,10,17
173,20118,20118,519,10,10,15
174,20121,20121,522,11,10,17
175,20124,20124,525,8,9,17
176,20127,20127,528,11,12,18
177,20130,20130,531,9,9,15
178,20133,20133,534,9,9,14
179,20136,20136,537,9,9,15
180,20139,20139,540,11,9,16
181,20142,20142,543,8,8,15
182,20145,20145,546,8,9,16
183,20148,20148,549,8,8,14
184,20151,20151,552,10,9,13
185,20154,20154,555,11,10,15
186,20157,20157,558,8,9,14
187,20160,20160,561,12,12,15
188,20163,20163,564,14,13,14
189,20166,20166,567,10,10,12
190,20169,20169,570,8,7,15
191,20172,20172,573,7,7,14
192,20175,20175,576,7,6,14
193,20178,20178,579,6,6,13
194,20181,20181,582,5,5,12
195,20184,20184,585,4,6,12
196,20187,20187,588,6,6,13
197,20190,20190,591,3,4,14
198,20193,20193,594,5,5,12
199,20196,20196,597,2,5,14
200,20199,20199,600,5,5,11
201,20202,20202,603,7,7,11
202,20205,20205,606,4,3,12
203,20208,20208,609,4,4,13
204,20211,20211,612,5,4,13
205,20214,20214,615,5,5,14
206,20217,20217,618,7,6,12
207,20220,20220,621,8,8,11
208,20223,20223,624,8,7,12
209,20226,20226,627,10,10,13
210,20229,20229,630,8,8,14
211,20232,20232,633,8,8,16
212,20235,20235,636,9,9,13
213,20238,20238,639,11,10,13
214,20241,20241,642,10,9,16
215,20244,20244,645,7,7,17
216,20247,20247,648,11,9,15
217,20250,20250,651,7,7,14
218,20253,20253,654,10,10,13
219,20256,20256,657,10,11,14
220,20259,20259,660,10,10,13
221,20262,20262,663,12,12,17
222,20265,20265,666,8,7,14
223,20268,20268,669,7,8,16
224,20271,20271,672,9,8,15
225,20274,20274,675,5,5,14
226,20277,20277,678,7,5,14
227,20280,20280,681,6,7,14
228,20283,20283,684,6,6,14
229,20286,20286,687,7,6,14
230,20289,20289,690,7,6,13
231,20292,20292,693,7,7,15
232,20295,20295,696,5,6,16
233,20298,20298,699,6,8,15
234,20301,20301,702,9,10,15
235,20304,20304,705,11,11,16
236,20307,20307,708,8,10,14
237,20310,20310,711,9,9,13
238,20313,20313,714,5,7,15
239,20316,20316,717,8,8,15
240,20319,20319,720,7,7,15
241,20322,20322,723,9,10,15
242,20325,20325,726,8,8,17
243,20328,20328,729,10,10,14
244,20331,20331,732,10,8,14
245,20334,20334,735,12,11,14
246,20337,20337,738,11,11,14
247,20340,20340,741,12,11,16
248,20343,20343,744,9,9,16
249,20346,20346,747,13,13,17
250,20349,20349,750,10,9,15
251,20352,20352,753,7,8,14
252,20355,20355,756,7,7,13
253,20358,20358,759,9,10,15
254,20361,20361,762,12,12,15
255,20364,20364,765,9,11,13
256,20367,20367,768,10,10,12
257,20370,20370,771,8,8,14
258,20373,20373,774,10,10,11
259,20376,20376,777,10,10,12
260,20379,20379,780,14,15,15
261,20382,20382,783,10,11,13
262,20385,20385,786,12,13,13
263,20388,20388,789,12,12,15
264,20391,20391,792,11,12,13
265,20394,20394,795,13,13,14
266,20397,20397,798,11,10,14
267,20400,20400,801,11,10,14
268,20403,20403,804,5,5,16
269,20406,20406,807,9,10,13
270,20409,20409,810,7,7,14
271,20412,20412,813,7,8,12
272,20415,20415,816,8,7,14
273,20418,20418,819,7,7,13
274,20421,20421,822,8,8,14
275,20424,20424,825,7,9,13
276,20427,20427,828,9,9,15
277,20430,20430,831,11,12,15
278,20433,20433,834,8,8,14
279,20436,20436,837,12,12,15
280,20439,20439,840,12,12,15
281,20442,20442,843,10,10,16
282,20445,20445,846,7,9,14
283,20448,20448,849,11,12,17
284,20451,20451,852,12,12,17
285,20454,20454,855,12,12,14
286,20457,20457,858,13,13,15
287,20460,20460,861,6,8,13
288,20463,20463,864,8,8,13
289,20466,20466,867,9,10,16
290,20469,20469,870,11,11,13
291,20472,20472,873,12,12,13
292,20475,20475,876,10,8,13
293,20478,20478,879,7,7,12
294,20481,20481,882,7,7,12
295,20484,20484,885,7,9,14
296,20487,20487,888,9,9,13
297,20490,20490,891,11,11,13
298,20493,20493,894,10,10,13
299,20496,20496,897,7,7,12
300,20499,20499,900,6,7,13
301,20502,20502,903,9,8,14
302,20505,20505,906,10,10,13
303,20508,20508,909,9,9,14
304,20511,20511,912,6,7,14
305,20514,20514,915,9,10,12
306,20517,20517,918,7,7,13
307,20520,20520,921,10,9,13
308,20523,20523,924,10,11,12
309,20526,20526,927,13,12,14
310,20529,20529,930,9,9,14
311,20532,20532,933,10,9,13
312,20535,20535,936,10,12,15
313,20538,20538,939,9,8,15
314,20541,20541,942,9,8,12
315,20544,20544,945,8,6,12
316,20547,20547,948,9,10,10
317,20550,20550,951,8,8,13
318,20553,20553,954,9,8,11
319,20556,20556,957,11,11,13
320,20559,20559,960,11,11,12
321,20562,20562,963,12,12,17
322,20565,20565,966,12,11,16
323,20568,20568,969,12,11,14
324,20571,20571,972,11,11,14
325,20574,20574,975,11,11,15
326,20577,20577,978,10,10,13
327,20580,20580,981,9,8,16
328,20583,20583,984,11,10,15
329,20586,20586,987,9,10,15
330,20589,20589,990,9,10,13
331,20592,20592,993,10,11,17
332,20595,20595,996,14,13,14
333,20598,20598,999,13,13,15
334,20601,20601,1002,10,10,17
335,20604,20604,1005,8,9,15
336,20607,20607,1008,10,9,15
337,20610,20610,1011,12,13,14
338,20613,20613,1014,15,14,15
339,20616,20616,1017,13,12,13
340,20619,20619,1020,13,11,16
341,20622,20622,1023,13,14,16
342,20625,20625,1026,15,16,18
343,20628,20628,1029,13,13,14
344,20631,20631,1032,10,9,16
345,20634,20634,1035,10,10,16
346,20637,20637,1038,7,8,17
347,20640,20640,1041,11,11,14
348,20643,20643,1044,11,13,18
349,20646,20646,1047,12,13,17
350,20649,20649,1050,11,10,18
351,20652,20652,1053,14,14,21
352,20655,20655,1056,11,9,19
353,20658,20658,1059,8,7,17
354,20661,20661,1062,8,7,19
355,20664,20664,1065,12,11,20
356,20667,20667,1068,12,11,18
357,20670,20670,1071,10,11,19
358,20673,20673,1074,7,8,18
359,20676,20676,1077,10,11,19
360,20679,20679,1080,9,10,21
361,20682,20682,1083,9,9,18
362,20685,20685,1086,10,10,20
363,20688,20688,1089,10,10,21
364,20691,20691,1092,8,7,19
365,20694,20694,1095,3,4,20
366,20697,20697,1098,10,10,22
367,20700,20700,1101,7,7,23
368,20703,20703,1104,11,11,21
369,20706,20706,1107,10,10,21
370,20709,20709,1110,12,11,22
371,20712,20712,1113,13,13,21
372,20715,20715,1116,13,11,20
373,20718,20718,1119,14,14,18
374,20721,20721,1122,8,8,19
375,20724,20724,1125,10,10,19
376,20727,20727,1128,9,9,20
377,20730,20730,1131,10,9,20
378,20733,20733,1134,11,9,19
379,20736,20736,1137,13,15,21
380,20739,20739,1140,14,13,22
381,20742,20742,1143,15,14,19
382,20745,20745,1146,17,15,18
383,20748,20748,1149,13,11,21
384,20751,20751,1152,14,14,19
385,20754,20754,1155,12,13,19
386,20757,20757,1158,11,13,19
387,20760,20760,1161,13,13,18
388,20763,20763,1164,15,15,19
389,20766,20766,1167,15,14,18
390,20769,20769,1170,15,14,19
391,20772,20772,1173,13,14,18
392,20775,20775,1176,11,13,19
393,20778,20778,1179,13,14,20
394,20781,20781,1182,15,15,20
395,20784,20784,1185,11,12,20
396,20787,20787,1188,15,14,19
397,20790,20790,1191,14,14,19
398,20793,20793,1194,12,12,18
399,20796,20796,1197,12,12,18
400,20799,20799,1200,12,13,17
401,20802,20802,1203,12,12,18
402,20805,20805,1206,9,9,19
403,20808,20808,1209,11,13,19
404,20811,20811,1212,13,13,19
405,20814,20814,1215,11,14,18
406,20817,20817,1218,11,12,16
407,20820,20820,1221,11,12,17
408,20823,20823,1224,11,12,19
409,20826,20826,1227,11,13,18
410,20829,20829,1230,12,12,17
411,20832,20832,1233,13,13,17
412,20835,20835,1236,12,12,16
413,20838,20838,1239,12,13,16
414,20841,20841,1242,12,11,16
415,20844,20844,1245,13,12,16
416,20847,20847,1248,13,13,16
417,20850,20850,1251,10,11,17
418,20853,20853,1254,12,11,15
419,20856,20856,1257,10,12,15
420,20859,20859,1260,11,12,20
421,20862,20862,1263,12,12,19
422,20865,20865,1266,10,12,17
423,20868,20868,1269,11,11,17
424,20871,20871,1272,13,13,19
425,20874,20874,1275,13,13,20
426,20877,20877,1278,11,13,18
427,20880,20880,1281,13,12,18
428,20883,20883,1284,11,12,17
429,20886,20886,1287,13,13,16
430,20889,20889,1290,13,12,18
431,20892,20892,1293,12,12,17
432,20895,20895,1296,12,13,19
433,20898,20898,1299,12,13,18
434,20901,20901,1302,11,10,19
435,20904,20904,1305,11,11,18
436,20907,20907,1308,10,11,17
437,20910,20910,1311,10,9,16
438,20913,20913,1314,11,12,17
439,20916,20916,1317,12,10,17
440,20919,20919,1320,11,11,17
441,20922,20922,1323,11,10,17
442,20925,20925,1326,11,11,18
443,20928,20928,1329,10,9,17
444,20931,20931,1332,11,10,17
445,20934,20934,1335,9,9,17
446,20937,20937,1338,10,10,19
447,20940,20940,1341,10,9,20
448,20943,20943,1344,10,11,21
449,20946,20946,1347,9,8,17
450,20949,20949,1350,7,8,16
451,20952,20952,1353,11,11,16
452,20955,20955,1356,14,14,18
453,20958,20958,1359,12,12,19
454,20961,20961,1362,10,10,17
455,20964,20964,1365,9,10,19
456,20967,20967,1368,12,11,19
457,20970,20970,1371,9,10,18
458,20973,20973,1374,13,13,20
459,20976,20976,1377,13,13,19
460,20979,20979,1380,11,11,20
461,20982,20982,1383,11,12,22
462,20985,20985,1386,12,11,22
463,20988,20988,1389,11,11,20
464,20991,20991,1392,11,11,21
465,20994,20994,1395,12,12,21
466,20997,20997,1398,9,10,22
467,21000,21000,1401,12,11,21
468,21003,21003,1404,10,10,21
469,21006,21006,1407,10,11,21
470,21009,21009,1410,10,10,20
471,21012,21012,1413,11,11,22
472,21015,21015,1416,11,11,18
473,21018,21018,1419,10,10,18
474,21021,21021,1422,11,10,20
475,21024,21024,1425,11,10,20
476,21027,21027,1428,10,8,19
477,21030,21030,1431,8,7,19
478,21033,21033,1434,10,10,19
479,21036,21036,1437,10,9,21
480,21039,21039,1440,8,10,18
481,21042,21042,1443,5,6,22
482,21045,21045,1446,5,6,20
483,21048,21048,1449,4,3,20
484,21051,21051,1452,6,7,21
485,21054,21054,1455,8,9,20
486,21057,21057,1458,11,12,19
487,21060,21060,1461,14,13,20
488,21063,21063,1464,10,10,20
489,21066,21066,1467,2,2,19
490,21069,21069,1470,0,0,17
491,21072,21072,1473,6,6,19
492,21075,21075,1476,5,5,20
493,21078,21078,1479,5,5,22
494,21081,21081,1482,4,5,21
495,21084,21084,1485,6,6,22
496,21087,21087,1488,7,7,19
497,21090,21090,1491,3,4,21
498,21093,21093,1494,3,3,20
499,21096,21096,1497,3,3,21
500,21099,21099,1500,4,4,19
501,21102,21102,1503,6,6,20
502,21105,21105,1506,5,5,20
503,21108,21108,1509,5,5,19
504,21111,21111,1512,6,6,16
505,21114,21114,1515,5,4,17
506,21117,21117,1518,5,6,18
507,21120,21120,1521,4,4,15
508,21123,21123,1524,6,6,18
509,21126,21126,1527,8,9,14
510,21129,21129,1530,6,6,16
511,21132,21132,1533,9,9,15
512,21135,21135,1536,7,7,15
513,21138,21138,1539,7,7,16
514,21141,21141,1542,4,4,17
515,21144,21144,1545,5,6,17
516,21147,21147,1548,8,8,15
517,21150,21150,1551,9,9,18
518,21153,21153,1554,5,7,17
519,21156,21156,1557,5,5,17
520,21159,21159,1560,5,6,17
521,21162,21162,1563,6,8,18
522,21165,21165,1566,7,8,17
523,21168,21168,1569,8,8,17
524,21171,21171,1572,8,7,17
525,21174,21174,1575,6,5,18
526,21177,21177,1578,5,5,17
527,21180,21180,1581,6,6,18
528,21183,21183,1584,7,7,18
529,21186,21186,1587,5,5,19
530,21189,21189,1590,6,6,17
531,21192,21192,1593,8,8,17
532,21195,21195,1596,6,6,16
533,21198,21198,1599,7,7,16
534,21201,21201,1602,7,7,16
535,21204,21204,1605,7,6,18
536,21207,21207,1608,7,7,15
537,21210,21210,1611,6,5,17
538,21213,21213,1614,7,8,16
539,21216,21216,1617,8,8,16
540,21219,21219,1620,8,7,18
541,21222,21222,1623,7,8,19
542,21225,21225,1626,8,8,20
543,21228,21228,1629,8,8,18
544,21231,21231,1632,4,5,20
545,21234,21234,1635,5,5,19
546,21237,21237,1638,4,4,18
547,21240,21240,1641,5,7,17
548,21243,21243,1644,5,5,18
549,21246,21246,1647,5,5,17
550,21249,21249,1650,7,7,17
551,21252,21252,1653,7,6,20
552,21255,21255,1656,7,7,21
553,21258,21258,1659,6,5,20
554,21261,21261,1662,6,6,19
555,21264,21264,1665,8,7,21
556,21267,21267,1668,9,8,20
557,21270,21270,1671,8,7,21
558,21273,21273,1674,7,7,21
559,21276,21276,1677,6,5,18
560,21279,21279,1680,5,6,20
561,21282,21282,1683,5,6,17
562,21285,21285,1686,4,4,17
563,21288,21288,1689,5,5,17
564,21291,21291,1692,7,8,18
565,21294,21294,1695,7,7,15
566,21297,21297,1698,0,0,16
567,21300,21300,1701,3,1,18
568,21303,21303,1704,3,4,17
569,21306,21306,1707,4,4,17
570,21309,21309,1710,4,4,18
571,21312,21312,1713,5,6,17
572,21315,21315,1716,3,4,13
573,21318,21318,1719,6,6,18
574,21321,21321,1722,3,3,19
575,21324,21324,1725,4,5,18
576,21327,21327,1728,4,4,18
577,21330,21330,1731,8,7,18
578,21333,21333,1734,8,9,19
579,21336,21336,1737,9,10,20
580,21339,21339,1740,7,7,19
581,21342,21342,1743,7,7,20
582,21345,21345,1746,8,8,19
583,21348,21348,1749,7,7,17
584,21351,21351,1752,7,7,21
585,21354,21354,1755,6,6,18
586,21357,21357,1758,7,8,18
587,21360,21360,1761,8,7,19
588,21363,21363,1764,9,6,19
589,21366,21366,1767,5,5,17
590,21369,21369,1770,6,6,17
591,21372,21372,1773,5,5,20
592,21375,21375,1776,4,4,17
593,21378,21378,1779,12,11,18
594,21381,21381,1782,12,12,18
595,21384,21384,1785,12,11,20
596,21387,21387,1788,12,11,18
597,21390,21390,1791,13,13,19
598,21393,21393,1794,12,12,18
599,21396,21396,1797,12,12,18
600,21399,21399,1800,12,11,20
601,21402,21402,1803,11,10,20
602,21405,21405,1806,8,8,18
603,21408,21408,1809,11,9,19
604,21411,21411,1812,11,10,18
605,21414,21414,1815,10,11,14
606,21417,21417,1818,13,11,16
607,21420,21420,1821,9,10,16
608,21423,21423,1824,8,9,16
609,21426,21426,1827,7,7,16
610,21429,21429,1830,10,10,14
611,21432,21432,1833,10,10,16
612,21435,21435,1836,10,10,18
613,21438,21438,1839,8,9,18
614,21441,21441,1842,8,10,16
615,21444,21444,1845,12,12,18
616,21447,21447,1848,14,13,18
617,21450,21450,1851,9,9,21
618,21453,21453,1854,13,12,18
619,21456,21456,1857,14,14,17
620,21459,21459,1860,11,11,13
621,21462,21462,1863,10,10,12
622,21465,21465,1866,14,15,15
623,21468,21468,1869,13,14,15
624,21471,21471,1872,13,12,12
625,21474,21474,1875,13,13,14
626,21477,21477,1878,12,12,17
627,21480,21480,1881,13,13,14
628,21483,21483,1884,13,12,14
629,21486,21486,1887,13,14,15
630,21489,21489,1890,13,13,14
631,21492,21492,1893,11,10,14
632,21495,21495,1896,8,8,17
633,21498,21498,1899,10,10,19
634,21501,21501,1902,10,10,15
635,21504,21504,1905,10,10,17
636,21507,21507,1908,11,11,16
637,21510,21510,1911,12,11,15
638,21513,21513,1914,11,12,19
639,21516,21516,1917,11,11,16
640,21519,21519,1920,10,10,19
641,21522,21522,1923,9,8,17
642,21525,21525,1926,9,9,18
643,21528,21528,1929,10,9,18
644,21531,21531,1932,9,10,16
645,21534,21534,1935,9,9,15
646,21537,21537,1938,10,10,15
647,21540,21540,1941,9,9,16
648,21543,21543,1944,10,9,17
649,21546,21546,1947,11,10,19
650,21549,21549,1950,11,8,19
651,21552,21552,1953,13,13,20
652,21555,21555,1956,9,10,17
653,21558,21558,1959,9,10,16
654,21561,21561,1962,10,11,17
655,21564,21564,1965,10,12,19
656,21567,21567,1968,10,9,18
657,21570,21570,1971,8,9,17
658,21573,21573,1974,9,9,19
659,21576,21576,1977,11,12,17
660,21579,21579,1980,11,12,13
661,21582,21582,1983,9,10,17
662,21585,21585,1986,9,8,16
663,21588,21588,1989,9,7,15
664,21591,21591,1992,7,6,17
665,21594,21594,1995,10,10,18
666,21597,21597,1998,8,10,15
667,21600,21600,2001,10,10,18
668,21603,21603,2004,9,9,17
669,21606,21606,2007,10,10,20
670,21609,21609,2010,9,10,19
671,21612,21612,2013,9,10,16
672,21615,21615,2016,11,10,16
673,21618,21618,2019,11,11,17
674,21621,21621,2022,9,9,15
675,21624,21624,2025,8,8,18
676,21627,21627,2028,9,9,15
677,21630,21630,2031,8,9,16
678,21633,21633,2034,7,9,14
679,21636,21636,2037,9,9,17
680,21639,21639,2040,8,8,18
681,21642,21642,2043,8,9,19
682,21645,21645,2046,7,7,21
683,21648,21648,2049,9,9,16
684,21651,21651,2052,8,8,16
685,21654,21654,2055,8,8,16
686,21657,21657,2058,9,9,17
687,21660,21660,2061,9,9,18
688,21663,21663,2064,9,9,13
689,21666,21666,2067,11,10,17
690,21669,21669,2070,8,8,16
691,21672,21672,2073,9,10,13
692,21675,21675,2076,10,10,15
693,21678,21678,2079,12,12,16
694,21681,21681,2082,11,10,14
695,21684,21684,2085,10,10,16
696,21687,21687,2088,10,10,13
697,21690,21690,2091,9,11,14
698,21693,21693,2094,10,10,15
699,21696,21696,2097,12,12,18
700,21699,21699,2100,9,9,18
701,21702,21702,2103,7,8,13
702,21705,21705,2106,9,10,16
703,21708,21708,2109,8,8,17
704,21711,21711,2112,10,11,15
705,21714,21714,2115,10,11,19
706,21717,21717,2118,10,10,19
707,21720,21720,2121,7,9,20
708,21723,21723,2124,7,7,18
709,21726,21726,2127,9,9,15
710,21729,21729,2130,8,8,15
711,21732,21732,2133,6,6,15
712,21735,21735,2136,10,9,14
713,21738,21738,2139,9,8,18
714,21741,21741,2142,11,12,15
715,21744,21744,2145,12,12,13
716,21747,21747,2148,9,9,14
717,21750,21750,2151,9,10,14
718,21753,21753,2154,12,13,14
719,21756,21756,2157,12,11,12
720,21759,21759,2160,11,10,15
721,21762,21762,2163,10,9,11
722,21765,21765,2166,11,11,14
723,21768,21768,2169,9,10,14
724,21771,21771,2172,12,11,15
725,21774,21774,2175,9,10,14
726,21777,21777,2178,6,5,15
727,21780,21780,2181,4,4,14
728,21783,21783,2184,8,7,17
729,21786,21786,2187,5,6,15
730,21789,21789,2190,7,7,14
731,21792,21792,2193,7,7,14
732,21795,21795,2196,6,6,13
733,21798,21798,2199,8,8,13
734,21801,21801,2202,3,3,14
735,21804,21804,2205,5,5,15
736,21807,21807,2208,9,6,14
737,21810,21810,2211,9,8,15
738,21813,21813,2214,7,8,14
739,21816,21816,2217,5,6,15
740,21819,21819,2220,4,4,16
741,21822,21822,2223,3,3,17
742,21825,21825,2226,6,6,16
743,21828,21828,2229,6,7,18
744,21831,21831,2232,7,5,17
745,21834,21834,2235,8,9,16
746,21837,21837,2238,5,5,14
747,21840,21840,2241,1,1,17
748,21843,21843,2244,2,2,15
749,21846,21846,2247,2,2,17
750,21849,21849,2250,3,3,16
751,21852,21852,2253,4,4,18
752,21855,21855,2256,3,3,19
753,21858,21858,2259,6,7,19
754,21861,21861,2262,2,3,16
755,21864,21864,2265,3,3,14
756,21867,21867,2268,5,5,16
757,21870,21870,2271,2,2,12
758,21873,21873,2274,4,4,13
759,21876,21876,2277,4,5,15
760,21879,21879,2280,5,5,18
761,21882,21882,2283,6,6,13
762,21885,21885,2286,4,5,13
763,21888,21888,2289,6,6,13
764,21891,21891,2292,7,6,17
765,21894,21894,2295,5,5,15
766,21897,21897,2298,4,4,13
767,21900,21900,2301,8,8,13
768,21903,21903,2304,10,11,13
769,21906,21906,2307,7,8,12
770,21909,21909,2310,7,7,12
771,21912,21912,2313,8,7,13
772,21915,21915,2316,8,10,15
773,21918,21918,2319,9,9,13
774,21921,21921,2322,6,7,16
775,21924,21924,2325,8,8,17
776,21927,21927,2328,11,10,19
777,21930,21930,2331,11,11,17
778,21933,21933,2334,10,9,15
779,21936,21936,2337,8,9,17
780,21939,21939,2340,10,9,19
781,21942,21942,2343,10,11,20
782,21945,21945,2346,6,6,16
783,21948,21948,2349,7,6,17
784,21951,21951,2352,7,7,16
785,21954,21954,2355,9,8,18
786,21957,21957,2358,3,3,18
787,21960,21960,2361,4,4,17
788,21963,21963,2364,4,3,16
789,21966,21966,2367,7,6,17
790,21969,21969,2370,6,5,15
791,21972,21972,2373,5,5,13
792,21975,21975,2376,6,6,13
793,21978,21978,2379,6,7,18
794,21981,21981,2382,6,6,15
795,21984,21984,2385,7,8,19
796,21987,21987,2388,7,8,15
797,21990,21990,2391,7,6,15
798,21993,21993,2394,5,5,15
799,21996,21996,2397,5,7,15
800,21999,21999,2400,7,7,18
801,22002,22002,2403,4,4,15
802,22005,22005,2406,3,3,16
803,22008,22008,2409,4,3,19
804,22011,22011,2412,4,5,20
805,22014,22014,2415,5,5,18
806,22017,22017,2418,7,6,20
807,22020,22020,2421,7,7,16
808,22023,22023,2424,6,6,21
809,22026,22026,2427,7,7,20
810,22029,22029,2430,7,6,18
811,22032,22032,2433,6,6,20
812,22035,22035,2436,5,5,20
813,22038,22038,2439,9,8,18
814,22041,22041,2442,8,9,20
815,22044,22044,2445,7,7,21
816,22047,22047,2448,8,8,19
817,22050,22050,2451,9,7,20
818,22053,22053,2454,8,8,18
819,22056,22056,2457,8,8,21
820,22059,22059,2460,8,7,17
821,22062,22062,2463,5,5,18
822,22065,22065,2466,7,7,19
823,22068,22068,2469,7,9,19
824,22071,22071,2472,10,9,21
825,22074,22074,2475,9,9,21
826,22077,22077,2478,6,6,23
827,22080,22080,2481,7,8,21
828,22083,22083,2484,8,9,21
