geometry,sigma_px,draw,probe_index,err_m,err_modulo_m
G2_WIDE,0.00,0,18,6.106046,0.011230
G2_WIDE,0.00,0,19,9.153207,0.010600
G2_WIDE,0.00,0,20,12.200494,0.010112
G2_WIDE,0.00,0,21,15.247908,0.009761
G2_WIDE,0.00,0,22,15.218722,0.021861
G2_WIDE,0.00,0,23,12.172607,0.019992
G2_WIDE,0.00,0,24,9.126366,0.018249
G2_WIDE,0.00,0,25,6.080000,0.016632
G2_WIDE,0.00,0,26,3.033508,0.015142
G2_WIDE,0.00,0,27,0.013776,0.013776
G2_WIDE,0.00,0,28,3.059862,0.012536
G2_WIDE,0.00,0,29,6.106733,0.011420
G2_WIDE,0.00,0,30,9.153730,0.010426
G2_WIDE,0.00,0,31,12.200855,0.009553
G2_WIDE,0.00,0,32,15.248105,0.008800
G2_WIDE,0.00,0,33,15.216897,0.026529
G2_WIDE,0.00,0,34,12.170947,0.024721
G2_WIDE,0.00,0,35,9.124871,0.023059
G2_WIDE,0.00,0,36,6.078670,0.021542
G2_WIDE,0.00,0,37,3.032354,0.020169
G2_WIDE,0.00,0,38,0.018939,0.018939
G2_WIDE,0.00,0,39,3.060737,0.017848
G2_WIDE,0.00,0,40,6.107432,0.016890
G2_WIDE,0.00,0,41,9.154263,0.016060
G2_WIDE,0.00,0,42,12.201221,0.015351
G2_WIDE,0.00,0,43,15.248306,0.014752
G2_WIDE,0.00,0,44,15.215075,0.032386
G2_WIDE,0.00,0,45,12.169290,0.030709
G2_WIDE,0.00,0,46,9.123382,0.029193
G2_WIDE,0.00,0,47,6.077352,0.027836
G2_WIDE,0.00,0,48,3.031220,0.026634
G2_WIDE,0.00,0,49,0.025580,0.025580
G2_WIDE,0.00,0,50,3.061630,0.024670
G2_WIDE,0.00,0,51,6.108142,0.023893
G2_WIDE,0.00,0,52,9.154801,0.023240
G2_WIDE,0.00,0,53,12.201593,0.022700
G2_WIDE,0.00,0,54,15.248514,0.022259
G2_WIDE,0.00,0,55,15.213257,0.038671
G2_WIDE,0.00,0,56,12.167638,0.037117
G2_WIDE,0.00,0,57,9.121898,0.035731
G2_WIDE,0.00,0,58,6.076043,0.034509
G2_WIDE,0.00,0,59,3.030104,0.033445
G2_WIDE,0.00,0,60,0.032532,0.032532
G2_WIDE,0.00,0,61,3.062543,0.031760
G2_WIDE,0.00,0,62,6.108860,0.031119
G2_WIDE,0.00,0,63,9.155346,0.030597
G2_WIDE,0.00,0,64,12.201970,0.030182
G2_WIDE,0.00,0,65,15.248724,0.029859
G2_WIDE,0.00,0,66,15.211443,0.045021
G2_WIDE,0.00,0,67,12.165990,0.043565
G2_WIDE,0.00,0,68,9.120419,0.042283
G2_WIDE,0.00,0,69,6.074739,0.041168
G2_WIDE,0.00,0,70,3.029003,0.040213
G2_WIDE,0.00,0,71,0.039408,0.039408
G2_WIDE,0.00,0,72,3.063469,0.038745
G2_WIDE,0.00,0,73,6.109586,0.038208
G2_WIDE,0.00,0,74,9.155896,0.037790
G2_WIDE,0.00,0,75,12.202350,0.037474
G2_WIDE,0.00,0,76,15.248937,0.037248
G2_WIDE,0.00,0,77,15.209630,0.051256
G2_WIDE,0.00,0,78,12.164346,0.049879
G2_WIDE,0.00,0,79,9.118944,0.048678
G2_WIDE,0.00,0,80,6.073442,0.047647
G2_WIDE,0.00,0,81,3.027913,0.046779
G2_WIDE,0.00,0,82,0.046062,0.046062
G2_WIDE,0.00,0,83,3.064408,0.045485
G2_WIDE,0.00,0,84,6.110318,0.045036
G2_WIDE,0.00,0,85,9.156451,0.044704
G2_WIDE,0.00,0,86,12.202734,0.044475
G2_WIDE,0.00,0,87,15.249154,0.044335
G2_WIDE,0.00,0,88,15.207820,0.057284
G2_WIDE,0.00,0,89,12.162703,0.055968
G2_WIDE,0.00,0,90,9.117473,0.054832
G2_WIDE,0.00,0,91,6.072150,0.053869
G2_WIDE,0.00,0,92,3.026833,0.053071
G2_WIDE,0.00,0,93,0.052425,0.052425
G2_WIDE,0.00,0,94,3.065355,0.051921
G2_WIDE,0.00,0,95,6.111054,0.051549
G2_WIDE,0.00,0,96,9.157008,0.051292
G2_WIDE,0.00,0,97,12.203120,0.051141
G2_WIDE,0.00,0,98,15.249371,0.051080
G2_WIDE,0.00,0,99,15.206011,0.063052
G2_WIDE,0.00,0,100,12.161062,0.061782
G2_WIDE,0.00,0,101,9.116003,0.060698
G2_WIDE,0.00,0,102,6.070862,0.059790
G2_WIDE,0.00,0,103,3.025759,0.059050
G2_WIDE,0.00,0,104,0.058465,0.058465
G2_WIDE,0.00,0,105,3.066309,0.058027
G2_WIDE,0.00,0,106,6.111795,0.057720
