control,geometry,seed,detail,expected,observed,outcome
clone_invariance,G2_WIDE,3710909,n=8 candidates,"('NO_DISTINCT_RUNNER_UP', None, 0.8332174483256124, None, (np.float64(-20.805964563), np.float64(5.993130119), np.float64(1159.229192953), np.float64(-0.004291839), np.float64(-7.486302874), np.float64(699.296496927), np.float64(-1.0182e-05), np.float64(0.009382585), np.float64(1.0)))","('NO_DISTINCT_RUNNER_UP', None, 0.8332174483256124, None, (np.float64(-20.805964563), np.float64(5.993130119), np.float64(1159.229192953), np.float64(-0.004291839), np.float64(-7.486302874), np.float64(699.296496927), np.float64(-1.0182e-05), np.float64(0.009382585), np.float64(1.0)))",PASS
permutation_invariance,G3_TIGHT,3710909,n=8 candidates,"('NO_DISTINCT_RUNNER_UP', None, 0.734200175683103, None, (np.float64(15.105868156), np.float64(6.115913283), np.float64(261.053544182), np.float64(-0.020782185), np.float64(-6.293670531), np.float64(658.642525564), np.float64(-3.4335e-05), np.float64(0.009526205), np.float64(1.0)))","('NO_DISTINCT_RUNNER_UP', None, 0.734200175683103, None, (np.float64(15.105868156), np.float64(6.115913283), np.float64(261.053544182), np.float64(-0.020782185), np.float64(-6.293670531), np.float64(658.642525564), np.float64(-3.4335e-05), np.float64(0.009526205), np.float64(1.0)))",PASS
clone_invariance,G3_TIGHT,3710909,n=8 candidates,"('NO_DISTINCT_RUNNER_UP', None, 0.734200175683103, None, (np.float64(15.105868156), np.float64(6.115913283), np.float64(261.053544182), np.float64(-0.020782185), np.float64(-6.293670531), np.float64(658.642525564), np.float64(-3.4335e-05), np.float64(0.009526205), np.float64(1.0)))","('NO_DISTINCT_RUNNER_UP', None, 0.734200175683103, None, (np.float64(15.105868156), np.float64(6.115913283), np.float64(261.053544182), np.float64(-0.020782185), np.float64(-6.293670531), np.float64(658.642525564), np.float64(-3.4335e-05), np.float64(0.009526205), np.float64(1.0)))",PASS
permutation_invariance,G4_OFF_AXIS,3710909,n=8 candidates,"('NO_DISTINCT_RUNNER_UP', None, 0.7712390075376885, None, (np.float64(18.170504001), np.float64(4.922648906), np.float64(200.992948893), np.float64(-0.905620265), np.float64(-7.257099491), np.float64(699.334413941), np.float64(-0.00016514), np.float64(0.009258015), np.float64(1.0)))","('NO_DISTINCT_RUNNER_UP', None, 0.7712390075376885, None, (np.float64(18.170504001), np.float64(4.922648906), np.float64(200.992948893), np.float64(-0.905620265), np.float64(-7.257099491), np.float64(699.334413941), np.float64(-0.00016514), np.float64(0.009258015), np.float64(1.0)))",PASS
clone_invariance,G4_OFF_AXIS,3710909,n=8 candidates,"('NO_DISTINCT_RUNNER_UP', None, 0.7712390075376885, None, (np.float64(18.170504001), np.float64(4.922648906), np.float64(200.992948893), np.float64(-0.905620265), np.float64(-7.257099491), np.float64(699.334413941), np.float64(-0.00016514), np.float64(0.009258015), np.float64(1.0)))","('NO_DISTINCT_RUNNER_UP', None, 0.7712390075376885, None, (np.float64(18.170504001), np.float64(4.922648906), np.float64(200.992948893), np.float64(-0.905620265), np.float64(-7.257099491), np.float64(699.334413941), np.float64(-0.00016514), np.float64(0.009258015), np.float64(1.0)))",PASS
planted_ambiguity,G1_SYNTH_QUAD,3710909,distinct_class=True planted_margin=0.082643,REFUSED_MARGIN,REFUSED_MARGIN margin=0.08264257647196525,PASS
planted_ambiguity,G2_WIDE,3710910,distinct_class=True planted_margin=0.006383,REFUSED_MARGIN,REFUSED_MARGIN margin=0.006383265003310665,PASS
planted_ambiguity,G3_TIGHT,3710911,distinct_class=True planted_margin=0.089258,REFUSED_MARGIN,REFUSED_MARGIN margin=0.08925784133245908,PASS
planted_ambiguity,G4_OFF_AXIS,3710912,distinct_class=True planted_margin=0.005393,REFUSED_MARGIN,REFUSED_MARGIN margin=0.005393450783501374,PASS
planted_ambiguity,G1_SYNTH_QUAD,3710913,distinct_class=True planted_margin=0.014316,REFUSED_MARGIN,REFUSED_MARGIN margin=0.014316270380675107,PASS
planted_ambiguity,G2_WIDE,3710914,distinct_class=True planted_margin=0.028869,REFUSED_MARGIN,REFUSED_MARGIN margin=0.028868505472352052,PASS
planted_ambiguity,G3_TIGHT,3710915,distinct_class=True planted_margin=0.040376,REFUSED_MARGIN,REFUSED_MARGIN margin=0.04037639712829789,PASS
planted_ambiguity,G4_OFF_AXIS,3710916,distinct_class=True planted_margin=0.039913,REFUSED_MARGIN,REFUSED_MARGIN margin=0.03991335361777835,PASS
planted_ambiguity,G1_SYNTH_QUAD,3710917,distinct_class=True planted_margin=0.058010,REFUSED_MARGIN,REFUSED_MARGIN margin=0.058009595508647205,PASS
planted_ambiguity,G2_WIDE,3710918,distinct_class=True planted_margin=0.092986,REFUSED_MARGIN,REFUSED_MARGIN margin=0.09298613555947671,PASS
planted_ambiguity,G3_TIGHT,3710919,distinct_class=True planted_margin=0.074013,REFUSED_MARGIN,REFUSED_MARGIN margin=0.0740125104643403,PASS
planted_ambiguity,G4_OFF_AXIS,3710920,distinct_class=True planted_margin=0.092409,REFUSED_MARGIN,REFUSED_MARGIN margin=0.09240907508414431,PASS
planted_ambiguity,G1_SYNTH_QUAD,3710921,distinct_class=True planted_margin=0.074777,REFUSED_MARGIN,REFUSED_MARGIN margin=0.07477676681866634,PASS
planted_ambiguity,G2_WIDE,3710922,distinct_class=True planted_margin=0.013640,REFUSED_MARGIN,REFUSED_MARGIN margin=0.013640204431263597,PASS
planted_ambiguity,G3_TIGHT,3710923,distinct_class=True planted_margin=0.010596,REFUSED_MARGIN,REFUSED_MARGIN margin=0.010595826891017006,PASS
planted_ambiguity,G4_OFF_AXIS,3710924,distinct_class=True planted_margin=0.081495,REFUSED_MARGIN,REFUSED_MARGIN margin=0.08149505354426748,PASS
planted_ambiguity,G1_SYNTH_QUAD,3710925,distinct_class=True planted_margin=0.042618,REFUSED_MARGIN,REFUSED_MARGIN margin=0.042617747033807156,PASS
planted_ambiguity,G2_WIDE,3710926,distinct_class=True planted_margin=0.054951,REFUSED_MARGIN,REFUSED_MARGIN margin=0.054950683807784305,PASS
planted_ambiguity,G3_TIGHT,3710927,distinct_class=True planted_margin=0.046184,REFUSED_MARGIN,REFUSED_MARGIN margin=0.0461839995663166,PASS
planted_ambiguity,G4_OFF_AXIS,3710928,distinct_class=True planted_margin=0.045073,REFUSED_MARGIN,REFUSED_MARGIN margin=0.04507331595495126,PASS
planted_ambiguity,G1_SYNTH_QUAD,3710929,distinct_class=True planted_margin=0.097141,REFUSED_MARGIN,REFUSED_MARGIN margin=0.097140984843264,PASS
planted_ambiguity,G2_WIDE,3710930,distinct_class=True planted_margin=0.042384,REFUSED_MARGIN,REFUSED_MARGIN margin=0.04238395520507132,PASS
planted_ambiguity,G3_TIGHT,3710931,distinct_class=True planted_margin=0.090138,REFUSED_MARGIN,REFUSED_MARGIN margin=0.09013837984460257,PASS
planted_ambiguity,G4_OFF_AXIS,3710932,distinct_class=True planted_margin=0.037228,REFUSED_MARGIN,REFUSED_MARGIN margin=0.037228140319026444,PASS
planted_ambiguity,G1_SYNTH_QUAD,3710933,distinct_class=True planted_margin=0.010038,REFUSED_MARGIN,REFUSED_MARGIN margin=0.010038499701556946,PASS
planted_ambiguity,G2_WIDE,3710934,distinct_class=True planted_margin=0.097896,REFUSED_MARGIN,REFUSED_MARGIN margin=0.09789599558771533,PASS
planted_ambiguity,G3_TIGHT,3710935,distinct_class=True planted_margin=0.053115,REFUSED_MARGIN,REFUSED_MARGIN margin=0.0531150306555467,PASS
planted_ambiguity,G4_OFF_AXIS,3710936,distinct_class=True planted_margin=0.043557,REFUSED_MARGIN,REFUSED_MARGIN margin=0.04355667839985953,PASS
planted_ambiguity,G1_SYNTH_QUAD,3710937,distinct_class=True planted_margin=0.050368,REFUSED_MARGIN,REFUSED_MARGIN margin=0.05036783534191091,PASS
planted_ambiguity,G2_WIDE,3710938,distinct_class=True planted_margin=0.052246,REFUSED_MARGIN,REFUSED_MARGIN margin=0.05224583363906702,PASS
