geometry,sigma_px,draw,symmetry_class,objective_j,source_element,enumeration_rank,candidate_hypotheses_count,deduplicated_symmetry_images_count
G1_SYNTH_QUAD,0.25,12,0,0.7512364986553863,identity,5,107796,12849
G1_SYNTH_QUAD,0.25,12,0,0.7488595013642431,identity,2,107796,12849
G1_SYNTH_QUAD,0.25,12,0,0.7488595013642431,identity,6,107796,12849
G1_SYNTH_QUAD,0.25,12,0,0.7467393731352073,mirror_x,7,107796,12849
G1_SYNTH_QUAD,0.25,12,0,0.7467393731352073,mirror_x,8,107796,12849
G1_SYNTH_QUAD,0.25,15,0,0.7438792319753063,identity,2,112116,12170
G1_SYNTH_QUAD,0.25,15,0,0.7438791552979742,mirror_x,1,112116,12170
G1_SYNTH_QUAD,0.25,15,0,0.7438791552979742,identity,5,112116,12170
G1_SYNTH_QUAD,0.25,15,0,0.7438791552979742,identity,7,112116,12170
G1_SYNTH_QUAD,0.25,15,0,0.7438791552979742,mirror_x,8,112116,12170
G1_SYNTH_QUAD,0.25,15,0,0.7397744643628298,identity,3,112116,12170
G1_SYNTH_QUAD,0.25,15,0,0.7397744643628298,mirror_x,4,112116,12170
G1_SYNTH_QUAD,0.25,15,0,0.7397744643628298,mirror_x,6,112116,12170
G1_SYNTH_QUAD,0.25,18,0,0.7792223446333228,identity,2,114356,13908
G1_SYNTH_QUAD,0.25,18,0,0.7784150856823179,mirror_x,1,114356,13908
G1_SYNTH_QUAD,0.25,18,0,0.7777887085574356,identity,4,114356,13908
G1_SYNTH_QUAD,0.25,18,0,0.7777887085574356,mirror_x,5,114356,13908
G1_SYNTH_QUAD,0.25,18,0,0.7777887085574356,identity,7,114356,13908
G1_SYNTH_QUAD,0.25,18,0,0.7777887085574356,identity,8,114356,13908
G1_SYNTH_QUAD,0.25,18,0,0.7769964016861652,mirror_x,3,114356,13908
G1_SYNTH_QUAD,0.25,18,0,0.7769964016861652,identity,6,114356,13908
G1_SYNTH_QUAD,0.25,21,0,0.7620647947991913,identity,1,117476,12731
G1_SYNTH_QUAD,0.25,21,0,0.7620118107627983,mirror_x,2,117476,12731
G1_SYNTH_QUAD,0.25,21,0,0.7616119384765625,identity,5,117476,12731
G1_SYNTH_QUAD,0.25,21,0,0.7616119384765625,identity,6,117476,12731
G1_SYNTH_QUAD,0.25,21,0,0.7616119384765625,mirror_x,7,117476,12731
G1_SYNTH_QUAD,0.25,21,0,0.7606990948394315,mirror_x,3,117476,12731
G1_SYNTH_QUAD,0.25,21,0,0.7606461108030387,identity,4,117476,12731
G1_SYNTH_QUAD,0.25,21,0,0.7602462385168027,mirror_x,8,117476,12731
G1_SYNTH_QUAD,0.25,24,0,0.7916120212880811,mirror_x,1,114596,13813
G1_SYNTH_QUAD,0.25,24,0,0.7916120212880811,mirror_x,2,114596,13813
G1_SYNTH_QUAD,0.25,24,0,0.7916120212880811,identity,5,114596,13813
G1_SYNTH_QUAD,0.25,24,0,0.7916120212880811,mirror_x,6,114596,13813
G1_SYNTH_QUAD,0.25,24,0,0.7916120212880811,identity,7,114596,13813
G1_SYNTH_QUAD,0.25,24,0,0.7884130429981941,identity,3,114596,13813
G1_SYNTH_QUAD,0.25,24,0,0.7884130429981941,identity,4,114596,13813
G1_SYNTH_QUAD,0.25,24,0,0.7884130429981941,mirror_x,8,114596,13813
G1_SYNTH_QUAD,0.25,27,0,0.8004495438618876,identity,1,119152,10288
G1_SYNTH_QUAD,0.25,27,0,0.8004495438618876,identity,4,119152,10288
G1_SYNTH_QUAD,0.25,27,0,0.8004495438618876,identity,6,119152,10288
G1_SYNTH_QUAD,0.25,27,0,0.8004495438618876,mirror_x,7,119152,10288
G1_SYNTH_QUAD,0.25,27,0,0.7997102210270101,identity,2,119152,10288
G1_SYNTH_QUAD,0.25,27,0,0.7997102210270101,mirror_x,3,119152,10288
G1_SYNTH_QUAD,0.25,27,0,0.7997102210270101,mirror_x,5,119152,10288
G1_SYNTH_QUAD,0.25,27,0,0.7997102210270101,mirror_x,8,119152,10288
G1_SYNTH_QUAD,0.50,0,0,0.7558247168459485,identity,5,111568,12813
G1_SYNTH_QUAD,0.50,0,0,0.7558247168459485,mirror_x,6,111568,12813
G1_SYNTH_QUAD,0.50,0,0,0.7550248955961448,identity,7,111568,12813
G1_SYNTH_QUAD,0.50,0,0,0.7387871670363536,identity,8,111568,12813
G1_SYNTH_QUAD,0.50,0,0,0.7362671665210819,identity,1,111568,12813
G1_SYNTH_QUAD,0.50,0,0,0.7362671665210819,mirror_x,2,111568,12813
G1_SYNTH_QUAD,0.50,0,0,0.7354672685939463,identity,3,111568,12813
G1_SYNTH_QUAD,0.50,0,0,0.7354672685939463,mirror_x,4,111568,12813
G1_SYNTH_QUAD,0.50,3,0,0.7597411649311008,identity,8,106112,6967
G1_SYNTH_QUAD,0.50,3,0,0.7595676441288474,identity,3,106112,6967
G1_SYNTH_QUAD,0.50,3,0,0.7573420078910176,mirror_x,4,106112,6967
G1_SYNTH_QUAD,0.50,3,0,0.7571682570567683,identity,1,106112,6967
G1_SYNTH_QUAD,0.50,3,0,0.7571682570567683,identity,7,106112,6967
G1_SYNTH_QUAD,0.50,3,0,0.7549424674642745,mirror_x,2,106112,6967
G1_SYNTH_QUAD,0.50,3,0,0.7541953235415358,identity,5,106112,6967
G1_SYNTH_QUAD,0.50,3,0,0.7517960898241206,mirror_x,6,106112,6967
G1_SYNTH_QUAD,0.50,6,0,0.7861423971664966,mirror_x,1,109716,19178
G1_SYNTH_QUAD,0.50,6,0,0.7861423971664966,identity,3,109716,19178
G1_SYNTH_QUAD,0.50,6,0,0.7861423971664966,mirror_x,7,109716,19178
G1_SYNTH_QUAD,0.50,6,0,0.7861423971664966,mirror_x,8,109716,19178
G1_SYNTH_QUAD,0.50,6,0,0.7848296045657978,identity,2,109716,19178
G1_SYNTH_QUAD,0.50,6,0,0.7848296045657978,mirror_x,4,109716,19178
G1_SYNTH_QUAD,0.50,6,0,0.7847691828282035,mirror_x,5,109716,19178
G1_SYNTH_QUAD,0.50,6,0,0.7834563135501728,identity,6,109716,19178
G1_SYNTH_QUAD,0.50,9,0,0.7994443040397299,mirror_x,5,114204,12736
G1_SYNTH_QUAD,0.50,9,0,0.7992179525557475,identity,4,114204,12736
G1_SYNTH_QUAD,0.50,9,0,0.7990518694546953,identity,6,114204,12736
G1_SYNTH_QUAD,0.50,9,0,0.7990518694546953,mirror_x,7,114204,12736
G1_SYNTH_QUAD,0.50,9,0,0.7988180035921797,mirror_x,2,114204,12736
G1_SYNTH_QUAD,0.50,9,0,0.7985990898093985,mirror_x,3,114204,12736
G1_SYNTH_QUAD,0.50,9,0,0.7985990898093985,identity,8,114204,12736
G1_SYNTH_QUAD,0.50,9,0,0.7981992175231627,identity,1,114204,12736
G1_SYNTH_QUAD,0.50,12,0,0.6899411762180041,identity,3,113752,3004
G1_SYNTH_QUAD,0.50,12,0,0.6899411762180041,mirror_x,4,113752,3004
G1_SYNTH_QUAD,0.50,12,0,0.6899411762180041,mirror_x,7,113752,3004
G1_SYNTH_QUAD,0.50,12,0,0.6891413549682004,mirror_x,5,113752,3004
G1_SYNTH_QUAD,0.50,12,0,0.6891413549682004,identity,6,113752,3004
G1_SYNTH_QUAD,0.50,12,0,0.6891413549682004,identity,8,113752,3004
G1_SYNTH_QUAD,0.50,12,0,0.6877680639525754,mirror_x,1,113752,3004
G1_SYNTH_QUAD,0.50,12,0,0.6869683193801036,identity,2,113752,3004
G1_SYNTH_QUAD,0.50,15,0,0.7770197115950848,identity,1,107984,20641
G1_SYNTH_QUAD,0.50,15,0,0.7766198393088489,mirror_x,2,107984,20641
G1_SYNTH_QUAD,0.50,15,0,0.7766198393088489,mirror_x,3,107984,20641
G1_SYNTH_QUAD,0.50,15,0,0.7766198393088489,identity,4,107984,20641
G1_SYNTH_QUAD,0.50,15,0,0.773986663051586,mirror_x,5,107984,20641
G1_SYNTH_QUAD,0.50,15,0,0.7735867907653502,identity,6,107984,20641
G1_SYNTH_QUAD,0.50,15,0,0.7735867907653502,identity,7,107984,20641
G1_SYNTH_QUAD,0.50,15,0,0.7735867907653502,mirror_x,8,107984,20641
G1_SYNTH_QUAD,0.50,18,0,0.7286594716747802,mirror_x,5,114000,12367
G1_SYNTH_QUAD,0.50,18,0,0.7286594716747802,identity,8,114000,12367
G1_SYNTH_QUAD,0.50,18,0,0.7284859508725267,mirror_x,1,114000,12367
G1_SYNTH_QUAD,0.50,18,0,0.7284859508725267,identity,3,114000,12367
G1_SYNTH_QUAD,0.50,18,0,0.7284859508725267,mirror_x,6,114000,12367
G1_SYNTH_QUAD,0.50,18,0,0.7256336308004868,identity,2,114000,12367
G1_SYNTH_QUAD,0.50,18,0,0.7256336308004868,mirror_x,4,114000,12367
G1_SYNTH_QUAD,0.50,18,0,0.7256336308004868,identity,7,114000,12367
G1_SYNTH_QUAD,0.50,21,0,0.7903755226326947,mirror_x,1,117520,9748
G1_SYNTH_QUAD,0.50,21,0,0.7903755226326947,identity,3,117520,9748
G1_SYNTH_QUAD,0.50,21,0,0.7903755226326947,mirror_x,5,117520,9748
G1_SYNTH_QUAD,0.50,21,0,0.7903755226326947,mirror_x,7,117520,9748
G1_SYNTH_QUAD,0.50,21,0,0.7903755226326947,identity,8,117520,9748
G1_SYNTH_QUAD,0.50,21,0,0.7892286597783841,identity,2,117520,9748
G1_SYNTH_QUAD,0.50,21,0,0.7892286597783841,mirror_x,4,117520,9748
G1_SYNTH_QUAD,0.50,21,0,0.7892286597783841,identity,6,117520,9748
G1_SYNTH_QUAD,0.50,24,0,0.7833812464421718,mirror_x,1,109624,11852
G1_SYNTH_QUAD,0.50,24,0,0.7833812464421718,mirror_x,2,109624,11852
G1_SYNTH_QUAD,0.50,24,0,0.7833812464421718,identity,3,109624,11852
G1_SYNTH_QUAD,0.50,24,0,0.7833812464421718,identity,7,109624,11852
G1_SYNTH_QUAD,0.50,24,0,0.7771563506006596,identity,4,109624,11852
G1_SYNTH_QUAD,0.50,24,0,0.7771563506006596,identity,5,109624,11852
G1_SYNTH_QUAD,0.50,24,0,0.7771563506006596,mirror_x,6,109624,11852
G1_SYNTH_QUAD,0.50,24,0,0.7771563506006596,mirror_x,8,109624,11852
G1_SYNTH_QUAD,0.50,27,0,0.723105732520022,identity,1,115544,11286
G1_SYNTH_QUAD,0.50,27,0,0.723105732520022,mirror_x,2,115544,11286
