clip_id,status,tracking_path,tracking_bytes,ball_path,ball_bytes,player_x_p01,player_x_p99,player_y_p01,player_y_p99,ball_x_p01,ball_x_p99,ball_y_p01,ball_y_p99,ratio_x,ratio_y,source_width,source_height,league,daemon_code_version,ball_frame,anomalous
0022500063,OK,data\tracking\0022500063\tracking_data.csv,11919376,data\tracking\0022500063\ball_tracking.csv,165808,-105.797830,768.413018,-24.912870,339.002558,27.000000,1204.600000,3.000000,920.000000,1.347043,2.519816,,,,,UNKNOWN_NO_SOURCE_DIMENSIONS,1
0022500064,OK,data\tracking\0022500064\tracking_data.csv,8882455,data\tracking\0022500064\ball_tracking.csv,163810,-35.218643,671.872661,-20.877485,315.000000,5.610000,2922.800000,31.610000,1686.780000,4.125620,4.927898,,,,,UNKNOWN_NO_SOURCE_DIMENSIONS,1
0022500065,OK,data\tracking\0022500065\tracking_data.csv,3925990,data\tracking\0022500065\ball_tracking.csv,448291,-134.609303,728.801422,-35.543249,293.129857,731.000000,3565.700000,295.500000,2120.000000,3.283142,5.551108,,,,,UNKNOWN_NO_SOURCE_DIMENSIONS,1
0022500066,OK,data\tracking\0022500066\tracking_data.csv,25340997,data\tracking\0022500066\ball_tracking.csv,420563,-102.776481,843.732181,-94.443629,365.399550,,,,,,,,,,,UNKNOWN_NO_FINITE_BALL_COORDINATES,0
0022500067,OK,data\tracking\0022500067\tracking_data.csv,1830671,data\tracking\0022500067\ball_tracking.csv,477690,-50.088048,726.912251,-20.836837,325.504226,7.320000,3327.000000,15.000000,2843.440000,4.272431,8.166632,,,,,UNKNOWN_NO_SOURCE_DIMENSIONS,1
0022500068,OK,data\tracking\0022500068\tracking_data.csv,34739327,data\tracking\0022500068\ball_tracking.csv,514936,-80.292980,763.933524,-41.145954,332.608658,12.000000,1903.150000,8.000000,1359.000000,2.240098,3.614671,,,,,UNKNOWN_NO_SOURCE_DIMENSIONS,1
0022500080,MISSING_TRACKING_OR_BALL_TABLE,data\tracking\0022500080\tracking_data.csv,,data\tracking\0022500080\ball_tracking.csv,,,,,,,,,,,,,,,,,
0022500081,OK,data\tracking\0022500081\tracking_data.csv,17513979,data\tracking\0022500081\ball_tracking.csv,306917,-120.114583,1462.621205,-50.111776,694.328315,,,,,,,,,,,UNKNOWN_NO_FINITE_BALL_COORDINATES,0
0022500083,OK,data\tracking\0022500083\tracking_data.csv,11520245,data\tracking\0022500083\ball_tracking.csv,156760,-87.251750,1509.066615,-133.925396,705.487145,23.420000,1349.000000,19.000000,520.580000,0.830398,0.597537,,,,,UNKNOWN_NO_SOURCE_DIMENSIONS,0
0022500088,OK,data\tracking\0022500088\tracking_data.csv,23120213,data\tracking\0022500088\ball_tracking.csv,614180,-112.191600,1556.715138,-144.661687,721.536067,18.000000,2253.000000,18.000000,523.000000,1.339200,0.583008,,,,,UNKNOWN_NO_SOURCE_DIMENSIONS,0
0022500090,OK,data\tracking\0022500090\tracking_data.csv,6064884,data\tracking\0022500090\ball_tracking.csv,173203,-60.655106,1429.613067,-31.804958,680.162551,23.420000,2355.700000,1.000000,1720.000000,1.565007,2.414436,,,,,UNKNOWN_NO_SOURCE_DIMENSIONS,1
0022500093,OK,data\tracking\0022500093\tracking_data.csv,11815192,data\tracking\0022500093\ball_tracking.csv,147591,109.996133,1325.697560,-27.086049,690.825041,6.000000,2894.000000,8.680000,1265.960000,2.375583,1.751303,,,,,UNKNOWN_NO_SOURCE_DIMENSIONS,1
0022500094,MISSING_TRACKING_OR_BALL_TABLE,data\tracking\0022500094\tracking_data.csv,,data\tracking\0022500094\ball_tracking.csv,,,,,,,,,,,,,,,,,
0022500097,OK,data\tracking\0022500097\tracking_data.csv,4870033,data\tracking\0022500097\ball_tracking.csv,179423,-94.190382,896.910713,-15.000000,662.656205,51.920000,3355.000000,0.000000,1773.760000,3.332738,2.617492,,,,,UNKNOWN_NO_SOURCE_DIMENSIONS,1
0022500099,OK,data\tracking\0022500099\tracking_data.csv,11206456,data\tracking\0022500099\ball_tracking.csv,154404,-162.663077,1501.957015,-15.000000,681.640597,7.090000,1642.730000,43.000000,495.000000,0.982591,0.648828,,,,,UNKNOWN_NO_SOURCE_DIMENSIONS,0
0022500101,OK,data\tracking\0022500101\tracking_data.csv,3269445,data\tracking\0022500101\ball_tracking.csv,172424,-188.022036,1708.240272,-107.161646,692.379497,196.830000,3362.560000,41.610000,475.000000,1.669458,0.542048,,,,,UNKNOWN_NO_SOURCE_DIMENSIONS,1
0022500104,MISSING_TRACKING_OR_BALL_TABLE,data\tracking\0022500104\tracking_data.csv,,data\tracking\0022500104\ball_tracking.csv,,,,,,,,,,,,,,,,,
0022500116,MISSING_TRACKING_OR_BALL_TABLE,data\tracking\0022500116\tracking_data.csv,,data\tracking\0022500116\ball_tracking.csv,,,,,,,,,,,,,,,,,
0022500117,MISSING_TRACKING_OR_BALL_TABLE,data\tracking\0022500117\tracking_data.csv,,data\tracking\0022500117\ball_tracking.csv,,,,,,,,,,,,,,,,,
0022500119,OK,data\tracking\0022500119\tracking_data.csv,10274613,data\tracking\0022500119\ball_tracking.csv,182178,-101.411075,1482.611759,-29.339650,683.607133,13.480000,2842.080000,10.480000,1576.040000,1.785707,2.195900,,,,,UNKNOWN_NO_SOURCE_DIMENSIONS,1
0022500121,MISSING_TRACKING_OR_BALL_TABLE,data\tracking\0022500121\tracking_data.csv,,data\tracking\0022500121\ball_tracking.csv,,,,,,,,,,,,,,,,,
0022500127,OK,data\tracking\0022500127\tracking_data.csv,6889325,data\tracking\0022500127\ball_tracking.csv,150833,-136.928210,1622.135460,-83.133514,707.177422,7.000000,2070.000000,21.670000,1084.720000,1.172783,1.345103,,,,,UNKNOWN_NO_SOURCE_DIMENSIONS,0
0022500131,MISSING_TRACKING_OR_BALL_TABLE,data\tracking\0022500131\tracking_data.csv,,data\tracking\0022500131\ball_tracking.csv,,,,,,,,,,,,,,,,,
0022500134,MISSING_TRACKING_OR_BALL_TABLE,data\tracking\0022500134\tracking_data.csv,,data\tracking\0022500134\ball_tracking.csv,,,,,,,,,,,,,,,,,
0022500136,OK,data\tracking\0022500136\tracking_data.csv,4893005,data\tracking\0022500136\ball_tracking.csv,144710,-161.791166,1295.000000,-33.251587,675.000000,0.000000,2463.150000,4.000000,1726.450000,1.690805,2.431975,,,,,UNKNOWN_NO_SOURCE_DIMENSIONS,1
0022500138,OK,data\tracking\0022500138\tracking_data.csv,9977940,data\tracking\0022500138\ball_tracking.csv,150225,-398.208197,1623.423281,-45.297399,670.000000,45.000000,4733.000000,24.000000,2178.490000,2.318919,3.012020,,,,,UNKNOWN_NO_SOURCE_DIMENSIONS,1
0022500139,OK,data\tracking\0022500139\tracking_data.csv,6332521,data\tracking\0022500139\ball_tracking.csv,167765,-15.000000,1399.642396,-25.052714,675.000000,1.000000,1446.250000,9.250000,851.750000,1.021636,1.203481,,,,,UNKNOWN_NO_SOURCE_DIMENSIONS,0
0022500148,OK,data\tracking\0022500148\tracking_data.csv,9049266,data\tracking\0022500148\ball_tracking.csv,210206,-45.024306,1383.532690,-32.862671,675.000000,10.000000,1483.000000,8.000000,555.080000,1.031110,0.772862,,,,,UNKNOWN_NO_SOURCE_DIMENSIONS,0
0022500151,OK,data\tracking\0022500151\tracking_data.csv,11420975,data\tracking\0022500151\ball_tracking.csv,168310,-78.643610,1498.810640,-57.111126,726.080778,10.000000,2013.460000,11.000000,634.000000,1.270059,0.795463,,,,,UNKNOWN_NO_SOURCE_DIMENSIONS,0
0022500153,OK,data\tracking\0022500153\tracking_data.csv,7685241,data\tracking\0022500153\ball_tracking.csv,162492,-15.000000,1365.919703,-75.692819,694.592956,3.000000,2453.000000,0.110000,724.780000,1.774180,0.940781,,,,,UNKNOWN_NO_SOURCE_DIMENSIONS,1
