frame_approx,video_sec,game_clock_sec,period,score_home,score_away,score_margin,shot_clock_est
7282,243,1467,3,49,64,-15,0.0
7312,244,1468,3,49,64,-15,0.0
7342,245,1469,3,49,64,-15,0.0
7372,246,1470,3,49,64,-15,0.0
7402,247,1471,3,49,64,-15,0.0
7432,248,1472,3,49,64,-15,0.0
7462,249,1473,3,49,64,-15,14.0
7492,250,1474,3,49,64,-15,13.0
7522,251,1475,3,49,64,-15,12.0
7552,252,1476,3,49,64,-15,11.0
7582,253,1477,3,49,64,-15,10.0
7612,254,1478,3,52,64,-12,24.0
7642,255,1479,3,52,64,-12,23.0
7672,256,1480,3,52,64,-12,22.0
7702,257,1481,3,52,64,-12,21.0
7732,258,1482,3,52,64,-12,20.0
7762,259,1483,3,52,64,-12,19.0
7792,260,1484,3,52,64,-12,18.0
7822,261,1485,3,52,64,-12,17.0
7852,262,1486,3,52,64,-12,16.0
7882,263,1487,3,52,64,-12,15.0
7912,264,1488,3,52,64,-12,14.0
7942,265,1489,3,52,64,-12,13.0
7972,266,1490,3,52,64,-12,12.0
8001,267,1491,3,52,64,-12,11.0
8031,268,1492,3,52,64,-12,10.0
8061,269,1493,3,52,66,-14,24.0
8091,270,1494,3,52,66,-14,23.0
8121,271,1495,3,52,66,-14,22.0
8151,272,1496,3,52,66,-14,21.0
8181,273,1497,3,52,66,-14,20.0
8211,274,1498,3,52,66,-14,19.0
8241,275,1499,3,52,66,-14,18.0
8271,276,1500,3,52,66,-14,17.0
8301,277,1501,3,52,66,-14,16.0
8331,278,1502,3,52,66,-14,15.0
8361,279,1503,3,52,66,-14,14.0
8391,280,1504,3,52,66,-14,13.0
8421,281,1505,3,52,66,-14,12.0
8451,282,1506,3,52,66,-14,11.0
8481,283,1507,3,52,66,-14,10.0
8511,284,1508,3,52,66,-14,9.0
8541,285,1509,3,52,66,-14,8.0
8571,286,1510,3,52,66,-14,7.0
8601,287,1511,3,52,66,-14,6.0
8631,288,1512,3,54,66,-12,24.0
8661,289,1513,3,54,66,-12,23.0
8691,290,1514,3,54,66,-12,22.0
8721,291,1515,3,54,66,-12,21.0
8751,292,1516,3,54,66,-12,20.0
8781,293,1517,3,54,66,-12,19.0
8811,294,1518,3,54,66,-12,18.0
8841,295,1519,3,54,66,-12,17.0
8871,296,1520,3,54,66,-12,16.0
8901,297,1521,3,54,66,-12,15.0
8931,298,1522,3,54,66,-12,14.0
8961,299,1523,3,54,66,-12,13.0
8991,300,1524,3,54,66,-12,12.0
9020,301,1525,3,54,66,-12,11.0
9050,302,1526,3,54,66,-12,10.0
9080,303,1527,3,54,66,-12,9.0
9110,304,1528,3,54,66,-12,8.0
9140,305,1529,3,54,66,-12,7.0
9170,306,1530,3,54,66,-12,14.0
9200,307,1531,3,54,66,-12,13.0
9230,308,1532,3,54,66,-12,12.0
9260,309,1533,3,54,66,-12,11.0
9290,310,1534,3,54,66,-12,10.0
9320,311,1535,3,54,66,-12,9.0
9350,312,1536,3,54,66,-12,8.0
9380,313,1537,3,54,66,-12,14.0
9410,314,1538,3,54,66,-12,13.0
9440,315,1539,3,54,66,-12,12.0
9470,316,1540,3,54,66,-12,11.0
9500,317,1541,3,54,66,-12,10.0
9530,318,1542,3,54,66,-12,9.0
9560,319,1543,3,54,66,-12,8.0
9590,320,1544,3,54,66,-12,7.0
9620,321,1545,3,54,66,-12,6.0
9650,322,1546,3,54,66,-12,24.0
9680,323,1547,3,54,66,-12,23.0
9710,324,1548,3,54,66,-12,22.0
9740,325,1549,3,54,66,-12,21.0
9770,326,1550,3,54,66,-12,20.0
9800,327,1551,3,54,66,-12,19.0
9830,328,1552,3,54,66,-12,18.0
9860,329,1553,3,54,66,-12,17.0
9890,330,1554,3,54,66,-12,16.0
9920,331,1555,3,54,66,-12,24.0
9950,332,1556,3,54,66,-12,23.0
9980,333,1557,3,54,66,-12,22.0
10009,334,1558,3,54,66,-12,21.0
10039,335,1559,3,54,66,-12,20.0
10069,336,1560,3,54,66,-12,19.0
10099,337,1561,3,54,66,-12,18.0
10129,338,1562,3,54,66,-12,17.0
10159,339,1563,3,54,66,-12,16.0
10189,340,1564,3,54,66,-12,15.0
10219,341,1565,3,54,66,-12,14.0
10249,342,1566,3,54,66,-12,13.0
10279,343,1567,3,54,66,-12,12.0
10309,344,1568,3,54,66,-12,11.0
10339,345,1569,3,54,66,-12,10.0
10369,346,1570,3,54,66,-12,9.0
10399,347,1571,3,54,66,-12,8.0
10429,348,1572,3,54,66,-12,7.0
10459,349,1573,3,54,66,-12,14.0
10489,350,1574,3,54,66,-12,13.0
10519,351,1575,3,54,66,-12,12.0
10549,352,1576,3,54,66,-12,11.0
10579,353,1577,3,54,66,-12,10.0
10609,354,1578,3,54,66,-12,14.0
10639,355,1579,3,54,66,-12,13.0
10669,356,1580,3,54,66,-12,12.0
10699,357,1581,3,54,66,-12,11.0
10729,358,1582,3,54,66,-12,10.0
10759,359,1583,3,54,66,-12,9.0
10789,360,1584,3,54,66,-12,8.0
10819,361,1585,3,54,66,-12,7.0
10849,362,1586,3,54,66,-12,6.0
10879,363,1587,3,54,66,-12,5.0
10909,364,1588,3,54,66,-12,14.0
10939,365,1589,3,54,66,-12,13.0
10969,366,1590,3,54,66,-12,12.0
10998,367,1591,3,54,66,-12,11.0
11028,368,1592,3,54,66,-12,10.0
11058,369,1593,3,54,66,-12,9.0
11088,370,1594,3,54,66,-12,8.0
11118,371,1595,3,54,66,-12,7.0
11148,372,1596,3,54,66,-12,6.0
11178,373,1597,3,54,66,-12,5.0
11208,374,1598,3,54,66,-12,4.0
11238,375,1599,3,54,66,-12,3.0
11268,376,1600,3,54,66,-12,2.0
11298,377,1601,3,54,66,-12,1.0
11328,378,1602,3,54,66,-12,0.0
11358,379,1603,3,54,66,-12,0.0
11388,380,1604,3,54,66,-12,0.0
11418,381,1605,3,54,66,-12,0.0
11448,382,1606,3,54,66,-12,14.0
11478,383,1607,3,54,66,-12,13.0
11508,384,1608,3,54,66,-12,12.0
11538,385,1609,3,54,66,-12,11.0
11568,386,1610,3,54,66,-12,10.0
11598,387,1611,3,54,66,-12,9.0
11628,388,1612,3,54,66,-12,24.0
11658,389,1613,3,54,66,-12,23.0
11688,390,1614,3,54,66,-12,22.0
11718,391,1615,3,54,66,-12,21.0
11748,392,1616,3,54,66,-12,20.0
11778,393,1617,3,54,66,-12,19.0
11808,394,1618,3,54,66,-12,18.0
11838,395,1619,3,54,66,-12,17.0
11868,396,1620,3,54,66,-12,16.0
11898,397,1621,3,54,66,-12,15.0
11928,398,1622,3,54,66,-12,14.0
11958,399,1623,3,54,66,-12,13.0
11988,400,1624,3,54,66,-12,12.0
12017,401,1625,3,57,66,-9,24.0
12047,402,1626,3,57,66,-9,23.0
12077,403,1627,3,57,66,-9,22.0
12107,404,1628,3,57,66,-9,21.0
12137,405,1629,3,57,66,-9,20.0
12167,406,1630,3,57,66,-9,19.0
12197,407,1631,3,57,66,-9,18.0
12227,408,1632,3,57,66,-9,17.0
12257,409,1633,3,57,66,-9,16.0
12287,410,1634,3,57,66,-9,15.0
12317,411,1635,3,57,66,-9,14.0
12347,412,1636,3,57,66,-9,13.0
12377,413,1637,3,57,66,-9,12.0
12407,414,1638,3,57,69,-12,24.0
12437,415,1639,3,57,69,-12,23.0
12467,416,1640,3,57,69,-12,22.0
12497,417,1641,3,57,69,-12,21.0
12527,418,1642,3,57,69,-12,20.0
12557,419,1643,3,57,69,-12,19.0
12587,420,1644,3,57,69,-12,18.0
12617,421,1645,3,57,69,-12,17.0
12647,422,1646,3,57,69,-12,16.0
