source_name,arm,draw_j,endpoint_definition,float_extent_s,rational_extent_s,rational_extent_exact,extent_delta_s,float_within_bar,rational_within_bar,bar_outcome_changed,serialization_explains_change,float_reason,rational_reason
nba__H1-Ns9IU-JM_s4314.mp4,B_g401_fps_frame_cap,7,first_excluded,100.016589000000,100.016588888889,9001493/90000,-0.000000111111,True,True,False,False,FRAME_CAP,FRAME_CAP
nba__H1-Ns9IU-JM_s4314.mp4,B_g401_fps_frame_cap,7,last_admitted,99.999900000000,99.999900000000,999999/10000,0.000000000000,True,True,False,False,FRAME_CAP,FRAME_CAP
nba__H1-Ns9IU-JM_s4314.mp4,C_proposed_pts_stop,7,first_excluded,100.016589000000,100.016588888889,9001493/90000,-0.000000111111,True,True,False,False,DEADLINE,DEADLINE
nba__H1-Ns9IU-JM_s4314.mp4,C_proposed_pts_stop,7,last_admitted,99.999900000000,99.999900000000,999999/10000,0.000000000000,True,True,False,False,DEADLINE,DEADLINE
nba__Kh7Fj4ogPN4_s1262.mp4,A_legacy_frame_cap_3000,8,first_excluded,50.050000000000,50.050000000000,1001/20,0.000000000000,False,False,False,False,FRAME_CAP,FRAME_CAP
nba__Kh7Fj4ogPN4_s1262.mp4,A_legacy_frame_cap_3000,8,last_admitted,50.033311000000,50.033311111111,2251499/45000,0.000000111111,False,False,False,False,FRAME_CAP,FRAME_CAP
nba__Kh7Fj4ogPN4_s1262.mp4,B_g401_fps_frame_cap,8,first_excluded,100.016578000000,100.016577777778,2250373/22500,-0.000000222222,True,True,False,False,FRAME_CAP,FRAME_CAP
nba__Kh7Fj4ogPN4_s1262.mp4,B_g401_fps_frame_cap,8,last_admitted,99.999900000000,99.999900000000,999999/10000,0.000000000000,True,True,False,False,FRAME_CAP,FRAME_CAP
nba__Kh7Fj4ogPN4_s1262.mp4,C_proposed_pts_stop,8,first_excluded,100.016578000000,100.016577777778,2250373/22500,-0.000000222222,True,True,False,False,DEADLINE,DEADLINE
nba__Kh7Fj4ogPN4_s1262.mp4,C_proposed_pts_stop,8,last_admitted,99.999900000000,99.999900000000,999999/10000,0.000000000000,True,True,False,False,DEADLINE,DEADLINE
nba__Kh7Fj4ogPN4_s4778.mp4,A_legacy_frame_cap_3000,9,first_excluded,50.050000000000,50.050000000000,1001/20,0.000000000000,False,False,False,False,FRAME_CAP,FRAME_CAP
nba__Kh7Fj4ogPN4_s4778.mp4,A_legacy_frame_cap_3000,9,last_admitted,50.033322000000,50.033322222222,4502999/90000,0.000000222222,False,False,False,False,FRAME_CAP,FRAME_CAP
nba__Kh7Fj4ogPN4_s4778.mp4,B_g401_fps_frame_cap,9,first_excluded,100.016589000000,100.016588888889,9001493/90000,-0.000000111111,True,True,False,False,FRAME_CAP,FRAME_CAP
nba__Kh7Fj4ogPN4_s4778.mp4,B_g401_fps_frame_cap,9,last_admitted,99.999900000000,99.999900000000,999999/10000,0.000000000000,True,True,False,False,FRAME_CAP,FRAME_CAP
nba__Kh7Fj4ogPN4_s4778.mp4,C_proposed_pts_stop,9,first_excluded,100.016589000000,100.016588888889,9001493/90000,-0.000000111111,True,True,False,False,DEADLINE,DEADLINE
nba__Kh7Fj4ogPN4_s4778.mp4,C_proposed_pts_stop,9,last_admitted,99.999900000000,99.999900000000,999999/10000,0.000000000000,True,True,False,False,DEADLINE,DEADLINE
nba__Ktu6yFS9iMo_s1311.mp4,A_legacy_frame_cap_3000,10,first_excluded,50.050000000000,50.050000000000,1001/20,0.000000000000,False,False,False,False,FRAME_CAP,FRAME_CAP
nba__Ktu6yFS9iMo_s1311.mp4,A_legacy_frame_cap_3000,10,last_admitted,50.033322000000,50.033322222222,4502999/90000,0.000000222222,False,False,False,False,FRAME_CAP,FRAME_CAP
nba__Ktu6yFS9iMo_s1311.mp4,B_g401_fps_frame_cap,10,first_excluded,100.016589000000,100.016588888889,9001493/90000,-0.000000111111,True,True,False,False,FRAME_CAP,FRAME_CAP
nba__Ktu6yFS9iMo_s1311.mp4,B_g401_fps_frame_cap,10,last_admitted,99.999900000000,99.999900000000,999999/10000,0.000000000000,True,True,False,False,FRAME_CAP,FRAME_CAP
nba__Ktu6yFS9iMo_s1311.mp4,C_proposed_pts_stop,10,first_excluded,100.016589000000,100.016588888889,9001493/90000,-0.000000111111,True,True,False,False,DEADLINE,DEADLINE
nba__Ktu6yFS9iMo_s1311.mp4,C_proposed_pts_stop,10,last_admitted,99.999900000000,99.999900000000,999999/10000,0.000000000000,True,True,False,False,DEADLINE,DEADLINE
