frame_key,section_id,game_id,frame_index,validation_status,has_matrix,foot_x_px,foot_y_px,court_x_ft,court_y_ft,finite,inside_full_court,inside_near_half
07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95:basketball__euroleague-a_GxgklBtEs_s2783:516,basketball__euroleague-a_GxgklBtEs_s2783,basketball__euroleague-a_GxgklBtEs,516,REFUSED,1,1025.0,710.0,-5.0469,63.1565,1,0,0
07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95:basketball__euroleague-a_GxgklBtEs_s2783:516,basketball__euroleague-a_GxgklBtEs_s2783,basketball__euroleague-a_GxgklBtEs,516,REFUSED,1,1150.0,289.25,50.4401,-186.8459,1,0,0
07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95:basketball__euroleague-a_GxgklBtEs_s2783:516,basketball__euroleague-a_GxgklBtEs_s2783,basketball__euroleague-a_GxgklBtEs,516,REFUSED,1,827.0,619.0,-2.7342,84.1136,1,0,0
07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95:basketball__euroleague-a_GxgklBtEs_s2783:516,basketball__euroleague-a_GxgklBtEs_s2783,basketball__euroleague-a_GxgklBtEs,516,REFUSED,1,92.5,302.0,50.9879,600.8646,1,0,0
07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95:basketball__euroleague-a_GxgklBtEs_s2783:516,basketball__euroleague-a_GxgklBtEs_s2783,basketball__euroleague-a_GxgklBtEs,516,REFUSED,1,353.5,297.5,52.1028,424.1125,1,0,0
07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95:basketball__euroleague-a_GxgklBtEs_s2783:516,basketball__euroleague-a_GxgklBtEs_s2783,basketball__euroleague-a_GxgklBtEs,516,REFUSED,1,215.875,301.75,49.842,508.0597,1,0,0
07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95:basketball__euroleague-a_GxgklBtEs_s2783:516,basketball__euroleague-a_GxgklBtEs_s2783,basketball__euroleague-a_GxgklBtEs,516,REFUSED,1,33.812,508.0,3.0989,234.1276,1,0,0
07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95:basketball__euroleague-a_GxgklBtEs_s2783:516,basketball__euroleague-a_GxgklBtEs_s2783,basketball__euroleague-a_GxgklBtEs,516,REFUSED,1,583.5,299.5,47.7604,243.0906,1,0,0
07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95:basketball__euroleague-a_GxgklBtEs_s2783:516,basketball__euroleague-a_GxgklBtEs_s2783,basketball__euroleague-a_GxgklBtEs,516,REFUSED,1,858.5,292.75,50.6135,42.9406,1,0,0
07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95:basketball__euroleague-a_GxgklBtEs_s2783:516,basketball__euroleague-a_GxgklBtEs_s2783,basketball__euroleague-a_GxgklBtEs,516,REFUSED,1,118.562,508.5,2.918,217.4389,1,0,0
07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95:basketball__euroleague-a_GxgklBtEs_s2783:516,basketball__euroleague-a_GxgklBtEs_s2783,basketball__euroleague-a_GxgklBtEs,516,REFUSED,1,788.0,295.5,48.9352,96.7595,1,0,0
