clip,frame_index,source_sheet_row,original_pixel_sha256,seek_jpeg_pixel_sha256,seek_raw_pixel_sha256,sequential_raw_pixel_sha256,original_vs_seek_pixel_equal,original_vs_seek_changed_pixels,original_vs_seek_total_pixels,original_vs_seek_changed_pixel_share,original_vs_seek_mean_abs_channel_delta,original_vs_seek_max_abs_channel_delta,seek_vs_sequential_pixel_equal,seek_vs_sequential_changed_pixels,seek_vs_sequential_total_pixels,seek_vs_sequential_changed_pixel_share,seek_vs_sequential_mean_abs_channel_delta,seek_vs_sequential_max_abs_channel_delta
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,5952,31,d9c2aa8882e6509a13f0ce16ff470f70365cefa4368657f28ba2dba008c22559,33d3caa5a65993bd0cc05d6225aada3eda3e47a8a70cc9ff16f8c32f6dbd047f,d01bd09c807bcf2d61626f001efc48e2976f866725ad277e989c0e532a065758,d01bd09c807bcf2d61626f001efc48e2976f866725ad277e989c0e532a065758,false,193088,245760,0.785677083,1.921801758,241,true,0,245760,0.000000000,0.000000000,0
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,25728,134,cdfaf00184140262eec8c7911231dcfbf27701ed5b3faf3e634e6cdd8e2139ef,fe7313dbca6ceba7d49cf8b4c53372b172f23bd159e23d193af4eafd063e0620,0863ef3103b0fbf9d35be365e80daf224d39a9cb83431e62d3673ca69f17e9f5,0863ef3103b0fbf9d35be365e80daf224d39a9cb83431e62d3673ca69f17e9f5,false,171482,245760,0.697762044,1.335385471,245,true,0,245760,0.000000000,0.000000000,0
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,19200,100,ad74bda8099c18331d2ca2da0634b58e484ea52ddb08aab56bee2c4ddc913ca1,dfd515df59967faad498b4bb0621fc9a7dbc0599f4c73e29cac798a5ca5f2c39,07f625b8067e1bfb2fa8c50ad527cbf1faf9c843fd6e3d17590f2cac5d9f2b37,07f625b8067e1bfb2fa8c50ad527cbf1faf9c843fd6e3d17590f2cac5d9f2b37,false,201594,245760,0.820288086,3.536831326,242,true,0,245760,0.000000000,0.000000000,0
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,22656,118,92d89bf25b84bbafe9dbb4c3878f1aef82f1480cba56b9b5632aff62d6402d0a,e6c3bb9ea98b39394638410830e12e61156a5e7a6372a65e846abd81beeace08,937b8f16133824e7b47ecf803720a9570d80c0055e4a57b0371fa45dfd945663,937b8f16133824e7b47ecf803720a9570d80c0055e4a57b0371fa45dfd945663,false,198535,245760,0.807840983,2.725520833,245,true,0,245760,0.000000000,0.000000000,0
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,28032,146,29f88b63847e64ff6965977c99a7a810db6bcc7ffcd412912a49a9afa19ee5a3,4470349dab2b6dafae43f2c1b230d0dd1ea2fae82bfe1b734a75f91cc42eb6b5,12f665bfd6e8723e64e372123b486289c12b95d05387ae82a6262574c75fc4fb,12f665bfd6e8723e64e372123b486289c12b95d05387ae82a6262574c75fc4fb,false,203678,245760,0.828767904,3.667384169,245,true,0,245760,0.000000000,0.000000000,0
wnba__wnba_01,8448,44,21df16d8400d40cadf6547e82d7194fec59500134103aa3e72669e6b41f18c56,f5f1d1eef2044ad0bb2d398cbaa81711c074c0c2c8b8f06c9cdfd135488e5a69,e8a65466990d132c44cb7292988da1b8e6f297977e483c02e9650146f9633614,e8a65466990d132c44cb7292988da1b8e6f297977e483c02e9650146f9633614,false,180096,245760,0.732812500,2.110633681,245,true,0,245760,0.000000000,0.000000000,0
wnba__wnba_01,11904,62,bfee2f56fed228a1fdcf68ef9cefbde969bc3ab31e624986c281076744a8ee1f,c04d200be1aee9dc7bb2d5040a1eb135fe3d6ba4ca065206a85cec956fdbbd6d,ed1b6e379ca4bc4a5c86b26496c70a65b5c8e9874290c9a1e26b70aadab55207,ed1b6e379ca4bc4a5c86b26496c70a65b5c8e9874290c9a1e26b70aadab55207,false,172126,245760,0.700382487,2.093916829,242,true,0,245760,0.000000000,0.000000000,0
wnba__wnba_01,13632,71,435cdb655654516dac9b67fbfa08417bf8c7223c14e231c9da3de5ade0491e20,f81a3de11c00d33391e14d545294e5c0acbba410cabc4785f897c1f514e02014,216feb03e01f7c96dc21867c96f4077401e7d4dd294233a3a3d0c6d5a87d065e,216feb03e01f7c96dc21867c96f4077401e7d4dd294233a3a3d0c6d5a87d065e,false,180418,245760,0.734122721,2.283803982,242,true,0,245760,0.000000000,0.000000000,0
wnba__wnba_01_1080p,360,3,07403332e71f7afb96eab04a63f8dd8caad9d6c48009ac92cc86ce9303266641,2822b01d07573d499e0b4f77b1e753be7328ce8404394fae8555e2e366884e6e,03b12e3b96a23de1d726da9d62dc7d3f7e5af27c55e5e4cc77f147cbb3782e0b,03b12e3b96a23de1d726da9d62dc7d3f7e5af27c55e5e4cc77f147cbb3782e0b,false,195716,245760,0.796370443,3.665044488,239,true,0,245760,0.000000000,0.000000000,0
wnba__wnba_01_1080p,12720,106,3de21c102689dc5afc4ef7c0195d56b91b1fe5ce39a6786062642f62cfadffda,910b6b32c2bec3f6a745a389699d75c239e8cbffaa4b2967992b0503b147607e,c1b5883fb199ba84dc92663ef8150881568fe1d9205578c79c2bd811b65a7c4f,c1b5883fb199ba84dc92663ef8150881568fe1d9205578c79c2bd811b65a7c4f,false,197980,245760,0.805582682,4.486690267,242,true,0,245760,0.000000000,0.000000000,0
wnba__wnba_01_1080p,17280,144,a0b8ff4a596fc597dc9d00b92066326f1b6c043d04cf2226c5de96fbb06fbea2,c8cf79deeb0cb2628428d664558d1a3be08aa4db5a7b068cde9b67092723c37e,f3297efa1dccf81bdae85fd1487c2b8776adc2fee79c08fc2e53ffa6e45bac30,f3297efa1dccf81bdae85fd1487c2b8776adc2fee79c08fc2e53ffa6e45bac30,false,129559,245760,0.527176921,1.742428928,242,true,0,245760,0.000000000,0.000000000,0
wnba__wnba_02,4416,23,ff9e6d46a8c931b6dbb6d4b4fd71534522cae9ffcc323c988339ecdbe832fa0f,01a4f90aaad4e3d080d6ba2c1b5f046bbd36d2cbba9b602116929c4883d343f2,08bb61ef037786d82d0b73fb1bac64d36ec72eee31545f1323550a2c03a436ff,08bb61ef037786d82d0b73fb1bac64d36ec72eee31545f1323550a2c03a436ff,false,168046,245760,0.683780924,1.166682943,242,true,0,245760,0.000000000,0.000000000,0
wnba__wnba_02,18624,97,6ecfb0595a213142dc54e1d0673f4a4634daf809f58a0efd54987acad1770f62,57da8b86695ae4b69a956f624437c8f1b4f5b76f747c5b05163f70a481379cbf,6b27bee731cece83dee89ca43984be146907204f1e57d2679f8c6bc961a8e48e,6b27bee731cece83dee89ca43984be146907204f1e57d2679f8c6bc961a8e48e,false,149954,245760,0.610164388,0.954344347,242,true,0,245760,0.000000000,0.000000000,0
wnba__wnba_02,20736,108,3fd24f8c6f3b4408676bf20396f9a9a0ffb6530a351eb5fbd33b6246aaccf508,2bb740738d32fd4b7c7f6a1c456b3dbd259e38c2169511f0643665b9add01d94,07a2853cabdcc033dafe91dc29e4d0a7d00f39155a9e5b1c9a4cd7c3a4f633f7,07a2853cabdcc033dafe91dc29e4d0a7d00f39155a9e5b1c9a4cd7c3a4f633f7,false,167574,245760,0.681860352,1.197903103,245,true,0,245760,0.000000000,0.000000000,0
wnba__wnba_04,1920,10,8b33bd1cbe99584215e598f5b6705288a1027b68141451c4ecb25ef9395092fb,f4b35b9b9a45bc0de44436f4182df875adb9962f68245ef09796a2e8566bfcb1,f480abb97c3d794a45eb0b0c8c55a65ecad2d533f5b6d475ed211c5ccee12ce1,f480abb97c3d794a45eb0b0c8c55a65ecad2d533f5b6d475ed211c5ccee12ce1,false,170079,245760,0.692053223,1.128907606,242,true,0,245760,0.000000000,0.000000000,0
wnba__wnba_04,3648,19,615f12bd9fde051b266e2e208817aaadf100f9f3a987aa46d078393464e6178f,d36ef19d2a138f54827cc112c93899614b6e886ceddc78e67479c203c4a9ace3,eb81657dc0ef4d14f24c3212cd019406dda2a365dc4e9ca8da8c46b43da79914,eb81657dc0ef4d14f24c3212cd019406dda2a365dc4e9ca8da8c46b43da79914,false,170393,245760,0.693330892,1.130661350,241,true,0,245760,0.000000000,0.000000000,0
wnba__wnba_04,23424,122,cbec746eacc7bc765e1f9758cd91495ca80b05a9a21e0587836a208b2f33b011,1c99bb581084f60a9eff3a4690be75298543b890c9ae812d5d67ffe6fd0751b6,9e6b7f81a668596b81600e2572ca5d9b390b859768b284573a9fcc9997c30839,9e6b7f81a668596b81600e2572ca5d9b390b859768b284573a9fcc9997c30839,false,164515,245760,0.669413249,1.043450250,245,true,0,245760,0.000000000,0.000000000,0
wnba__wnba_05,2304,12,0492b18c3d4c3c4efddda3783b5c7d93ff2efbcc0cc3861b775dbf21363f6860,06774af675f962011351d6536582be8e8c2b92150340a63a9bc3498c0503838a,74da4a509e5aae29e49c4d505651e149bd12b38deba1458be470e367d17d34d2,74da4a509e5aae29e49c4d505651e149bd12b38deba1458be470e367d17d34d2,false,145068,245760,0.590283203,0.869228787,245,true,0,245760,0.000000000,0.000000000,0
wnba__wnba_05,6912,36,479433a126e8b87c6f4da5239adf678e8262eadbc0b51eb0fb096fed8dd0cff9,aed18e371d2d1d5deca7dbc1acc3a4db859de60a6a3532695b76229a1f3f101b,b982385318d44e178a7d964ebacd81b5c67b33e56075f98e0a2c3d37d49ef41a,b982385318d44e178a7d964ebacd81b5c67b33e56075f98e0a2c3d37d49ef41a,false,160081,245760,0.651371257,0.916369629,241,true,0,245760,0.000000000,0.000000000,0
wnba__wnba_05,23424,122,43a1f1614450ee19e7a73889317d3494efca6e12a0e418fa9631c3acb5057428,b5f00430904a44a746c1e1492e43e408e4195722c66074ae03d2701729f3d22b,19b10b3ab647ef7f57fc6902877c2a14916ce895ba197c9d0e8c851a2fd3a308,19b10b3ab647ef7f57fc6902877c2a14916ce895ba197c9d0e8c851a2fd3a308,false,135216,245760,0.550195312,0.803146701,245,true,0,245760,0.000000000,0.000000000,0
