frame,timestamp,player_id,team,x_position,y_position,velocity,acceleration,direction_deg,court_zone,ball_possession,distance_to_ball,nearest_opponent,nearest_teammate,event,team_spacing,team_centroid_x,team_centroid_y,paint_count_own,paint_count_opp,possession_side,handler_isolation,bbox_x1,bbox_y1,bbox_x2,bbox_y2,ball_x2d,ball_y2d,ball_velocity,distance_to_basket,vel_toward_basket,drive_flag,fast_break_flag,possession_id,possession_duration,confidence
41,0.684,1,green,851,1392,0.0,-6.0,0.0,3pt_arc,0,,,,none,0.0,851.0,1392.0,0,0,,0.0,493,88,1071,474,,,0.0,880.2,0.0,0,0,42,0,1.0
42,0.701,1,green,851,1392,0.0,0.0,0.0,3pt_arc,0,,,,none,0.0,851.0,1392.0,0,0,,0.0,493,88,1071,474,,,0.0,880.2,0.0,0,0,43,0,1.0
43,0.717,1,green,851,1392,0.0,0.0,0.0,3pt_arc,0,,,,none,0.0,851.0,1392.0,0,0,,0.0,493,88,1071,474,,,0.0,880.2,0.0,0,0,44,0,1.0
44,0.734,1,green,851,1392,0.0,0.0,0.0,3pt_arc,0,,,,none,0.0,851.0,1392.0,0,0,,0.0,493,88,1071,474,,,0.0,880.2,0.0,0,0,45,0,1.0
45,0.751,1,green,851,1392,0.0,0.0,0.0,3pt_arc,0,,,,none,0.0,851.0,1392.0,0,0,,0.0,493,88,1071,474,,,0.0,880.2,0.0,0,0,46,0,1.0
46,0.767,1,green,851,1392,0.0,0.0,0.0,3pt_arc,0,,,,none,0.0,851.0,1392.0,0,0,,0.0,493,88,1071,474,,,0.0,880.2,0.0,0,0,47,0,1.0
47,0.784,1,green,851,1392,0.0,0.0,0.0,3pt_arc,0,,,,none,0.0,851.0,1392.0,0,0,,0.0,493,88,1071,474,,,0.0,880.2,0.0,0,0,48,0,1.0
48,0.801,1,green,851,1392,0.0,0.0,0.0,3pt_arc,0,,,,none,0.0,851.0,1392.0,0,0,,0.0,493,88,1071,474,,,0.0,880.2,0.0,0,0,49,0,1.0
49,0.817,1,green,861,1391,10.05,10.05,354.3,3pt_arc,0,,,,none,0.0,861.0,1391.0,0,0,,0.0,493,88,1075,474,,,0.0,887.6,-7.37,0,0,50,0,1.0
50,0.834,1,green,866,1391,5.0,-5.05,0.0,3pt_arc,0,,,,none,0.0,866.0,1391.0,0,0,,0.0,493,88,1077,474,,,0.0,891.6,-4.0,0,0,51,0,1.0
51,0.851,1,green,866,1391,0.0,-5.0,0.0,3pt_arc,0,,,,none,0.0,866.0,1391.0,0,0,,0.0,493,88,1077,474,,,0.0,891.6,0.0,0,0,52,0,1.0
52,0.868,1,green,866,1391,0.0,0.0,0.0,3pt_arc,0,,,,none,0.0,866.0,1391.0,0,0,,0.0,493,88,1077,474,,,0.0,891.6,0.0,0,0,53,0,1.0
53,0.884,1,green,861,1391,5.0,5.0,180.0,3pt_arc,0,,,,none,0.0,861.0,1391.0,0,0,,0.0,493,88,1076,474,,,0.0,887.6,3.99,0,0,54,0,1.0
54,0.901,1,green,866,1391,5.0,0.0,0.0,3pt_arc,0,,,,none,0.0,866.0,1391.0,0,0,,0.0,493,88,1077,474,,,0.0,891.6,-4.0,0,0,55,0,1.0
