source_id,draw_j,source,format_id,ext,resolution,height,fps,protocol,vcodec
mxV9XV3uwVs,2,metadata,140-drc,m4a,audio only,,,https,none
mxV9XV3uwVs,2,metadata,251-drc,webm,audio only,,,https,none
mxV9XV3uwVs,2,metadata,140,m4a,audio only,,,https,none
mxV9XV3uwVs,2,metadata,251,webm,audio only,,,https,none
mxV9XV3uwVs,2,metadata,602,mp4,256x144,144,15.0,m3u8_native,vp09.00.10.08
mxV9XV3uwVs,2,metadata,269,mp4,256x144,144,30.0,m3u8_native,avc1.4D400C
mxV9XV3uwVs,2,metadata,160,mp4,256x144,144,30,https,avc1.4d400c
mxV9XV3uwVs,2,metadata,603,mp4,256x144,144,30.0,m3u8_native,vp09.00.11.08
mxV9XV3uwVs,2,metadata,278,webm,256x144,144,30,https,vp9
mxV9XV3uwVs,2,metadata,229,mp4,426x240,240,30.0,m3u8_native,avc1.4D4015
mxV9XV3uwVs,2,metadata,133,mp4,426x240,240,30,https,avc1.4d4015
mxV9XV3uwVs,2,metadata,604,mp4,426x240,240,30.0,m3u8_native,vp09.00.20.08
mxV9XV3uwVs,2,metadata,242,webm,426x240,240,30,https,vp9
mxV9XV3uwVs,2,metadata,230,mp4,640x360,360,30.0,m3u8_native,avc1.4D401E
mxV9XV3uwVs,2,metadata,134,mp4,640x360,360,30,https,avc1.4d401e
mxV9XV3uwVs,2,metadata,605,mp4,640x360,360,30.0,m3u8_native,vp09.00.21.08
mxV9XV3uwVs,2,metadata,243,webm,640x360,360,30,https,vp9
mxV9XV3uwVs,2,metadata,231,mp4,854x480,480,30.0,m3u8_native,avc1.4D401F
mxV9XV3uwVs,2,metadata,135,mp4,854x480,480,30,https,avc1.4d401f
mxV9XV3uwVs,2,metadata,606,mp4,854x480,480,30.0,m3u8_native,vp09.00.30.08
mxV9XV3uwVs,2,metadata,244,webm,854x480,480,30,https,vp9
mxV9XV3uwVs,2,metadata,232,mp4,1280x720,720,30.0,m3u8_native,avc1.64001F
mxV9XV3uwVs,2,metadata,136,mp4,1280x720,720,30,https,avc1.64001f
mxV9XV3uwVs,2,metadata,609,mp4,1280x720,720,30.0,m3u8_native,vp09.00.31.08
mxV9XV3uwVs,2,metadata,247,webm,1280x720,720,30,https,vp9
mxV9XV3uwVs,2,metadata,270,mp4,1920x1080,1080,30.0,m3u8_native,avc1.640028
mxV9XV3uwVs,2,metadata,137,mp4,1920x1080,1080,30,https,avc1.640028
mxV9XV3uwVs,2,metadata,614,mp4,1920x1080,1080,30.0,m3u8_native,vp09.00.40.08
mxV9XV3uwVs,2,metadata,248,webm,1920x1080,1080,30,https,vp9
SCuv58Dsehg,3,listing,sb3,mhtml,48x27,27,0.0,mhtml,images
SCuv58Dsehg,3,listing,sb2,mhtml,80x45,45,0.0,mhtml,images
SCuv58Dsehg,3,listing,sb1,mhtml,160x90,90,0.0,mhtml,images
SCuv58Dsehg,3,listing,sb0,mhtml,320x180,180,0.0,mhtml,images
SCuv58Dsehg,3,listing,269,mp4,256x144,144,25.0,m3u8,avc1.4D400C
SCuv58Dsehg,3,listing,160,mp4,256x144,144,25.0,https,avc1.4d400c
SCuv58Dsehg,3,listing,230,mp4,640x360,360,25.0,m3u8,avc1.4D401E
SCuv58Dsehg,3,listing,134,mp4,640x360,360,25.0,https,avc1.4d401e
SCuv58Dsehg,3,listing,605,mp4,640x360,360,25.0,m3u8,vp09.00.21.08
SCuv58Dsehg,3,listing,243,webm,640x360,360,25.0,https,vp9
