order,competition,tag,query,source_id,duration_s,title,discovered_at
128,basketball,gleague,G League full game 2025,CW9lUKhwHjc,91,2025 NBA G League Finals Game 1 Mini Movie: No. 1 Osceola Ma,2026-09-11T16:35:43Z
129,basketball,gleague,G League full game 2025,za-07rSyxX8,467,G League's Top Dunks of February 2025,2026-09-11T16:35:43Z
130,basketball,gleague,G League full game 2025,_9vTE-rTwHI,396,Noblesville Boom vs. Ciudad de México Capitanes - Game Highl,2026-09-11T16:35:43Z
131,basketball,gleague,G League full game 2025,Kp3CUIvA7d8,724,Bronny James’ Top Plays Of The 2024-25 Season,2026-09-11T16:35:43Z
132,basketball,gleague,G League full game 2025,rcV2YcuD-TU,357,JD Davison Named 2024-2025 Kia NBA G League MVP,2026-09-11T16:35:43Z
133,basketball,gleague,G League full game 2025,QI9GDYxL7H8,387,G League Finals Game 3: No. 1 Stockton Kings vs. No. 1 Osceo,2026-09-11T16:35:43Z
134,basketball,gleague,G League full game 2025,07y12bYs_90,1339,NBA G League Takeover presented by Kumho Tire: Episode 12 - ,2026-09-11T16:35:43Z
135,basketball,cba,CBA basketball full game,AlM2Vq6cwkY,7577,19 December 2025   Shanghai vs Jiangsu China CBA Basketball,2026-09-11T16:35:47Z
136,basketball,cba,CBA basketball full game,ZVdR8Q9AE0Q,7015,CBA Finals Game 6 | Full Game | Beijing vs. Liaoning Champio,2026-09-11T16:35:47Z
137,basketball,cba,CBA basketball full game,OIPEgJo-5KA,7285,China v Lebanon | Full Basketball Game | FIBA Basketball Wor,2026-09-11T16:35:47Z
138,basketball,cba,CBA basketball full game,V3QBQGlu2fE,6565,"CBA. BC ""Shanxi Loongs"" vs BC ""Beijing Ducks"". 27/04/2025",2026-09-11T16:35:47Z
139,basketball,cba,CBA basketball full game,F96RSW5rufM,6966,Qatar v China | Full Basketball Game | FIBA Basketball World,2026-09-11T16:35:47Z
140,basketball,cba,CBA basketball full game,SMI0am_NG-c,6704,ENG | CBA RESTARTS 6/20/20 Beijing Ducks vs Liaoning Flying ,2026-09-11T16:35:47Z
141,basketball,cba,CBA basketball full game,FEhFoyilExg,475,CBA Finals Game 6 | 2014-15 China CBA Playoffs | Full Highli,2026-09-11T16:35:47Z
142,basketball,cba,CBA basketball full game,MnUJJaAE92U,5546,"CBA. BC ""Beijing Ducks"" vs BC ""Guangsha Lions"". 14/05/2025",2026-09-11T16:35:47Z
143,basketball,cba,CBA basketball full game,He_gTzSCeuQ,7214,"CBA. BC ""Guangsha Lions"" vs BC ""Beijing Ducks"". 17/05/2025",2026-09-11T16:35:47Z
144,basketball,cba,CBA basketball full game,XRpakobyQGw,347,Yang Hansen's 2024/25 CBA Highlights - Chinese center goes t,2026-09-11T16:35:47Z
145,basketball,cba,CBA basketball full game,cW8E3iYZVBI,5911,"CBA. BC ""Guangsha Lions"" vs BC ""Beijing Ducks"". 07/05/2025",2026-09-11T16:35:47Z
146,basketball,cba,CBA basketball full game,Dys4JeucBBk,7495,China v Japan | Full Basketball Game | FIBA Asia Cup 2025 Qu,2026-09-11T16:35:47Z
147,basketball,cba,CBA basketball full game,f1cLIfL9CIM,477,**Full Game HIGHLIGHTS** CBA VS Xaverian Varsity Basketball,2026-09-11T16:35:47Z
148,basketball,cba,CBA basketball full game,N-AM_AtzV1s,7290,CHINESE CBA LEAGUE: 2012 finals - Beijing Ducks vs Guangdong,2026-09-11T16:35:47Z
149,basketball,cba,CBA basketball full game,_-_KGX5pnHw,5886,ENG | CBA 6/24/20 Xinjiang Flying Tigers vs Beijing Ducks | ,2026-09-11T16:35:47Z
150,basketball,gleague,NBA G League full game,_fl2i6vToTM,6296,"PERTH WILDCATS vs G LEAGUE IGNITE | FULL GAME | September 8,",2026-09-11T16:35:51Z
151,basketball,gleague,NBA G League full game,oA9IHkrPNws,4683,Cooper Flagg vs Bronny James - NBA Summer League (Mavericks ,2026-09-11T16:35:51Z
152,basketball,gleague,NBA G League full game,TUXsofc3mgg,8685,FINAL | Unicaja v NBA G League United | Full Basketball Game,2026-09-11T16:35:51Z
153,basketball,gleague,NBA G League full game,Z9LZwPvEMTU,9215,NBA G League United v Tasmania JackJumpers | Full Basketball,2026-09-11T16:35:51Z
