ledger_key,rows,sport,status,in_corpus_scan,rows_lt_50,ledger_path,ledger_bytes,ledger_sha256
fiba-58p-Cj2gY7I_s2710,000000,basketball,thin,True,True,/workspace/nba-ai-system/data/tracking/track_daemon_ledger.jsonl,765524,382210db4dd4aae8f930e4c6fed8e20a729a1dcbf50010abeed44f094bc0434e
fiba-A2W5ZjAgr7M_s90,000000,basketball,thin,True,True,/workspace/nba-ai-system/data/tracking/track_daemon_ledger.jsonl,765524,382210db4dd4aae8f930e4c6fed8e20a729a1dcbf50010abeed44f094bc0434e
fiba-Y1cgaIWW8gk_s6825,000000,basketball,thin,True,True,/workspace/nba-ai-system/data/tracking/track_daemon_ledger.jsonl,765524,382210db4dd4aae8f930e4c6fed8e20a729a1dcbf50010abeed44f094bc0434e
fiba-Y1cgaIWW8gk_s90,000000,basketball,thin,True,True,/workspace/nba-ai-system/data/tracking/track_daemon_ledger.jsonl,765524,382210db4dd4aae8f930e4c6fed8e20a729a1dcbf50010abeed44f094bc0434e
fiba-fyp4VsE-8Fc_s90,000000,basketball,thin,True,True,/workspace/nba-ai-system/data/tracking/track_daemon_ledger.jsonl,765524,382210db4dd4aae8f930e4c6fed8e20a729a1dcbf50010abeed44f094bc0434e
fiba-ignUn4xeR90_s5454,000000,basketball,thin,True,True,/workspace/nba-ai-system/data/tracking/track_daemon_ledger.jsonl,765524,382210db4dd4aae8f930e4c6fed8e20a729a1dcbf50010abeed44f094bc0434e
fiba-tZeqmc_-_sA_s5058,000000,basketball,thin,True,True,/workspace/nba-ai-system/data/tracking/track_daemon_ledger.jsonl,765524,382210db4dd4aae8f930e4c6fed8e20a729a1dcbf50010abeed44f094bc0434e
fiba-tZeqmc_-_sA_s90,000000,basketball,thin,True,True,/workspace/nba-ai-system/data/tracking/track_daemon_ledger.jsonl,765524,382210db4dd4aae8f930e4c6fed8e20a729a1dcbf50010abeed44f094bc0434e
g7dzEFLiemQ_s3399,000000,ncaa_basketball,thin,True,True,/workspace/nba-ai-system/data/tracking/track_daemon_ledger.jsonl,765524,382210db4dd4aae8f930e4c6fed8e20a729a1dcbf50010abeed44f094bc0434e
hOtf1-DI88w_s2726,000000,nba,thin,True,True,/workspace/nba-ai-system/data/tracking/track_daemon_ledger.jsonl,765524,382210db4dd4aae8f930e4c6fed8e20a729a1dcbf50010abeed44f094bc0434e
