arm,game,game_date,n_ticks,loss_arm_sum,loss_incumbent_sum,loss_market_sum
hot_night_planted_null,401809945,2025-10-24,274,10.395296100207982,8.487135541955412,9.461827500000002
hot_night_planted_null,401809951,2025-10-24,272,24.377395155039903,25.66351520353678,27.45634475
hot_night,401703370,2024-11-12,270,104.96565525,104.96565525,104.96565525
hot_night,401703371,2024-11-12,299,28.575456749999997,28.575456749999997,28.575456749999997
hot_night,401703372,2024-11-12,270,3.3900764999999993,3.3900764999999993,3.3900764999999993
hot_night,401703373,2024-11-12,288,11.036091,11.036091,11.036091
hot_night,401703374,2024-11-12,281,2.6359392500000003,2.6359392500000003,2.6359392500000003
hot_night,401703375,2024-11-12,271,2.932123,2.932123,2.932123
hot_night,401703376,2024-11-12,284,29.046184000000004,29.046184000000004,29.046184000000004
hot_night,401703377,2024-11-12,273,32.64661925,32.64661925,32.64661925
hot_night,401703378,2024-11-15,270,22.21713825,22.21713825,22.21713825
hot_night,401703379,2024-11-15,278,33.29533675,33.29533675,33.29533675
hot_night,401703380,2024-11-15,272,24.95744675,24.95744675,24.95744675
hot_night,401703381,2024-11-15,260,4.794609250000001,4.794609250000001,4.794609250000001
hot_night,401703382,2024-11-15,260,2.3314435000000002,2.3314435000000002,2.3314435000000002
hot_night,401703383,2024-11-15,294,4.33149025,4.33149025,4.33149025
hot_night,401703384,2024-11-15,271,18.79659025,18.79659025,18.79659025
hot_night,401703385,2024-11-15,264,3.4602339999999994,3.4602339999999994,3.4602339999999994
hot_night,401703386,2024-11-15,255,21.217236500000006,21.217236500000006,21.217236500000006
hot_night,401703387,2024-11-15,265,1.4834195000000001,1.4834195000000001,1.4834195000000001
hot_night,401703388,2024-11-15,284,4.5493635,4.5493635,4.5493635
hot_night,401703389,2024-11-15,281,16.748833,16.748833,16.748833
hot_night,401703390,2024-11-19,264,4.958777127832755,6.3811174948838,5.82795825
hot_night,401703391,2024-11-19,283,47.68107383190988,46.88590897250895,46.2038575
