stable_key,game_id,player_id,date,split_id,fold_status,baseline_minutes_crps,baseline_dnp_brier,baseline_dnp_logloss,baseline_pinball_q10,baseline_pinball_q50,baseline_pinball_q90,baseline_inside80,candidate_minutes_crps,candidate_dnp_brier,candidate_dnp_logloss,candidate_pinball_q10,candidate_pinball_q50,candidate_pinball_q90,candidate_inside80
0022300062|1629006,0022300062,1629006,2023-10-24,0,SCORED,32.0,1.0,27.631021115928547,3.2,16.0,28.8,0.0,32.0,1.0,27.631021115928547,3.2,16.0,28.8,0.0
0022300062|1629234,0022300062,1629234,2023-10-24,0,SCORED,19.0,1.0,27.631021115928547,1.9000000000000001,9.5,17.1,0.0,19.0,1.0,27.631021115928547,1.9000000000000001,9.5,17.1,0.0
0022300062|1630228,0022300062,1630228,2023-10-24,0,SCORED,20.0,1.0,27.631021115928547,2.0,10.0,18.0,0.0,20.0,1.0,27.631021115928547,2.0,10.0,18.0,0.0
0022300062|1630541,0022300062,1630541,2023-10-24,0,SCORED,18.0,1.0,27.631021115928547,1.8,9.0,16.2,0.0,18.0,1.0,27.631021115928547,1.8,9.0,16.2,0.0
0022300062|1630692,0022300062,1630692,2023-10-24,0,SCORED,14.0,1.0,27.631021115928547,1.4000000000000001,7.0,12.6,0.0,14.0,1.0,27.631021115928547,1.4000000000000001,7.0,12.6,0.0
0022300063|-4683027,0022300063,-4683027,2023-10-25,0,SCORED,16.0,1.0,27.631021115928547,1.6,8.0,14.4,0.0,16.0,1.0,27.631021115928547,1.6,8.0,14.4,0.0
0022300063|-4432585,0022300063,-4432585,2023-10-25,0,SCORED,10.0,1.0,27.631021115928547,1.0,5.0,9.0,0.0,10.0,1.0,27.631021115928547,1.0,5.0,9.0,0.0
0022300063|-4249,0022300063,-4249,2023-10-25,0,SCORED,33.0,1.0,27.631021115928547,3.3000000000000003,16.5,29.7,0.0,33.0,1.0,27.631021115928547,3.3000000000000003,16.5,29.7,0.0
0022300063|203991,0022300063,203991,2023-10-25,0,SCORED,29.0,1.0,27.631021115928547,2.9000000000000004,14.5,26.1,0.0,29.0,1.0,27.631021115928547,2.9000000000000004,14.5,26.1,0.0
0022300063|203992,0022300063,203992,2023-10-25,0,SCORED,24.0,1.0,27.631021115928547,2.4000000000000004,12.0,21.6,0.0,24.0,1.0,27.631021115928547,2.4000000000000004,12.0,21.6,0.0
0022300063|1626179,0022300063,1626179,2023-10-25,0,SCORED,34.0,1.0,27.631021115928547,3.4000000000000004,17.0,30.6,0.0,34.0,1.0,27.631021115928547,3.4000000000000004,17.0,30.6,0.0
0022300063|1627749,0022300063,1627749,2023-10-25,0,SCORED,33.0,1.0,27.631021115928547,3.3000000000000003,16.5,29.7,0.0,33.0,1.0,27.631021115928547,3.3000000000000003,16.5,29.7,0.0
0022300063|1629023,0022300063,1629023,2023-10-25,0,SCORED,32.0,1.0,27.631021115928547,3.2,16.0,28.8,0.0,32.0,1.0,27.631021115928547,3.2,16.0,28.8,0.0
0022300063|1629027,0022300063,1629027,2023-10-25,0,SCORED,36.0,1.0,27.631021115928547,3.6,18.0,32.4,0.0,36.0,1.0,27.631021115928547,3.6,18.0,32.4,0.0
0022300063|1629631,0022300063,1629631,2023-10-25,0,SCORED,31.0,1.0,27.631021115928547,3.1,15.5,27.900000000000002,0.0,31.0,1.0,27.631021115928547,3.1,15.5,27.900000000000002,0.0
0022300063|1630163,0022300063,1630163,2023-10-25,0,SCORED,31.0,1.0,27.631021115928547,3.1,15.5,27.900000000000002,0.0,31.0,1.0,27.631021115928547,3.1,15.5,27.900000000000002,0.0
0022300063|1630168,0022300063,1630168,2023-10-25,0,SCORED,19.0,1.0,27.631021115928547,1.9000000000000001,9.5,17.1,0.0,19.0,1.0,27.631021115928547,1.9000000000000001,9.5,17.1,0.0
0022300063|1630180,0022300063,1630180,2023-10-25,0,SCORED,29.0,1.0,27.631021115928547,2.9000000000000004,14.5,26.1,0.0,29.0,1.0,27.631021115928547,2.9000000000000004,14.5,26.1,0.0
0022300063|1630208,0022300063,1630208,2023-10-25,0,SCORED,18.0,1.0,27.631021115928547,1.8,9.0,16.2,0.0,18.0,1.0,27.631021115928547,1.8,9.0,16.2,0.0
0022300063|1630550,0022300063,1630550,2023-10-25,0,SCORED,20.0,1.0,27.631021115928547,2.0,10.0,18.0,0.0,20.0,1.0,27.631021115928547,2.0,10.0,18.0,0.0
