semantic_hash,feature,transform,params,column
cf2ffba47711ba186a9551b3b9237183cb25b9e09702862f2bf29e5eaaa3f185,pace_so_far,delta_vs_prior,(),pace_so_far|dprior
d30b001740f0fee288aac1a6810a14ac6fd87da4870524bd34c5551f618ecfd0,home_max_player_pfs,ew,"(('halflife', 5),)",home_max_player_pfs|ew5
d57877b5078425915e52dbbfc7d788c00d2bf3278b16995844fc8c7948de6d31,away_team_pfs_cum,raw,(),away_team_pfs_cum|raw
d74bb6391915fd785a51110954b2962aa01f57fb838426a73db61ed2e1b26e7d,away_starter_fouled_out_indicator,ew,"(('halflife', 3),)",away_starter_fouled_out_indicator|ew3
d9c7613c248916ae08208958fdbf1dbe3ecca535febb317a9af49e4ca12e129c,away_max_player_pfs,ew,"(('halflife', 3),)",away_max_player_pfs|ew3
dc42274864970490b6196dbda2d7fc161691ebb0750c760515bdc4c4b85b7560,run_diff,ew,"(('halflife', 10),)",run_diff|ew10
de74bdae194a399b6571abfffe3f322da09bdc7be301381c43d8a6ce49e6500c,pace_so_far,ew,"(('halflife', 3),)",pace_so_far|ew3
e0f4ae6e62ab094ae9aa5d240e7b3c93b2130cbb5d131bafbcda2c1af00f0411,away_max_player_pfs,raw,(),away_max_player_pfs|raw
e2303bff0faa8b6df915048efea172ec8dabd9515112d359ec4978b21928378a,possessions_elapsed,ew,"(('halflife', 20),)",possessions_elapsed|ew20
eb7e84818e7fe3ec22ee7837b0bab40a0e32b58ca0f0cd722ede27e4b6a76725,home_max_player_pfs,ew,"(('halflife', 20),)",home_max_player_pfs|ew20
f5b7674f268a95bd86da8ff6c7f368808dec27657924bb60cb47b4896dc1c7e6,home_team_pfs_cum,ew,"(('halflife', 5),)",home_team_pfs_cum|ew5
f8d2b9aa847e81e574b3d38fabc3dd14b1ec3607f4ed2e0bfc45fe5e7e2ebad7,run_diff,ew,"(('halflife', 20),)",run_diff|ew20
f93266eb7f3da9c48d84c3121d8618c6acabc06d44afc07f3dca62bfae0979fe,away_team_pfs_cum,ew,"(('halflife', 5),)",away_team_pfs_cum|ew5
fca7574030c94a7889560e70d8e9a907b178b85f411d4fe248be3ed2bce05cac,pf_imbalance,raw,(),pf_imbalance|raw
