game_id,state_ts,kalshi_asof_ts,traded_any,trade_count_60s,outcome,n_evaluator_records,p_recal_null,p_candidate,loss_recal_null,loss_candidate,improvement
401873203,2026-05-31T00:41:04.000001+00:00,2026-05-31T00:41:00+00:00,1,2,0,7,0.33608257742642017,0.3553626019365402,0.1129514988495857,0.1262825788551079,-0.013331080005522203
401873203,2026-05-31T00:42:03.000001+00:00,2026-05-31T00:42:00+00:00,1,1,0,7,0.35180175563272925,0.5335892290384201,0.12376447526627055,0.28471746534581555,-0.160952990079545
401873203,2026-05-31T00:43:03.000001+00:00,2026-05-31T00:43:00+00:00,1,1,0,7,0.3623334073021511,0.5368794148702889,0.1312854980471865,0.28823950611146376,-0.15695400806427726
401873203,2026-05-31T00:44:04.000001+00:00,2026-05-31T00:44:00+00:00,0,0,0,7,0.35180175563272925,0.6968637792361669,0.12376447526627055,0.4856191268113132,-0.36185465154504265
401873203,2026-05-31T00:45:03.000001+00:00,2026-05-31T00:45:00+00:00,1,1,0,7,0.3941619741797044,0.5465386127791106,0.15536366188924194,0.29870445525851463,-0.1433407933692727
401873203,2026-05-31T00:46:03.000001+00:00,2026-05-31T00:46:00+00:00,1,1,0,7,0.38351505109183176,0.5433514300383637,0.14708379441397032,0.2952307765247349,-0.14814698211076457
401873203,2026-05-31T00:47:03.000001+00:00,2026-05-31T00:47:00+00:00,0,0,0,7,0.38351505109183176,0.7033382193466668,0.14708379441397032,0.49468465079374,-0.3476008563797697
401873203,2026-05-31T00:48:14.000001+00:00,2026-05-31T00:48:00+00:00,0,0,0,7,0.3941619741797044,0.7054267875629153,0.15536366188924194,0.4976269526113345,-0.34226329072209255
401873203,2026-05-31T00:49:03.000001+00:00,2026-05-31T00:49:00+00:00,1,1,0,7,0.3941619741797044,0.5465386127791106,0.15536366188924194,0.29870445525851463,-0.1433407933692727
401873203,2026-05-31T00:50:04.000001+00:00,2026-05-31T00:50:00+00:00,0,0,0,7,0.35180175563272925,0.6968637792361669,0.12376447526627055,0.4856191268113132,-0.36185465154504265
401873203,2026-05-31T00:51:03.000001+00:00,2026-05-31T00:51:00+00:00,1,1,0,7,0.3623334073021511,0.5368794148702889,0.1312854980471865,0.28823950611146376,-0.15695400806427726
401873203,2026-05-31T00:52:03.000001+00:00,2026-05-31T00:52:00+00:00,0,0,0,7,0.3941619741797044,0.7054267875629153,0.15536366188924194,0.4976269526113345,-0.34226329072209255
401873203,2026-05-31T00:53:04.000001+00:00,2026-05-31T00:53:00+00:00,1,2,0,7,0.4155603652313297,0.377821773431634,0.17269041715119615,0.14274929247902496,0.029941124672171193
401873203,2026-05-31T00:54:04.000001+00:00,2026-05-31T00:54:00+00:00,1,1,0,7,0.3413116053204964,0.5302591199599025,0.11649361192645433,0.28117473430065026,-0.16468112237419594
401873203,2026-05-31T00:55:06.000001+00:00,2026-05-31T00:55:00+00:00,1,1,0,7,0.3413116053204964,0.5302591199599025,0.11649361192645433,0.28117473430065026,-0.16468112237419594
401873203,2026-05-31T00:56:03.000001+00:00,2026-05-31T00:56:00+00:00,1,1,0,7,0.3413116053204964,0.5302591199599025,0.11649361192645433,0.28117473430065026,-0.16468112237419594
