checkpoint_game_id,bridge_game_id,status,exclusion_reason
401704818,0022400252,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704819,0022400253,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704820,0022400254,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704821,0022400255,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704822,0022400256,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704823,0022400257,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704824,0022400258,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704825,0022400259,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704826,0022400260,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704827,0022400261,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704828,0022400262,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704829,0022400263,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704830,0022400264,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704831,0022400265,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704832,0022400266,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704833,0022400267,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704834,0022400268,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704835,0022400269,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704836,0022400270,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704843,0022400277,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704844,0022400278,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704845,0022400279,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704847,0022400281,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704871,0022400305,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704872,0022400306,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704873,0022400307,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704874,0022400308,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704875,0022400309,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704876,0022400310,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704877,0022400311,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704878,0022400312,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704879,0022400313,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704880,0022400314,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704881,0022400315,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704882,0022400316,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704883,0022400317,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704884,0022400318,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704885,0022400319,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704886,0022400320,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704887,0022400321,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704888,0022400322,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704889,0022400323,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704890,0022400324,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704891,0022400325,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704892,0022400326,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704893,0022400327,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704894,0022400328,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704895,0022400329,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704896,0022400330,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704897,0022400331,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704898,0022400332,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704899,0022400333,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704900,0022400334,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704901,0022400335,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704902,0022400336,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704903,0022400337,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704904,0022400338,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704905,0022400339,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704906,0022400340,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704907,0022400341,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704908,0022400342,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704909,0022400343,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704910,0022400344,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704911,0022400345,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704912,0022400346,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704913,0022400347,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704914,0022400348,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704915,0022400349,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704916,0022400350,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704917,0022400351,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704918,0022400352,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704919,0022400353,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704920,0022400354,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704921,0022400355,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704922,0022400356,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704923,0022400357,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704924,0022400358,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704925,0022400359,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704954,0022400388,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704955,0022400389,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704956,0022400390,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704957,0022400391,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704958,0022400392,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704959,0022400393,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704960,0022400394,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704961,0022400395,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704962,0022400396,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704963,0022400397,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704964,0022400398,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704965,0022400399,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704966,0022400400,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704967,0022400401,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704968,0022400402,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704969,0022400403,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704970,0022400404,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704971,0022400405,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704972,0022400406,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704973,0022400407,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704974,0022400408,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704975,0022400409,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
401704976,0022400410,NAMED-EXCLUDED,NO_FOUL_STATE_GAME_ID
