event_id,reason
0022400501,inplay_close_source
0022400512,inplay_close_source
0022400514,null_price
0022400515,inplay_close_source
0022400517,inplay_close_source
0022400518,null_price
0022400519,null_price
0022400520,inplay_close_source
0022400521,null_price
0022400522,inplay_close_source
0022400523,null_price
0022400524,null_price
0022400525,inplay_close_source
0022400526,null_price
0022400527,null_price
0022400528,null_price
0022400529,inplay_close_source
0022400530,null_price
0022400531,null_price
0022400532,null_price
0022400533,null_price
0022400534,inplay_close_source
0022400535,null_price
0022400536,null_price
0022400537,null_price
0022400538,null_price
0022400539,inplay_close_source
0022400540,null_price
0022400541,null_price
0022400542,null_price
0022400543,inplay_close_source
0022400544,inplay_close_source
0022400545,inplay_close_source
0022400546,inplay_close_source
0022400547,inplay_close_source
0022400548,inplay_close_source
0022400549,null_price
0022400550,inplay_close_source
0022400551,null_price
0022400552,inplay_close_source
0022400553,null_price
0022400554,null_price
0022400555,inplay_close_source
0022400556,null_price
0022400557,null_price
0022400558,inplay_close_source
0022400559,null_price
0022400560,null_price
0022400561,inplay_close_source
0022400562,inplay_close_source
0022400563,null_price
0022400564,inplay_close_source
0022400565,null_price
0022400566,null_price
0022400567,null_price
0022400568,inplay_close_source
0022400569,null_price
0022400570,inplay_close_source
0022400571,inplay_close_source
0022400572,inplay_close_source
0022400573,inplay_close_source
0022400574,inplay_close_source
0022400575,null_price
0022400576,inplay_close_source
0022400577,null_price
0022400578,null_price
0022400579,inplay_close_source
0022400580,null_price
0022400581,null_price
0022400582,null_price
0022400583,null_price
0022400584,null_price
0022400585,null_price
0022400586,null_price
0022400587,null_price
0022400588,inplay_close_source
0022400589,null_price
0022400590,null_price
0022400591,null_price
0022400592,null_price
0022400593,inplay_close_source
0022400594,inplay_close_source
0022400595,null_price
0022400596,inplay_close_source
0022400597,inplay_close_source
0022400598,null_price
0022400599,null_price
0022400600,inplay_close_source
0022400601,null_price
0022400602,null_price
0022400603,inplay_close_source
0022400604,null_price
0022400605,null_price
0022400606,inplay_close_source
0022400607,inplay_close_source
0022400608,null_price
0022400609,inplay_close_source
0022400610,null_price
0022400611,inplay_close_source
0022400612,inplay_close_source
0022400613,inplay_close_source
0022400614,inplay_close_source
0022400615,inplay_close_source
0022400616,inplay_close_source
0022400617,null_price
0022400618,inplay_close_source
0022400619,null_price
0022400620,inplay_close_source
0022400622,null_price
0022400623,inplay_close_source
0022400624,inplay_close_source
0022400625,inplay_close_source
0022400626,inplay_close_source
0022400627,null_price
0022400628,inplay_close_source
0022400629,inplay_close_source
0022400637,null_price
0022400642,null_price
0022400643,null_price
0022400647,null_price
0022400648,inplay_close_source
0022400649,null_price
0022400650,inplay_close_source
0022400651,null_price
0022400652,null_price
0022400653,inplay_close_source
0022400654,null_price
0022400655,null_price
0022400656,inplay_close_source
0022400657,inplay_close_source
0022400658,inplay_close_source
0022400659,inplay_close_source
0022400660,null_price
0022400661,inplay_close_source
0022400662,inplay_close_source
0022400663,inplay_close_source
0022400664,null_price
0022400665,null_price
0022400666,inplay_close_source
0022400667,inplay_close_source
0022400668,null_price
0022400669,null_price
0022400670,inplay_close_source
0022400671,null_price
0022400672,inplay_close_source
0022400673,inplay_close_source
0022400674,inplay_close_source
0022400675,inplay_close_source
0022400676,inplay_close_source
0022400677,inplay_close_source
0022400678,null_price
0022400679,null_price
0022400680,null_price
0022400681,null_price
0022400682,null_price
0022400683,inplay_close_source
0022400684,null_price
0022400685,inplay_close_source
0022400686,inplay_close_source
0022400687,null_price
0022400688,null_price
0022400689,null_price
0022400690,inplay_close_source
0022400691,null_price
0022400692,null_price
0022400693,null_price
0022400694,null_price
0022400695,null_price
0022400696,null_price
0022400697,null_price
0022400698,null_price
0022400699,null_price
0022400700,null_price
0022400701,null_price
0022400702,null_price
0022400703,null_price
0022400704,null_price
0022400705,null_price
0022400706,null_price
0022400707,null_price
0022400708,null_price
0022400709,null_price
0022400710,null_price
0022400711,null_price
0022400712,null_price
0022400713,null_price
0022400714,null_price
0022400715,null_price
0022400716,null_price
0022400717,null_price
0022400718,null_price
0022400719,null_price
0022400720,null_price
0022400721,null_price
0022400722,null_price
0022400723,null_price
0022400724,null_price
0022400725,null_price
0022400726,null_price
0022400727,null_price
0022400728,null_price
0022400729,null_price
0022400730,null_price
0022400731,null_price
0022400732,null_price
0022400733,null_price
0022400734,null_price
0022400735,null_price
0022400736,null_price
0022400737,null_price
0022400738,null_price
0022400739,null_price
0022400740,null_price
0022400741,null_price
0022400742,null_price
0022400743,null_price
0022400744,null_price
0022400745,null_price
0022400746,null_price
0022400747,null_price
0022400748,null_price
0022400749,null_price
0022400750,null_price
0022400751,null_price
0022400752,null_price
0022400753,null_price
0022400754,null_price
0022400755,null_price
0022400756,null_price
0022400757,null_price
0022400758,null_price
0022400759,null_price
0022400760,null_price
0022400761,null_price
0022400762,null_price
0022400763,null_price
0022400764,null_price
0022400765,null_price
0022400766,null_price
0022400767,null_price
0022400768,null_price
0022400769,null_price
0022400770,null_price
0022400771,null_price
0022400772,null_price
0022400773,null_price
0022400774,null_price
0022400775,null_price
0022400776,null_price
0022400777,null_price
0022400778,null_price
0022400779,null_price
0022400780,null_price
0022400781,null_price
0022400782,null_price
0022400783,null_price
0022400784,null_price
0022400785,null_price
0022400786,null_price
0022400787,null_price
0022400788,null_price
0022400789,null_price
0022400790,null_price
0022400791,null_price
0022400792,null_price
0022400793,null_price
0022400794,null_price
0022400795,null_price
0022400796,null_price
0022400797,null_price
0022400798,null_price
0022400799,null_price
0022400800,null_price
0022400801,null_price
0022400802,null_price
0022400803,null_price
0022400804,null_price
0022400805,null_price
0022400806,null_price
0022400807,null_price
0022400808,null_price
0022400809,null_price
0022400810,null_price
0022400811,null_price
0022400812,null_price
0022400813,null_price
0022400814,null_price
0022400815,null_price
0022400816,null_price
0022400817,null_price
0022400818,null_price
0022400819,null_price
0022400820,null_price
0022400821,null_price
0022400822,null_price
0022400823,null_price
0022400824,null_price
0022400825,null_price
0022400826,null_price
0022400827,null_price
0022400828,null_price
0022400829,null_price
0022400830,null_price
0022400831,null_price
0022400832,null_price
0022400833,null_price
0022400834,null_price
0022400835,null_price
0022400836,null_price
0022400837,null_price
0022400838,null_price
0022400839,null_price
0022400840,null_price
0022400841,null_price
0022400842,null_price
0022400843,null_price
0022400844,null_price
0022400845,null_price
0022400846,null_price
0022400847,null_price
0022400848,null_price
0022400849,null_price
0022400850,null_price
0022400851,null_price
0022400852,null_price
0022400853,null_price
0022400854,null_price
0022400855,null_price
0022400856,null_price
0022400857,null_price
0022400858,null_price
0022400859,null_price
0022400860,null_price
0022400861,null_price
0022400862,null_price
0022400863,null_price
0022400864,null_price
0022400865,null_price
0022400866,null_price
0022400867,null_price
0022400868,null_price
0022400869,null_price
0022400870,null_price
0022400871,null_price
0022400872,null_price
0022400873,null_price
0022400874,null_price
0022400875,null_price
0022400876,null_price
0022400877,null_price
0022400878,null_price
0022400879,null_price
0022400880,null_price
0022400881,null_price
0022400882,null_price
0022400883,null_price
0022400884,null_price
0022400885,null_price
0022400886,null_price
0022400887,null_price
0022400888,null_price
0022400889,null_price
0022400890,null_price
0022400891,null_price
0022400892,null_price
0022400893,null_price
0022400894,null_price
0022400895,null_price
0022400896,null_price
0022400897,null_price
0022400898,null_price
0022400899,null_price
0022400900,null_price
0022400901,null_price
0022400902,null_price
0022400903,null_price
0022400904,null_price
0022400905,null_price
0022400906,null_price
0022400907,null_price
0022400908,null_price
0022400909,null_price
0022400910,null_price
0022400911,null_price
0022400912,null_price
0022400913,null_price
0022400914,null_price
0022400915,null_price
0022400916,null_price
0022400917,null_price
0022400918,null_price
0022400919,null_price
0022400920,null_price
0022400921,null_price
0022400922,null_price
0022400923,null_price
0022400924,null_price
0022400925,null_price
0022400926,null_price
0022400927,null_price
0022400928,null_price
0022400929,null_price
0022400930,null_price
0022400931,null_price
0022400932,null_price
0022400933,null_price
0022400934,null_price
0022400935,null_price
0022400936,null_price
0022400937,null_price
0022400938,null_price
0022400939,null_price
0022400940,null_price
0022400941,null_price
0022400942,null_price
0022400943,null_price
0022400944,null_price
0022400945,null_price
0022400946,null_price
0022400947,null_price
0022400948,null_price
0022400949,null_price
0022400950,null_price
0022400951,null_price
0022400952,null_price
0022400953,null_price
0022400954,null_price
