game_id,stage,reason
KXMLBGAME-26JUL021915STLATL,without_finite_oof,NO_FINITE_CANDIDATE_OR_NULL_OOF_AT_MEDIAN_TICK
KXMLBGAME-26JUL021940TBKC,without_finite_oof,NO_FINITE_CANDIDATE_OR_NULL_OOF_AT_MEDIAN_TICK
KXMLBGAME-26JUL022140LAASEA,without_finite_oof,NO_FINITE_CANDIDATE_OR_NULL_OOF_AT_MEDIAN_TICK
KXMLBGAME-26JUN301840PITPHI,without_finite_oof,NO_FINITE_CANDIDATE_OR_NULL_OOF_AT_MEDIAN_TICK
KXMLBGAME-26JUN301840TEXCLE,without_finite_oof,NO_FINITE_CANDIDATE_OR_NULL_OOF_AT_MEDIAN_TICK
KXMLBGAME-26JUN301905DETNYY,without_finite_oof,NO_FINITE_CANDIDATE_OR_NULL_OOF_AT_MEDIAN_TICK
KXMLBGAME-26JUN301907NYMTOR,without_finite_oof,NO_FINITE_CANDIDATE_OR_NULL_OOF_AT_MEDIAN_TICK
KXMLBGAME-26JUN301910WSHBOS,without_finite_oof,NO_FINITE_CANDIDATE_OR_NULL_OOF_AT_MEDIAN_TICK
KXMLBGAME-26JUN301915STLATL,without_finite_oof,NO_FINITE_CANDIDATE_OR_NULL_OOF_AT_MEDIAN_TICK
KXMLBGAME-26JUN301940CINMIL,without_finite_oof,NO_FINITE_CANDIDATE_OR_NULL_OOF_AT_MEDIAN_TICK
KXMLBGAME-26JUN301940TBKC,without_finite_oof,NO_FINITE_CANDIDATE_OR_NULL_OOF_AT_MEDIAN_TICK
KXMLBGAME-26JUN302005SDCHC,without_finite_oof,NO_FINITE_CANDIDATE_OR_NULL_OOF_AT_MEDIAN_TICK
KXMLBGAME-26JUN302010MINHOU,without_finite_oof,NO_FINITE_CANDIDATE_OR_NULL_OOF_AT_MEDIAN_TICK
KXMLBGAME-26JUN302040MIACOL,without_finite_oof,NO_FINITE_CANDIDATE_OR_NULL_OOF_AT_MEDIAN_TICK
KXMLBGAME-26JUN302140LAASEA,without_finite_oof,NO_FINITE_CANDIDATE_OR_NULL_OOF_AT_MEDIAN_TICK
KXMLBGAME-26JUN302140SFAZ,without_finite_oof,NO_FINITE_CANDIDATE_OR_NULL_OOF_AT_MEDIAN_TICK
