draw_j,source_id,competition,tag,query,discovered_at,format_probe_at,compatible_30fps,qualifying_format_ids,listing_qualifying_ids,metadata_qualifying_ids,listing_complete,metadata_complete,listing_formats,metadata_formats,probe_status,raw_inventory_digest,error,hls_h264_720_1080_fps_set,720p30,1080p30,720p60,1080p60
11,pYCgIuP6-e0,basketball,bcl,Basketball Champions League full game,2026-09-11T18:10:50Z,2026-09-11T18:16:21Z,YES,232|270,232|270,232|270,True,True,13,18,OK,f8b52f22701a3451316d130b253d235a33cbc13fe77e4fe9c58a8b843aec36c0,,30,True,True,False,False
12,qTISjk2vR1U,basketball,bcl,Basketball Champions League full game,2026-09-11T18:10:50Z,2026-09-11T18:16:39Z,NO,,,,True,True,12,17,OK,903a022014c40d319d9e7629e49b00b805025dedd98dd757d7a5d7936bb18a02,,25,False,False,False,False
13,y8UQxPOVdbE,basketball,bcl,Basketball Champions League full game,2026-09-11T18:10:50Z,2026-09-11T18:16:56Z,YES,232|270,232|270,232|270,True,True,29,41,OK,2ea4f8f78b68445c977b2d5fc1d5a9d3c6a9e193d6948d01b6aed954929f70e1,,30,True,True,False,False
14,-sZHSUp1WV4,basketball,eurocup,EuroCup full game replay,2026-09-11T18:10:46Z,2026-09-11T18:17:13Z,NO,,,,True,True,29,41,OK,fa316c97782a9c73d872b0fef4873b34b9347cdb8645c7c29fa945aa89db4cc6,,25,False,False,False,False
15,1MQ38PsSviw,basketball,eurocup,EuroCup full game replay,2026-09-11T18:10:46Z,2026-09-11T18:17:31Z,NO,,,,True,True,29,41,OK,2eea709eb0611b0b9efc698ba81b4dd646b9cfdc3e65b61e10c33c879324b82a,,25,False,False,False,False
16,2UNJe2grSzo,basketball,eurocup,EuroCup full game replay,2026-09-11T18:10:46Z,2026-09-11T18:17:48Z,NO,,,,True,True,35,42,OK,8cc2d842ff5de8de4316198ba3e0fc176d9b8181aa9b8f830df722b1fa30fa31,,25,False,False,False,False
17,EIcNJX8JyA0,basketball,eurocup,EuroCup full game replay,2026-09-11T18:10:46Z,2026-09-11T18:18:06Z,NO,,,,True,True,29,41,OK,4a2d1e24f07f23a9f3c498064954b1cc7ac26fbdca1eeb848086b5a89ee1538b,,25,False,False,False,False
18,OFbyNU6UQQs,basketball,eurocup,EuroCup full game replay,2026-09-11T18:10:46Z,2026-09-11T18:18:23Z,YES,232|270,232|270,232|270,True,True,35,91,OK,c930da11e9d5be15f302789766a1af99eba0874a303da905b61034fe454b0259,,30,True,True,False,False
19,T1LZvhP3AeM,basketball,eurocup,EuroCup full game replay,2026-09-11T18:10:46Z,2026-09-11T18:18:41Z,NO,,,,True,True,34,46,OK,7ba6ffad337bca9902b48a1ada0a2c123ee6ff11bb8f42475e8ee077f70402fa,,25,False,False,False,False
20,adN6aEmgK5Y,basketball,eurocup,EuroCup full game replay,2026-09-11T18:10:46Z,2026-09-11T18:18:58Z,NO,,,,True,True,35,47,OK,4468406f4661062db451c991f911fa353a85ef51e4f9d67231bedfb86491b8d6,,25,False,False,False,False
21,df0jesjE3yk,basketball,eurocup,EuroCup full game replay,2026-09-11T18:10:46Z,2026-09-11T18:19:15Z,NO,,,,True,True,35,47,OK,fbe8487bb282d878e4922bfa726f796684ea155c5c7f0bb518c228da752e4949,,25,False,False,False,False
22,prxLSgEkawg,basketball,eurocup,EuroCup full game replay,2026-09-11T18:10:46Z,2026-09-11T18:19:32Z,NO,,,,True,True,29,41,OK,b4f3ad99ce7c85f077a721ef0b1b710f5323996ca54e83696123f1c605877852,,25,False,False,False,False
23,rOdFBZJRwEo,basketball,eurocup,EuroCup full game replay,2026-09-11T18:10:46Z,2026-09-11T18:19:51Z,NO,,,,True,True,29,41,OK,90a3636c036f71d10dd1a10fcda2aa9d6cab5b7ced159eb62ac7a8463261f37e,,25,False,False,False,False
24,vq17CRazqJo,basketball,eurocup,EuroCup full game replay,2026-09-11T18:10:46Z,2026-09-11T18:20:08Z,NO,,,,True,True,35,47,OK,90fe29a114a14a441818079ca12ca2330718311941cf290493db97df867ee93c,,25,False,False,False,False
25,zyV1NxdXo2c,basketball,eurocup,EuroCup full game replay,2026-09-11T18:10:46Z,2026-09-11T18:20:26Z,NO,,,,True,True,28,40,OK,5c18f9964ff25b36d03a94747127d48c24dfc91a9f02c432d6bb0b3b89007dd6,,25,False,False,False,False
26,Lp3An-07otU,basketball,gleague,G League full game 2025,2026-09-11T18:10:28Z,2026-09-11T18:20:44Z,NO,,,,True,True,36,48,OK,1801b7300a35373e876fc2968a80da2852e6fb3e9d14edc4a00cdeae0cc5c754,,25,False,False,False,False
27,-0XiPUZXBcM,nba,.,NBA full game 2024,2026-09-11T18:09:57Z,2026-09-11T18:21:01Z,NO,,,,True,True,12,17,OK,6b8ae7bf189665759b45aa0f7a6376f698869815c7a8cfa9a4dc6d5b6ee2dc91,,60,False,False,True,False
28,veDVH4y_6_c,wnba,.,WNBA full game 2025,2026-09-11T18:10:02Z,2026-09-11T18:21:18Z,NO,,,,True,True,25,37,OK,0a772389b245f8ab8525c7b835e71c6da4e35cd1aed8653020c4a865a738ef4b,,none,False,False,False,False
29,e3E_WApsLV4,wnba,.,WNBA full game replay 2025,2026-09-11T18:10:41Z,2026-09-11T18:21:40Z,YES,232,232,232,True,True,32,44,OK,97372ccbb1e808edbc5c1b05b00d9ce864675151086e5f12f4bd903046a9a83a,,30,True,True,False,False
