table,sport,sha256,rows,n_frames,harness_verdict,harness_passed,eligibility,eligibility_reason,modal_stride,modal_pairs,bar_ft,p95_ft,p999_ft,max_ft,fifth_largest_ft,above_bar_count,above_bar_rate_pct,c0_fail,c1_fail,c2_fail,c3_fail,c4_fail,c5_warning,c5_fail
mlb_2026-08-30_2b814fad,baseball,6833570bbbb127ebec0f6011954a8a1c3ece61db07219f318f58f0b505b9dab2,2335,1284,FAIL,false,excluded,missing_required_columns,,,,,,,,,,,,,,,,
mlb_2026-08-30_3a02d9b3,baseball,7a6ce66457576192eda1f8cd76ccf6ed391da846a18fc78fa79d5aae6726ccfe,919,648,FAIL,false,excluded,missing_required_columns,,,,,,,,,,,,,,,,
mlb_2026-08-30_7e8080e5,baseball,147d326a9d69f01f5ebaf4d707643aebb1a201ad3736ba0382b572d6ec44ec61,3125,1893,FAIL,false,excluded,missing_required_columns,,,,,,,,,,,,,,,,
mlb_2026-08-30_f8812b72,baseball,fdc78c8e53c1f2b2ff8df2829951ef2860a9b7b38be85a4ddd5fb2a9952983bd,9182,4925,FAIL,false,excluded,missing_required_columns,,,,,,,,,,,,,,,,
mlb_231Mmqijar8,baseball,f83a47ac72594b25da59c114052f78d223efe03d62bb891a1a8ee6ff8ad7f50f,78315,8501,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
mlb_2iosUkpL0Bc,baseball,38d08448a664c96e16997b007b1523738112c27aa198edcbbe5a19ce1e50f551,39503,5867,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
mlb_3Oc4S_1np98,baseball,3e1e943b99307e92d5b0814710ca9b1d5ecd1ecd29ead26eb4ced60d824861f0,40106,5802,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
mlb_5IA4jaKNOYg,baseball,066b70b3ee77c2d230027e9a666166b551d40086224d7e055f4fefcf122a5799,36700,9601,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
mlb_5WpMyA0Xj6Y,baseball,99159ab6f3787718434885d61c0543dc3c9cb279b801145e8a8293500bd0d016,33247,9601,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
mlb_6SEjheAAtcs,baseball,1744bfee0aea65277195dace4d4791f1a8a366c0b0cb7f0488d4f316fc1fcff1,28798,9600,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
mlb_7T-rpI5l0ro,baseball,f7350bb7b551fd19254d218b75a8f7331ac28ba80a27c6357ae11c657bd21f0c,12629,9600,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
mlb_A5AkcaXA2fk,baseball,3fb4e079c5f698abcc51e02d99074bc45eee9045f961dd0a3178492a7a2e9b94,15889,8957,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
mlb_ARtRmUHC7dw,baseball,81aa6e5c2d93241601638d2930ce45f77c4141a88b75d55ad43a2202cc6e8145,38335,5826,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
mlb_FGtFanovws4,baseball,ea473065e8e147b086b03cccb0d0a1c0b194bea5156f3b5ffdcd976a126680cf,0,0,INSUFFICIENT_DATA,false,excluded,insufficient_frames,,,,,,,,,,,,,,,,
mlb_Fu9kVrQRg0M,baseball,d6666667e1c5201531424e2555d80133958737eaf4c00f8d7b1570ad20d950ab,36656,9600,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
mlb_MUbgCYez-LY,baseball,f984ab00c0bb05ffe0d1f0e71a1a813d704fbf8f3672d88c57189394bf15a7b0,49586,9600,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
mlb_NiSezRTvsew,baseball,30dfc80dd59b87ba38e38243ac371217b1ef2c8c174aa8d5e91d81cd96a1da86,12189,5016,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
mlb_PPj97yvNGOo,baseball,f11e39fd9b2d70bf997a67f28bcf04c9f4ca2ee4c302c4258aaf96bb5698d44a,38319,5867,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
mlb_QqHhEShXAX0,baseball,3018eb26a4ab448c36d272b9debcabeffbdd43cda07c74899714df99d15d6d36,42606,9600,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
mlb_VxQlqZhLJso,baseball,0f324f613095c2fa4a1ad545a7a5fa11f4558936d2574f075f6ea59c8cc10f6b,41756,9601,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
mlb_Z5u9T4b1qxk,baseball,59346d75c2e0851686b22d7f5cef74f182a4eb165031031845e2ac6eb9f140d5,31016,9528,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
mlb_cC3rQWxcOqk,baseball,edb32c465de466bc1db257cd4403a7114dcdde09b8f94ec9900f96309114160e,27022,9598,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
mlb_dSX2ujmGBgg,baseball,18d3899da912dc7d8b40b3960af2795650fe576d0811bb1f7a74384811fb3c13,18128,9600,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
mlb_dVNOESziFWQ,baseball,f6ef615d24ce1c1e40412caa04e63a605e86d2c30fbc532eb59de6c1707e4932,8483,4125,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
mlb_gDv5xF2AA2E,baseball,e66dcf056b1d4ece912519fb011b41b448e27d02ddf461b084dadf5f8dba9510,49475,9342,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
mlb_gMm3EODDb6w,baseball,3e17debb34a40b246f8388e5b5c8d6597b0f2444ff755f5ba521cec1aad0988e,31181,5852,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
mlb_nLoG6gvC-Nk,baseball,97d1cf71304beab7bfcb497849684416a3e5c11234607271380528d9e3e18c4e,23345,9600,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
mlb_ptIBgr6U1Y8,baseball,01bbd07721d3a796b7948c89eb81a25ebe4d8f61b4448a13d73825ba8116fbb1,48319,5852,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
mlb_x6YpMlNYbrU,baseball,d7251baccd1dfde0c1bc44bd213b72ffe553dd5925e97b554e0b413aecad3c34,19936,9611,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
mlb_yihNr8zCgkA,baseball,5e53fe2242d23d1d3d08b26b2c19820aa8d89457ba042af47f4d073db9e5a404,15623,9601,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
ncaa_basketball_IB-_u4gW3ds,basketball,bea79a4e1a331cadf13af73b2864b1d5e83561bdf2d877fee465c569e4b23d0a,3061,578,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
ncaa_basketball_WFl3V7ZY4ss,basketball,c6c57ddde3474e86db55ef4c36d7bb0d9c262c6d68208c7354a4525aed49dc7a,3644,993,FAIL,false,excluded,missing_required_columns,,,,,,,,,,,,,,,,
ncaa_basketball_sRtHQbywiTE,basketball,5b2606297bdf459a1b89c4fd9317e817bd0e24be35ce4407fe36461787b4d070,2234,745,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
ncaa_basketball_tiUvyvWOCxo,basketball,2caead803e6119d6defc52761e748ca27ef3015df31e138d8ffa37861eebec67,4424,978,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
ncaa_basketball_zqBCKovJCQU,basketball,57b44428af51a0de86b0c8d127bc75632f3a246f704096794e61b07a235a52f2,5303,999,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
npb_01,npb,0f7973e666d501ab5e392fdf18d0e6aee420ea616f3664c5cfe699558bbad54d,36684,8775,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
npb_02,npb,585bff187fc2641670faeedb217ed0663a2552a38c84e20c3d3a1f6f31cc6968,43025,9396,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
npb_03,npb,7394ead458356f357383ff034cb208645c8a9cd863ddef04c70c065b7e22b7c9,650,452,FAIL,false,excluded,missing_required_columns,,,,,,,,,,,,,,,,
npb_04,npb,739ce68a1d55f085b6157687f37e801e4b00eab6d812a7dfadf6ad88662f14be,32744,9228,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
npb_05,npb,bd571ccd0641ab2af04d45fe1e81e54cd183a62a087875cf755beb946c022534,1455,920,FAIL,false,excluded,missing_required_columns,,,,,,,,,,,,,,,,
npb_06,npb,72f9f7672c7c2a8c1acf62342c8ec458bb95e9ff6601c14e96535389cda51f69,835,565,FAIL,false,excluded,missing_required_columns,,,,,,,,,,,,,,,,
npb_07,npb,268b09f9a9a75142e513a22899a4c6de8f272d6d8819495e1ddbed7995b095ed,565,365,FAIL,false,excluded,missing_required_columns,,,,,,,,,,,,,,,,
npb_08,npb,0b06884ab2ce0220a948a6ae65e34918ff456c044c8b9d63eb377e0fc23c3f8b,577,343,FAIL,false,excluded,missing_required_columns,,,,,,,,,,,,,,,,
npb_09,npb,57115fc8669f6160908154830fbc1dfcb3f51999a7ff3d78975c897fa0aae1e3,41348,8630,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
npb_10,npb,391b1de91e440f0b543e7d2e4e3aef9449f384f58d5121211b19a26fbbf134e5,43625,9259,FAIL,false,excluded,not_all_court_feet,,,,,,,,,,,,,,,,
