section_name,arm,mode,gate,measurement,threshold_v1,status_v1,threshold_v2,status_v2,direction
AIMOY6CoQKI_s1177,A0,M1,median_step_distance,22.11315942835988,8.408436,REJECT,76.995468,PASS,max
AIMOY6CoQKI_s1177,A1_FROZEN,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
AIMOY6CoQKI_s1177,A1_FROZEN,M1,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
AIMOY6CoQKI_s1177,A2_ID_MERGE,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
AIMOY6CoQKI_s1177,A2_ID_MERGE,M1,median_step_distance,38.2099463490856,8.408436,REJECT,76.995468,PASS,max
AIMOY6CoQKI_s1177,A5_BALL_SHIFT,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
AIMOY6CoQKI_s1177,A5_BALL_SHIFT,M1,median_step_distance,22.11315942835988,8.408436,REJECT,76.995468,PASS,max
AIMOY6CoQKI_s2264,A0,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
AIMOY6CoQKI_s2264,A0,M1,median_step_distance,14.158910531638178,8.408436,REJECT,76.995468,PASS,max
AIMOY6CoQKI_s2264,A1_FROZEN,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
AIMOY6CoQKI_s2264,A1_FROZEN,M1,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
AIMOY6CoQKI_s2264,A2_ID_MERGE,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
AIMOY6CoQKI_s2264,A2_ID_MERGE,M1,median_step_distance,326.4751139060985,8.408436,REJECT,76.995468,REJECT,max
AIMOY6CoQKI_s2264,A5_BALL_SHIFT,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
AIMOY6CoQKI_s2264,A5_BALL_SHIFT,M1,median_step_distance,14.158910531638178,8.408436,REJECT,76.995468,PASS,max
AIMOY6CoQKI_s3351,A0,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
AIMOY6CoQKI_s3351,A0,M1,median_step_distance,90.0222194794152,8.408436,REJECT,76.995468,REJECT,max
AIMOY6CoQKI_s3351,A1_FROZEN,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
AIMOY6CoQKI_s3351,A1_FROZEN,M1,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
AIMOY6CoQKI_s3351,A2_ID_MERGE,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
AIMOY6CoQKI_s3351,A2_ID_MERGE,M1,median_step_distance,693.9113776268551,8.408436,REJECT,76.995468,REJECT,max
AIMOY6CoQKI_s3351,A5_BALL_SHIFT,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
AIMOY6CoQKI_s3351,A5_BALL_SHIFT,M1,median_step_distance,90.0222194794152,8.408436,REJECT,76.995468,REJECT,max
AIMOY6CoQKI_s4438,A0,M0,median_step_distance,2.23606797749979,8.408436,PASS,76.995468,PASS,max
AIMOY6CoQKI_s4438,A0,M1,median_step_distance,12.36931687685298,8.408436,REJECT,76.995468,PASS,max
AIMOY6CoQKI_s4438,A1_FROZEN,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
AIMOY6CoQKI_s4438,A1_FROZEN,M1,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
AIMOY6CoQKI_s4438,A2_ID_MERGE,M0,median_step_distance,3.1622776601683795,8.408436,PASS,76.995468,PASS,max
AIMOY6CoQKI_s4438,A2_ID_MERGE,M1,median_step_distance,15.0,8.408436,REJECT,76.995468,PASS,max
AIMOY6CoQKI_s4438,A5_BALL_SHIFT,M0,median_step_distance,2.23606797749979,8.408436,PASS,76.995468,PASS,max
AIMOY6CoQKI_s4438,A5_BALL_SHIFT,M1,median_step_distance,12.36931687685298,8.408436,REJECT,76.995468,PASS,max
AIMOY6CoQKI_s5525,A0,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
AIMOY6CoQKI_s5525,A0,M1,median_step_distance,37.33630940518894,8.408436,REJECT,76.995468,PASS,max
AIMOY6CoQKI_s5525,A1_FROZEN,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
AIMOY6CoQKI_s5525,A1_FROZEN,M1,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
AIMOY6CoQKI_s5525,A2_ID_MERGE,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
AIMOY6CoQKI_s5525,A2_ID_MERGE,M1,median_step_distance,425.6724092538768,8.408436,REJECT,76.995468,REJECT,max
AIMOY6CoQKI_s5525,A5_BALL_SHIFT,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
AIMOY6CoQKI_s5525,A5_BALL_SHIFT,M1,median_step_distance,37.33630940518894,8.408436,REJECT,76.995468,PASS,max
AIMOY6CoQKI_s90,A0,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
AIMOY6CoQKI_s90,A0,M1,median_step_distance,20.615528128088304,8.408436,REJECT,76.995468,PASS,max
AIMOY6CoQKI_s90,A1_FROZEN,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
AIMOY6CoQKI_s90,A1_FROZEN,M1,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
AIMOY6CoQKI_s90,A2_ID_MERGE,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
AIMOY6CoQKI_s90,A2_ID_MERGE,M1,median_step_distance,31.542724424569233,8.408436,REJECT,76.995468,PASS,max
AIMOY6CoQKI_s90,A5_BALL_SHIFT,M0,median_step_distance,0.0,8.408436,PASS,76.995468,PASS,max
