section_name,ledger_decoded_frames,ledger_evaluated_frames,ledger_stride,implied_stride,m0_player_frames,m1_player_frames,m1_player_rows,held_rows_dropped,ratio_vs_evaluated,ratio_vs_decoded_over_stride
N-eE7ZwTuno_s4962,003897,001299,000003,3.000000,000985,000161,000185,002045,0.123941,0.123941
N-eE7ZwTuno_s90,003897,001299,000003,3.000000,000996,000025,000065,005453,0.019246,0.019246
OdGDLXvM76w_s1299,003901,001301,000003,2.998463,000896,000379,000550,001829,0.291314,0.291464
OdGDLXvM76w_s2508,003901,001301,000003,2.998463,000874,000057,000103,001834,0.043812,0.043835
OdGDLXvM76w_s3717,003901,001301,000003,2.998463,000888,000177,000256,001711,0.136049,0.136119
OdGDLXvM76w_s4926,003901,001301,000003,2.998463,000989,000619,001121,002225,0.475788,0.476032
OdGDLXvM76w_s90,003901,001301,000003,2.998463,000401,000075,000112,000780,0.057648,0.057678
b00bP6hM95Q_s90,003901,001301,000003,2.998463,000999,000718,001219,003227,0.551883,0.552166
gLdwA_gHN8Y_s1261,003901,001301,000003,2.998463,001000,000030,000124,003946,0.023059,0.023071
gLdwA_gHN8Y_s2432,003901,001301,000003,2.998463,000631,000124,000141,001240,0.095311,0.095360
gLdwA_gHN8Y_s3603,003901,001301,000003,2.998463,000700,000123,000125,001087,0.094543,0.094591
gLdwA_gHN8Y_s4774,003901,001301,000003,2.998463,000933,000030,000091,002328,0.023059,0.023071
gLdwA_gHN8Y_s5945,003901,001301,000003,2.998463,000554,000171,000233,000814,0.131437,0.131505
gLdwA_gHN8Y_s90,003854,001285,000003,2.999222,000868,000464,000570,001347,0.361089,0.361183
mJRz1DoW6VU_s1178,007793,001299,000006,5.999230,000401,000155,000187,000720,0.119323,0.119338
mJRz1DoW6VU_s2266,007793,001299,000006,5.999230,000498,000199,000290,001639,0.153195,0.153214
mJRz1DoW6VU_s3354,007794,001299,000006,6.000000,000500,000207,000463,002102,0.159353,0.159353
mJRz1DoW6VU_s4442,007793,001299,000006,5.999230,000483,000379,000645,000525,0.291763,0.291800
mJRz1DoW6VU_s5530,007793,001299,000006,5.999230,000448,000401,000982,000508,0.308699,0.308739
mJRz1DoW6VU_s90,007793,001299,000006,5.999230,000500,000202,000240,001383,0.155504,0.155524
ouRk-j987wk_s1275,007793,001299,000006,5.999230,000390,000097,000175,000667,0.074673,0.074682
ouRk-j987wk_s2460,007793,001299,000006,5.999230,000358,000103,000151,000555,0.079292,0.079302
ouRk-j987wk_s3645,007793,001299,000006,5.999230,000395,000239,000362,000563,0.183988,0.184011
ouRk-j987wk_s4830,007793,001299,000006,5.999230,000390,000286,000393,000511,0.220169,0.220198
ouRk-j987wk_s90,007793,001299,000006,5.999230,000449,000190,000254,000991,0.146266,0.146285
wptZj4SuFtE_s1344,003901,001301,000003,2.998463,000845,000431,000569,001266,0.331284,0.331453
wptZj4SuFtE_s2598,003901,001301,000003,2.998463,000807,000025,000071,001856,0.019216,0.019226
wptZj4SuFtE_s3852,003901,001301,000003,2.998463,000893,000144,000184,002096,0.110684,0.110741
wptZj4SuFtE_s5106,003901,001301,000003,2.998463,000674,000014,000035,001236,0.010761,0.010766
wptZj4SuFtE_s90,003901,001301,000003,2.998463,000764,000253,000335,001057,0.194466,0.194565
