row,memo,line,kind,components,verdict,missing,artifacts
G330a2,docs/evidence/tracking/g330_panorama_identity_attempt2_2026-09-08.md,000037,fraction,000040|000040,NOT RECOMPUTABLE,000040,
G330a2,docs/evidence/tracking/g330_panorama_identity_attempt2_2026-09-08.md,000038,fraction,000181|000199,NOT RECOMPUTABLE,000181|000199,
G330a2,docs/evidence/tracking/g330_panorama_identity_attempt2_2026-09-08.md,000057,fraction,000181|000199,NOT RECOMPUTABLE,000181|000199,
G310a2,docs/evidence/tracking/g310_native_input_arm_attempt2_2026-09-08.md,000001,fraction,000003|000003,RECOMPUTABLE,,docs/evidence/tracking/g215_temporal_homography_propagation_artifact/run_summary.json
G310a2,docs/evidence/tracking/g310_native_input_arm_attempt2_2026-09-08.md,000001,n_equals,000010,RECOMPUTABLE,,docs/evidence/tracking/g215_temporal_homography_propagation_artifact/run_summary.json
G310a2,docs/evidence/tracking/g310_native_input_arm_attempt2_2026-09-08.md,000008,fraction,000030|000001,RECOMPUTABLE,,docs/evidence/tracking/g215_temporal_homography_propagation_artifact/run_summary.json
G310a2,docs/evidence/tracking/g310_native_input_arm_attempt2_2026-09-08.md,000008,fraction,000030|000001,RECOMPUTABLE,,docs/evidence/tracking/g215_temporal_homography_propagation_artifact/run_summary.json
G310a2,docs/evidence/tracking/g310_native_input_arm_attempt2_2026-09-08.md,000008,fraction,030000|001001,NOT RECOMPUTABLE,030000,docs/evidence/tracking/g222_direct_to_seed_propagation_artifact/paired/run_summary.json
G310a2,docs/evidence/tracking/g310_native_input_arm_attempt2_2026-09-08.md,000008,fraction,030000|001001,NOT RECOMPUTABLE,030000,docs/evidence/tracking/g222_direct_to_seed_propagation_artifact/paired/run_summary.json
G310a2,docs/evidence/tracking/g310_native_input_arm_attempt2_2026-09-08.md,000008,fraction,030000|001001,NOT RECOMPUTABLE,030000,docs/evidence/tracking/g222_direct_to_seed_propagation_artifact/paired/run_summary.json
G310a2,docs/evidence/tracking/g310_native_input_arm_attempt2_2026-09-08.md,000010,n_equals,000010,RECOMPUTABLE,,docs/evidence/tracking/g215_temporal_homography_propagation_artifact/run_summary.json
G310a2,docs/evidence/tracking/g310_native_input_arm_attempt2_2026-09-08.md,000018,fraction,000414|000500,UNPARSED,,
G310a2,docs/evidence/tracking/g310_native_input_arm_attempt2_2026-09-08.md,000019,fraction,000173|000500,UNPARSED,,
G310a2,docs/evidence/tracking/g310_native_input_arm_attempt2_2026-09-08.md,000020,fraction,000000|000000,UNPARSED,,
G310a2,docs/evidence/tracking/g310_native_input_arm_attempt2_2026-09-08.md,000021,fraction,000387|000500,UNPARSED,,
G310a2,docs/evidence/tracking/g310_native_input_arm_attempt2_2026-09-08.md,000022,fraction,000261|000500,UNPARSED,,
G310a2,docs/evidence/tracking/g310_native_input_arm_attempt2_2026-09-08.md,000023,fraction,000417|000500,UNPARSED,,
G310a2,docs/evidence/tracking/g310_native_input_arm_attempt2_2026-09-08.md,000024,fraction,000325|000500,UNPARSED,,
G310a2,docs/evidence/tracking/g310_native_input_arm_attempt2_2026-09-08.md,000025,fraction,000473|000500,UNPARSED,,
G310a2,docs/evidence/tracking/g310_native_input_arm_attempt2_2026-09-08.md,000026,fraction,000001|000001,UNPARSED,,
G310a2,docs/evidence/tracking/g310_native_input_arm_attempt2_2026-09-08.md,000027,fraction,000001|000001,UNPARSED,,
G310a2,docs/evidence/tracking/g310_native_input_arm_attempt2_2026-09-08.md,000029,n_equals,000003,RECOMPUTABLE,,docs/evidence/tracking/g215_temporal_homography_propagation_artifact/run_summary.json
G310a2,docs/evidence/tracking/g310_native_input_arm_attempt2_2026-09-08.md,000031,fraction,000214|000814,UNPARSED,,
G310a2,docs/evidence/tracking/g310_native_input_arm_attempt2_2026-09-08.md,000031,fraction,000542|000714,UNPARSED,,
G310a2,docs/evidence/tracking/g310_native_input_arm_attempt2_2026-09-08.md,000031,fraction,000363|000509,UNPARSED,,
G310a2,docs/evidence/tracking/g310_native_input_arm_attempt2_2026-09-08.md,000040,fraction,000003|000003,RECOMPUTABLE,,docs/evidence/tracking/g215_temporal_homography_propagation_artifact/run_summary.json
G310a2,docs/evidence/tracking/g310_native_input_arm_attempt2_2026-09-08.md,000058,fraction,000002|000003,RECOMPUTABLE,,docs/evidence/tracking/g215_temporal_homography_propagation_artifact/run_summary.json
G310a2,docs/evidence/tracking/g310_native_input_arm_attempt2_2026-09-08.md,000058,fraction,000000|000085,NOT RECOMPUTABLE,000000,docs/evidence/tracking/g215_temporal_homography_propagation_artifact/run_summary.json
G331,docs/evidence/tracking/g331_evaluated_frames_sidecar_2026-09-08.md,000001,fraction,000017|000017,NOT RECOMPUTABLE,000017,
G331,docs/evidence/tracking/g331_evaluated_frames_sidecar_2026-09-08.md,000001,n_equals,000010,RECOMPUTABLE,,docs/evidence/tracking/g310_attempt2/g310_attempt2_proxies.json
G331,docs/evidence/tracking/g331_evaluated_frames_sidecar_2026-09-08.md,000036,fraction,000013|000500,NOT RECOMPUTABLE,000013,docs/evidence/tracking/g310_attempt2/g310_attempt2_proxies.json
G331,docs/evidence/tracking/g331_evaluated_frames_sidecar_2026-09-08.md,000036,fraction,000030|000500,NOT RECOMPUTABLE,000030,docs/evidence/tracking/g310_attempt2/g310_attempt2_proxies.json
G331,docs/evidence/tracking/g331_evaluated_frames_sidecar_2026-09-08.md,000036,fraction,000030|000500,NOT RECOMPUTABLE,000030,docs/evidence/tracking/g310_attempt2/g310_attempt2_proxies.json
G331,docs/evidence/tracking/g331_evaluated_frames_sidecar_2026-09-08.md,000036,fraction,000030|000500,NOT RECOMPUTABLE,000030,docs/evidence/tracking/g310_attempt2/g310_attempt2_proxies.json
G331,docs/evidence/tracking/g331_evaluated_frames_sidecar_2026-09-08.md,000036,fraction,000030|000500,NOT RECOMPUTABLE,000030,docs/evidence/tracking/g310_attempt2/g310_attempt2_proxies.json
G331,docs/evidence/tracking/g331_evaluated_frames_sidecar_2026-09-08.md,000036,fraction,000031|000500,NOT RECOMPUTABLE,000031,docs/evidence/tracking/g310_attempt2/g310_attempt2_proxies.json
G331,docs/evidence/tracking/g331_evaluated_frames_sidecar_2026-09-08.md,000036,fraction,000042|000500,NOT RECOMPUTABLE,000042,docs/evidence/tracking/g310_attempt2/g310_attempt2_proxies.json
G331,docs/evidence/tracking/g331_evaluated_frames_sidecar_2026-09-08.md,000036,fraction,000000|000001,RECOMPUTABLE,,docs/evidence/tracking/g310_attempt2/g310_attempt2_proxies.json
G331,docs/evidence/tracking/g331_evaluated_frames_sidecar_2026-09-08.md,000040,n_equals,002014,UNPARSED,,
G331,docs/evidence/tracking/g331_evaluated_frames_sidecar_2026-09-08.md,000040,n_equals,002458,UNPARSED,,
G331,docs/evidence/tracking/g331_evaluated_frames_sidecar_2026-09-08.md,000040,n_equals,001714,UNPARSED,,
G331,docs/evidence/tracking/g331_evaluated_frames_sidecar_2026-09-08.md,000040,n_equals,001299,UNPARSED,,
G331,docs/evidence/tracking/g331_evaluated_frames_sidecar_2026-09-08.md,000054,fraction,000017|000017,NOT RECOMPUTABLE,000017,
